Kwazulu-Natal: Vulamehlo(KZN211) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,2236507,0,2234611,2234611,186213,186213,186213,558639,186213,186213,186200,558626,186200,186200,186200,558600,186200,186200,186200,558600,2234465,2234611,-146,-0.01,2234611
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,260000,0,297029,297029,21614,21838,21838,65290,21838,21901,22409,66148,22798,22973,23514,69285,23514,23514,23514,70542,271265,297029,-25764,-8.67,297029
Interest earned - external investments,,856288,0,650000,650000,39490,92108,111664,243262,107617,94136,118207,319960,172792,175368,118524,466684,151832,158149,178761,488742,1518648,650000,868648,133.64,650000
Interest earned - outstanding debtors,,76,0,0,0,16,0,0,16,16,0,0,16,0,0,0,0,0,0,0,0,32,,32,0,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Licences and permits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,62298071,0,57391000,57391000,19312277,207094,806282,20325653,125524,17575900,757713,18459137,696595,1176756,13525855,15399206,140433,2421679,4824609,7386721,61570717,57391000,4179717,7.28,57391000
Other own revenue,,135640,0,3108027,14921174,21176,603,7358,29137,33790,6388,3947,44125,482,7208,22234,29924,3947,789,877,5613,108799,3108027,-2999228,-96.5,14921174
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,320160,320160,0,0,0,0,0,0,0,0,320160,,320160,0,0
Total Revenue (excl. capital transfers and contributions),,65786582,0,63680667,75493814,19580786,507856,1133355,21221997,474998,17884538,1408636,19768172,1078867,1568505,13876327,16523699,505926,2790331,5213961,8510218,66024086,63680667,2343419,3.679953603501044,75493814
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,15358888,0,18331579,18331579,1287907,1472196,1288406,4048509,1412575,1303974,1323407,4039956,82390,1671908,1050386,2804684,1039098,1357398,1485709,3882205,14775354,18331581,-3556227,-19.4,18331579
Remuneration of councillors,,7049384,0,6001581,6001581,571596,494890,499994,1566480,500258,490508,509758,1500524,68000,513574,492333,1073907,478258,565258,781829,1825345,5966256,6001581,-35325,-0.59,6001581
Debt impairment,,62028,0,2000000,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000,-2000000,-100,2000000
Depreciation and asset impairment,,15497808,0,8400000,11301402,0,0,0,0,947931,0,0,947931,0,929745,929529,1859274,933481,956664,0,1890145,4697350,8400000,-3702650,-44.08,11301402
Finance charges,,0,0,335414,1135414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335414,-335414,-100,1135414
Bulk purchases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,4015420,0,7440667,7610967,326429,49898,693334,1069661,298405,24949,24949,348303,54280,320550,659436,1034266,24949,34549,9600,69098,2521328,7440667,-4919339,-66.11,7610967
Transfers and grants,,12775783,0,0,0,319254,1311140,180158,1810552,-824631,1031300,1520311,1726980,197628,571648,0,769276,0,831955,1497095,2329050,6635858,,6635858,0,0
Other expenditure,,7040973,0,29837100,34924343,517616,513343,991070,2022029,1110664,723137,420365,2254166,1175508,1777002,2824162,5776672,879542,572120,1511907,2963569,13016436,29837425,-16820989,-56.38,34924343
Loss on disposal of PPE,,21633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,61821917,0,72346341,81305286,3022802,3841467,3652962,10517231,3445202,3573868,3798790,10817860,1577806,5784427,5955846,13318079,3355328,4317944,5286140,12959412,47612582,72346668,-24734086,-34.18828632163129,81305286
,,,,,,,,,,,,,,,,,,,,,,,,,,
