Kwazulu-Natal: Umdoni(KZN212) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,62826993,0,67075333,67100843,67887303,-172697,-272408,67442198,-179011,-143281,-19697,-341989,-25853,-195655,-981,-222489,-5189,-52811,-269059,-327059,66550661,67075331,-524670,-0.78,67100843
Property rates - penalties and collection charges,,2139550,0,1000000,1000000,185124,189105,260649,634878,229984,195965,-274721,151228,178534,0,0,178534,197286,0,0,197286,1161926,999996,161930,16.19,1000000
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,7365040,0,7780144,7780144,7405092,-335412,-9610,7060070,23134,-6082,49039,66091,42883,-77352,35616,1147,39867,-116747,32763,-44117,7083191,7780147,-696956,-8.96,7780144
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,5058804,0,5036926,4304456,401438,430468,364295,1196201,276046,334003,343076,953125,337934,342989,364741,1045664,336543,167907,16368,520818,3715808,5036928,-1321120,-26.23,4304456
Interest earned - external investments,,5046468,0,3650000,4150000,5195,0,10512,15707,5342,0,5170,10512,5342,4825,5342,15509,5170,0,10512,15682,57410,3650004,-3592594,-98.43,4150000
Interest earned - outstanding debtors,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,1735626,0,582000,647000,51622,35243,49060,135925,59724,41000,-37416,63308,55595,175879,177278,408752,47499,14707,-93654,-31448,576537,582000,-5463,-0.94,647000
Licences and permits,,3504005,0,5405250,4805000,317401,405325,498769,1221495,381217,368595,316850,1066662,358843,395705,437053,1191601,461662,578793,639301,1679756,5159514,5405256,-245742,-4.55,4805000
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,40072139,0,52353000,52291000,17273000,0,0,17273000,0,14546000,0,14546000,0,0,11819000,11819000,0,0,0,0,43638000,52353000,-8715000,-16.65,52291000
Other own revenue,,8254265,0,8060837,5717661,556023,302158,391973,1250154,499140,193428,428471,1121039,753987,218863,357215,1330065,499593,95638,536288,1131519,4832777,8060832,-3228055,-40.05,5717661
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,136002890,0,150943490,147796104,94082198,854190,1293240,96229628,1295576,15529628,810772,17635976,1707265,865254,13195264,15767783,1582431,687487,872519,3142437,132775824,150943494,-18167670,-12.03607357863334,147796104
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,58355259,0,64940997,62664950,4626717,4827964,4850820,14305501,4780127,7396916,4897142,17074185,5093966,4863249,4707175,14664390,4662387,4886407,5077621,14626415,60670491,64941000,-4270509,-6.58,62664950
Remuneration of councillors,,5688055,0,6259849,6390913,469893,469893,643773,1583559,482153,482153,482153,1446459,482153,482153,482153,1446459,482153,774789,0,1256942,5733419,6259848,-526429,-8.41,6390913
Debt impairment,,1134706,0,3050000,3050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3050004,-3050004,-100,3050000
Depreciation and asset impairment,,29847950,0,24769598,24769598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24769596,-24769596,-100,24769598
Finance charges,,1816,0,19187,369187,0,0,0,0,0,0,0,0,138170,138170,-50924,225416,48384,46166,47010,141560,366976,19187,347789,1812.63,369187
Bulk purchases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,20102796,0,16111000,15711906,0,931508,1103608,2035116,1041869,1359629,1095367,3496865,1616912,1242254,866673,3725839,1208263,1681247,2389382,5278892,14536712,16110996,-1574284,-9.77,15711906
Transfers and grants,,0,0,3860000,3674000,77092,434774,251894,763760,130365,652168,220766,1003299,486805,265971,269058,1021834,371247,265831,241116,878194,3667087,3860004,-192917,-5,3674000
Other expenditure,,35698621,0,51299059,50531750,1506177,1669087,2266913,5442177,2816799,3711604,2939838,9468241,3014446,2264513,3377314,8656273,2952669,2802030,3757701,9512400,33079091,51299064,-18219973,-35.52,50531750
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,150829203,0,170309690,167162304,6679879,8333226,9117008,24130113,9251313,13602470,9635266,32489049,10832452,9256310,9651449,29740211,9725103,10456470,11512830,31694403,118053776,170309699,-52255923,-30.682881425326226,167162304
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-14826313,0,-19366200,-19366200,87402319,-7479036,-7823768,72099515,-7955737,1927158,-8824494,-14853073,-9125187,-8391056,3543815,-13972428,-8142672,-9768983,-10640311,-28551966,14722048,-19366205,34088253,-176.0192717158576,-19366200
Transfers recognised - capital,,35149575,0,19367000,19367000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19367004,-19367004,-100,19367000
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,20323262,0,800,800,87402319,-7479036,-7823768,72099515,-7955737,1927158,-8824494,-14853073,-9125187,-8391056,3543815,-13972428,-8142672,-9768983,-10640311,-28551966,14722048,799,14721249,1842459.1989987486,800
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,20323262,0,800,800,87402319,-7479036,-7823768,72099515,-7955737,1927158,-8824494,-14853073,-9125187,-8391056,3543815,-13972428,-8142672,-9768983,-10640311,-28551966,14722048,799,14721249,1842459.1989987486,800
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,20323262,0,800,800,87402319,-7479036,-7823768,72099515,-7955737,1927158,-8824494,-14853073,-9125187,-8391056,3543815,-13972428,-8142672,-9768983,-10640311,-28551966,14722048,799,14721249,1842459.1989987486,800
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,20323262,0,800,800,87402319,-7479036,-7823768,72099515,-7955737,1927158,-8824494,-14853073,-9125187,-8391056,3543815,-13972428,-8142672,-9768983,-10640311,-28551966,14722048,799,14721249,1842459.1989987486,800
