Kwazulu-Natal: uMuziwabantu(KZN214) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,793135,0,10582000,10581644,5813473,-684085,723754,5853142,728009,712111,717129,2157249,750259,838622,718379,2307260,748235,716507,883529,2348271,12665922,10581640,2084282,19.7,10581644
Property rates - penalties and collection charges,,54901,0,146000,400087,59431,-49607,89754,99578,82642,22832,65651,171125,65980,65709,70168,201857,69352,63860,-156235,-23023,449537,146091,303446,207.71,400087
Service charges - electricity revenue,,0,0,29346807,29346807,27445,4460840,2497729,6986014,2340424,0,0,2340424,2118331,2162785,1891102,6172218,2375231,1865208,2739420,6979859,22478515,29346804,-6868289,-23.4,29346807
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,0,0,1891941,1717081,150313,-142793,150371,157891,109316,0,0,109316,146072,174128,147482,467682,154191,151430,146599,452220,1187109,1891945,-704836,-37.25,1717081
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,0,0,47700,47700,4110,-4191,3750,3669,3750,3750,3750,11250,3750,3750,3750,11250,3750,3750,3750,11250,37419,47700,-10281,-21.55,47700
Interest earned - external investments,,897999,0,2508252,3508252,75052,-37032,21113,59133,895828,288740,558633,1743201,101353,647779,405605,1154737,988949,293817,246422,1529188,4486259,2508252,1978007,78.86,3508252
Interest earned - outstanding debtors,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,271,0,71264,15000,885,-1973,2798,1710,252,800,500,1552,0,1073,250,1323,0,550,305750,306300,310885,71268,239617,336.22,15000
Licences and permits,,0,0,509265,509265,30716,-35530,37494,32680,35772,33716,41150,110638,31771,37079,34839,103689,50881,49762,34657,135300,382307,509269,-126962,-24.93,509265
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,1918709,0,59166500,68673841,11575,6324654,24599048,30935277,14570,20407770,164508,20586848,-172264,1642572,2982420,4452728,18127573,-2510283,-857,15616433,71591286,59166497,12424789,21,68673841
Other own revenue,,109310,0,13220694,8889000,9052070,-237526,196431,9010975,175682,2803313,2370533,5349528,166282,177757,730628,1074667,3177394,155102,372422,3704918,19140088,13220815,5919273,44.77,8889000
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,3774325,0,117490423,123688677,15225070,9592757,28322242,53140069,4386245,24273032,3921854,32581131,3211534,5751254,6984623,15947411,25695556,789703,4575457,31060716,132729327,117490281,15239046,12.970473702416289,123688677
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,3403997,0,38855964,38867386,2357509,2563130,2114308,7034947,2613371,3855861,2440508,8909740,2645215,2626073,2533304,7804592,2562180,2063321,4834965,9460466,33209745,38855888,-5646143,-14.53,38867386
Remuneration of councillors,,0,0,6238035,6238035,489525,499676,489525,1478726,489525,489525,469125,1448175,489525,469125,556395,1515045,489525,693051,510453,1693029,6134975,6238031,-103056,-1.65,6238035
Debt impairment,,0,0,0,159000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,159000
Depreciation and asset impairment,,631342,0,5904775,7000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5904770,-5904770,-100,7000000
Finance charges,,0,0,105111,161000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105111,-105111,-100,161000
Bulk purchases,,0,0,26509346,26509346,2443939,2669589,2449545,7563073,1477897,1555420,1303520,4336837,1408742,1475392,1376517,4260651,1480365,1370326,1521846,4372537,20533098,26509343,-5976245,-22.54,26509346
Other Materials,,1763,0,1049656,1049656,60666,145602,26818,233086,54374,75922,95368,225664,15250,56383,300336,371969,119226,0,0,119226,949945,1049656,-99711,-9.5,1049656
Contracted services,,-24267,0,702357,1332941,351854,-99567,28440,280727,105600,1699,46316,153615,7355,159661,0,167016,0,0,0,0,601358,702357,-100999,-14.38,1332941
Transfers and grants,,1333862,0,3264475,3264476,64603,224290,223830,512723,0,119457,85172,204629,0,0,0,0,0,0,0,0,717352,3264479,-2547127,-78.03,3264476
Other expenditure,,158798,0,34860973,39107000,1703907,936833,3083500,5724240,5081775,2925234,7388329,15395338,2723745,3478778,4545891,10748414,4421366,7045450,9372600,20839416,52707408,34860970,17846438,51.19,39107000
Loss on disposal of PPE,,348725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,5854220,0,117490692,123688840,7472003,6939553,8415966,22827522,9822542,9023118,11828338,30673998,7289832,8265412,9312443,24867687,9072662,11172148,16239864,36484674,114853881,117490605,-2636724,-2.24419986602333,123688840
