Kwazulu-Natal: Ezinqoleni(KZN215) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,2666827,0,3100000,2157000,132405,140230,140230,412865,140230,140230,140230,420690,140230,140230,140230,420690,140230,140230,0,280460,1534705,3100000,-1565295,-50.49,2157000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - other,,0,0,0,0,0,972,0,972,0,0,0,0,0,0,0,0,0,0,0,0,972,,972,0,0
Rental of facilities and equipment,,5825,0,15000,10000,0,965,0,965,1716,0,0,1716,0,439,0,439,0,702,0,702,3822,15000,-11178,-74.52,10000
Interest earned - external investments,,1702319,0,1702000,2190709,131571,184646,209141,525358,215468,209661,188369,613498,197921,197618,181180,576719,147605,179693,0,327298,2042873,1702000,340873,20.03,2190709
Interest earned - outstanding debtors,,157962,0,55000,325000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55000,-55000,-100,325000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Licences and permits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,33110059,0,39097000,39263820,106427,424063,168785,699275,249743,10859852,1042836,12152431,744526,386604,9640308,10771438,799418,272778,0,1072196,24695340,39097000,-14401660,-36.84,39263820
Other own revenue,,715862,0,300000,365000,68123,60561,94037,222721,0,4200,0,4200,11748,272972,4190,288910,32032,31930,0,63962,579793,300200,279593,93.14,365000
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
