Kwazulu-Natal: Hibiscus Coast(KZN216) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,278498313,0,309630000,309630000,27377062,53092219,53092219,133561500,53092219,53092219,27170947,133355385,30513787,27285662,27520696,85320145,27599361,-8880,27377061,54967542,407204572,309629700,97574872,31.51,309630000
Property rates - penalties and collection charges,,160499,0,0,0,6667,10092,10092,26851,10092,10092,5094,25278,492021,0,12452,504473,10188,7924,6667,24779,581381,,581381,0,0
Service charges - electricity revenue,,27051860,0,99049000,99049000,8604929,7414275,7414275,23433479,7414275,7414275,7960931,22789481,0,7912043,8032258,15944301,7939267,6820244,8604929,23364440,85531701,99048592,-13516891,-13.65,99049000
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,38079014,0,52905000,52905000,3535949,7151014,7151014,17837977,7151014,7151014,719941,15021969,-70918,3536259,3500265,6965606,3556738,-21298,3535949,7071389,46896941,52904992,-6008051,-11.36,52905000
Service charges - other,,61883518,0,0,0,0,0,0,0,0,0,168136,168136,0,54955,28612,83567,55038,43536,80929,179503,431206,,431206,0,0
Rental of facilities and equipment,,2309352,0,2880000,2880000,315618,242378,242378,800374,242378,242378,180170,664926,4328,181769,202706,388803,205850,195555,315618,717023,2571126,2880429,-309303,-10.74,2880000
Interest earned - external investments,,5503599,0,5856000,5856000,445966,510388,510388,1466742,510388,510388,86372,1107148,587714,0,296449,884163,411912,354982,445966,1212860,4670913,5856122,-1185209,-20.24,5856000
Interest earned - outstanding debtors,,9381701,0,10057000,10057000,706293,660835,660835,2027963,660835,660835,817367,2139037,853765,855927,818777,2528469,852525,856875,706293,2415693,9111162,10056781,-945619,-9.4,10057000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,8439314,0,11862000,11862000,823615,751160,751160,2325935,751160,751160,670649,2172969,853171,799196,992607,2644974,710667,3745,823615,1538027,8681905,11861688,-3179783,-26.81,11862000
