Kwazulu-Natal: uMshwathi(KZN221) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,23899302,0,21500000,25500000,2020514,2142116,2485982,6648612,2240870,2152355,2134939,6528164,2147532,2163367,2384650,6695549,2198275,2153270,2216939,6568484,26440809,21500000,4940809,22.98,25500000
Property rates - penalties and collection charges,,1325643,0,1000000,1600000,118180,133974,132485,384639,155117,143428,157287,455832,145931,151866,147539,445336,139575,138964,135782,414321,1700128,1000000,700128,70.01,1600000
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,1801290,0,1950000,1850000,149370,149370,175524,474264,149501,149459,150882,449842,151532,152487,151251,455270,153984,153984,145228,453196,1832572,1950000,-117428,-6.02,1850000
Service charges - other,,0,0,0,0,0,0,0,0,0,0,639,639,100,100,200,400,100,0,0,100,1139,,1139,0,0
Rental of facilities and equipment,,199718,0,200000,280000,16570,21158,24094,61822,17025,45385,41922,104332,47798,41858,47332,136988,44113,51157,44911,140181,443323,200000,243323,121.66,280000
Interest earned - external investments,,846781,0,800000,750000,0,0,167496,167496,0,152011,54751,206762,177466,64463,42368,284297,0,295092,60989,356081,1014636,800000,214636,26.83,750000
Interest earned - outstanding debtors,,8179537,0,7500000,11000000,790403,885326,1052149,2727878,1037326,1040572,1174310,3252208,1197223,1145920,1247098,3590241,1031851,1191671,988126,3211648,12781975,7500000,5281975,70.43,11000000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,59707,0,101000,101000,4056,8010,8339,20405,5100,6354,7978,19432,7567,-586,9408,16389,4680,2788,3035,10503,66729,101000,-34271,-33.93,101000
Licences and permits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Agency services,,2362036,0,2100000,2100000,202537,146404,264496,613437,125870,168955,189931,484756,250297,248885,283570,782752,214266,155281,195302,564849,2445794,2100000,345794,16.47,2100000
Transfers recognised - operational,,65775000,0,73922000,76922000,29261000,2145000,0,31406000,0,23426000,0,23426000,0,300000,18790000,19090000,0,0,0,0,73922000,73922000,0,0,76922000
Other own revenue,,367632,0,206000,256000,27674,36222,28982,92878,45029,7537,9407,61973,12766,13251,12909,38926,8645,18814,380607,408066,601843,206000,395843,192.16,256000
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,104816646,0,109279000,120359000,32590304,5667580,4339547,42597431,3775838,27292056,3922046,34989940,4138212,4281611,23116325,31536148,3795489,4161021,4170919,12127429,121250948,109279000,11971948,10.95539673679298,120359000
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,37642745,0,43076000,48866000,3393228,3406166,3349361,10148755,3621848,3761555,5622430,13005833,3569823,3959381,3726179,11255383,3973340,3870585,3897379,11741304,46151275,43076000,3075275,7.14,48866000
Remuneration of councillors,,7366082,0,8020000,8020000,612136,620148,606515,1838799,606451,606450,606451,1819352,606451,606451,606451,1819353,606450,947726,619658,2173834,7651338,8020000,-368662,-4.6,8020000
Debt impairment,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Depreciation and asset impairment,,6715960,0,9000000,8500000,1055485,1082900,1018256,3156641,1118997,1137431,1156046,3412474,1147163,1158256,1184977,3490396,1223434,1258779,1307053,3789266,13848777,9000000,4848777,53.88,8500000
Finance charges,,0,0,2750000,2750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2750000,-2750000,-100,2750000
Bulk purchases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,0,0,25117000,26517000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25117000,-25117000,-100,26517000
Transfers and grants,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other expenditure,,35260429,0,17316000,18706000,1514304,2369982,4587772,8472058,2411815,2757527,3207999,8377341,2950001,1984327,2072707,7007035,2993558,4348666,5834298,13176522,37032956,17316000,19716956,113.87,18706000
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,86985216,0,105279000,113359000,6575153,7479196,9561904,23616253,7759111,8262963,10592926,26615000,8273438,7708415,7590314,23572167,8796782,10425756,11658388,30880926,104684346,105279000,-594654,-0.5648362921380332,113359000
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,17831430,0,4000000,7000000,26015151,-1811616,-5222357,18981178,-3983273,19029093,-6670880,8374940,-4135226,-3426804,15526011,7963981,-5001293,-6264735,-7487469,-18753497,16566602,4000000,12566602,314.16505,7000000
Transfers recognised - capital,,18888000,0,28698000,31129000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28698000,-28698000,-100,31129000
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32698000,32698000,-100,0
Contributed assets,,0,0,32698000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,36719430,0,65396000,38129000,26015151,-1811616,-5222357,18981178,-3983273,19029093,-6670880,8374940,-4135226,-3426804,15526011,7963981,-5001293,-6264735,-7487469,-18753497,16566602,0,16566602,0,38129000
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,36719430,0,65396000,38129000,26015151,-1811616,-5222357,18981178,-3983273,19029093,-6670880,8374940,-4135226,-3426804,15526011,7963981,-5001293,-6264735,-7487469,-18753497,16566602,0,16566602,0,38129000
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,36719430,0,65396000,38129000,26015151,-1811616,-5222357,18981178,-3983273,19029093,-6670880,8374940,-4135226,-3426804,15526011,7963981,-5001293,-6264735,-7487469,-18753497,16566602,0,16566602,0,38129000
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,36719430,0,65396000,38129000,26015151,-1811616,-5222357,18981178,-3983273,19029093,-6670880,8374940,-4135226,-3426804,15526011,7963981,-5001293,-6264735,-7487469,-18753497,16566602,0,16566602,0,38129000
