Kwazulu-Natal: uMngeni(KZN222) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,111631578,0,126896080,127396080,9498143,9734081,9310098,28542322,9101069,8912573,8964110,26977752,9159362,9420255,9392688,27972305,9463595,9276852,19165633,37906080,121398459,126896080,-5497621,-4.33,127396080
Property rates - penalties and collection charges,,6037274,0,6000300,6000000,321523,112695,215571,649789,357478,183875,355963,897316,-52438,4105491,258083,4311136,184503,351613,201806,737922,6596163,5999998,596165,9.94,6000000
Service charges - electricity revenue,,51841995,0,56137847,60499742,6173374,4654290,3660869,14488533,4414576,4847363,3830415,13092354,4101370,3929252,4066495,12097117,4108169,4315934,4601007,13025110,52703114,56137847,-3434733,-6.12,60499742
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,4618837,0,4946015,4946015,402085,415238,410716,1228039,381822,411985,417430,1211237,412639,442603,429870,1285112,429234,432145,463004,1324383,5048771,4946014,102757,2.08,4946015
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,727720,0,842504,674574,8104,58237,-25560,40781,55878,55878,56047,167803,64853,64853,363371,493077,6369,66373,69446,142188,843849,842845,1004,0.12,674574
Interest earned - external investments,,1849119,0,900000,1080000,118826,70194,447525,636545,49750,35981,308247,393978,92610,128531,-288402,-67261,224253,414315,294675,933243,1896505,900000,996505,110.72,1080000
Interest earned - outstanding debtors,,1674795,0,1728430,1727885,147333,142989,138294,428616,149982,154230,152640,456852,-19134,143072,160762,284700,155826,164623,164661,485110,1655278,1727885,-72607,-4.2,1727885
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,24203330,0,9694314,26028762,457988,569783,627746,1655517,457730,583525,632580,1673835,637265,659635,479152,1776052,421488,345635,15769273,16536396,21641800,9694314,11947486,123.24,26028762
Licences and permits,,2045018,0,2292525,2292525,229020,211868,144701,585589,176159,206221,219628,602008,232249,274804,244265,751318,228757,232815,254635,716207,2655122,2292525,362597,15.82,2292525
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,48265007,0,47314000,48457862,17523000,1334000,2500000,21357000,151000,12713505,0,12864505,0,0,11196000,11196000,758799,0,2282000,3040799,48458304,47314000,1144304,2.42,48457862
Other own revenue,,4508090,0,7374459,6908215,253844,405576,402725,1062145,394680,322265,2084838,2801783,653000,647790,475465,1776255,-60483,440192,101993,481702,6121885,7374699,-1252814,-16.99,6908215
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,257402763,0,264126474,286011660,35133240,17708951,17832685,70674876,15690124,28427401,17021898,61139423,15281776,19816286,26777749,61875811,15920510,16040497,43368133,75329140,269019250,264126207,4893043,1.852539759524885,286011660
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
