Kwazulu-Natal: Mpofana(KZN223) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,9681197,0,12678976,10500000,0,866856,842126,1708982,842126,701496,864589,2408211,801809,801809,858200,2461818,0,858200,858200,1716400,8295411,12678973,-4383562,-34.57,10500000
Property rates - penalties and collection charges,,2369191,0,2639400,2639000,0,208098,213222,421320,213222,134779,213548,561549,144606,144606,71000,360212,0,71000,71000,142000,1485081,2639028,-1153947,-43.73,2639000
Service charges - electricity revenue,,40165552,0,51347658,55549000,0,6363421,570075,6933496,570075,3846182,3427159,7843416,3552159,3552159,3552159,10656477,0,3552159,3552159,7104318,32537707,51347656,-18809949,-36.63,55549000
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,2496181,0,2707420,2707200,0,231804,224890,456694,224890,230660,230926,686476,219580,219580,219580,658740,0,219580,219580,439160,2241070,2707420,-466350,-17.22,2707200
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,269972,0,4410000,209000,0,111447,550867,662314,550867,682706,647438,1881011,105095,105095,105095,315285,0,105095,105095,210190,3068800,4409896,-1341096,-30.41,209000
Interest earned - external investments,,2352112,0,2721000,500000,0,170950,159994,330944,159994,174440,183154,517588,129480,129480,127000,385960,0,127000,127000,254000,1488492,2740600,-1252108,-45.69,500000
Interest earned - outstanding debtors,,0,0,0,2241000,0,0,0,0,0,0,0,0,0,0,101000,101000,0,101000,101000,202000,303000,,303000,0,2241000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,614925,0,320400,320400,0,0,38500,38500,38500,22900,33250,94650,0,0,0,0,0,0,0,0,133150,320000,-186850,-58.39,320400
Licences and permits,,3027189,0,2386000,3064000,0,295982,248825,544807,248825,194324,267267,710416,159817,159817,159817,479451,0,159817,159817,319634,2054308,2386339,-332031,-13.91,3064000
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,29587204,0,29701000,29553000,0,735000,781976,1516976,781976,6139697,695359,7617032,0,0,7719000,7719000,0,7719000,7719000,15438000,32291008,29701000,2590008,8.72,29553000
Other own revenue,,1344855,0,139512,708000,0,29709,3467,33176,3467,11793,62196,77456,4932,4932,0,9864,0,0,0,0,120496,138840,-18344,-13.21,708000
Gains on disposal of PPE,,0,0,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500260,-1500260,-100,0
Total Revenue (excl. capital transfers and contributions),,91908378,0,110551366,107990600,0,9013267,3633942,12647209,3633942,12138977,6624886,22397805,5117478,5117478,12912851,23147807,0,12912851,12912851,25825702,84018523,110570012,-26551489,-24.01328219083489,107990600
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,25169606,0,28845400,27424259,230408,2380024,2225779,4836211,2225779,2289206,2250012,6764997,2328317,2328317,2328317,6984951,0,2328317,2328317,4656634,23242793,28844621,-5601828,-19.42,27424259
Remuneration of councillors,,1902610,0,2007007,1457000,0,190932,-66525,124407,-66525,0,115679,49154,162049,162049,162049,486147,0,162049,162049,324098,983806,2006839,-1023033,-50.98,1457000
Debt impairment,,2313408,0,8000000,6000000,0,153511,29342,182853,29342,0,0,29342,0,0,0,0,0,0,0,0,212195,8000000,-7787805,-97.35,6000000
Depreciation and asset impairment,,4479011,0,12600000,5500700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12600000,-12600000,-100,5500700
Finance charges,,579109,0,267000,267000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267000,-267000,-100,267000
Bulk purchases,,42361336,0,49674816,49675000,5234053,7137191,7201240,19572484,7201240,3548454,2017908,12767602,2370283,2370283,2370283,7110849,0,2370283,2370283,4740566,44191501,49674816,-5483315,-11.04,49675000
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,1453813,0,6354000,6354000,0,597738,597738,1195476,597738,913053,550693,2061484,0,0,0,0,0,0,0,0,3256960,6354259,-3097299,-48.74,6354000
Transfers and grants,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other expenditure,,15309642,0,11125977,11126366,1466620,-6010214,429849,-4113745,429849,744796,159605,1334250,231023,231023,231023,693069,0,231023,231023,462046,-1624380,11126220,-12750600,-114.6,11126366
Loss on disposal of PPE,,0,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,200000
Total Expenditure,,93568535,0,118874200,108004325,6931081,4449182,10417423,21797686,10417423,7495509,5093897,23006829,5091672,5091672,5091672,15275016,0,5091672,5091672,10183344,70262875,118873755,-48610880,-40.8928615067304,108004325
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-1660157,0,-8322834,-13725,-6931081,4564085,-6783481,-9150477,-6783481,4643468,1530989,-609024,25806,25806,7821179,7872791,0,7821179,7821179,15642358,13755648,-8303743,22059391,-265.65599392948457,-13725
Transfers recognised - capital,,9825203,0,16991000,21991000,0,0,3612623,3612623,3612623,2382497,2382498,8377618,0,0,0,0,0,0,0,0,11990241,16991000,-5000759,-29.43,21991000
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,8165046,0,8668166,21977275,-6931081,4564085,-3170858,-5537854,-3170858,7025965,3913487,7768594,25806,25806,7821179,7872791,0,7821179,7821179,15642358,25745889,8687257,17058632,196.36384649377817,21977275
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,8165046,0,8668166,21977275,-6931081,4564085,-3170858,-5537854,-3170858,7025965,3913487,7768594,25806,25806,7821179,7872791,0,7821179,7821179,15642358,25745889,8687257,17058632,196.36384649377817,21977275
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,8165046,0,8668166,21977275,-6931081,4564085,-3170858,-5537854,-3170858,7025965,3913487,7768594,25806,25806,7821179,7872791,0,7821179,7821179,15642358,25745889,8687257,17058632,196.36384649377817,21977275
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,8165046,0,8668166,21977275,-6931081,4564085,-3170858,-5537854,-3170858,7025965,3913487,7768594,25806,25806,7821179,7872791,0,7821179,7821179,15642358,25745889,8687257,17058632,196.36384649377817,21977275
