Kwazulu-Natal: Impendle(KZN224) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,1732359,0,3711032,3711032,2511602,160627,262120,2934349,159706,160247,160247,480200,160247,160546,160627,481420,160229,-170300,0,-10071,3885898,3711032,174866,4.71,3711032
Property rates - penalties and collection charges,,2500,0,0,0,0,0,330,330,0,330,110,440,770,0,0,770,96,0,0,96,1636,,1636,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55752,-55752,-100,0
Service charges - other,,35265,0,55752,39012,3296,3364,3296,9956,3406,3162,3162,9730,3162,3364,3364,9890,3399,-3884,0,-485,29091,,29091,0,39012
Rental of facilities and equipment,,239801,0,424053,788208,23463,39738,39260,102461,43399,40536,39182,123117,42640,40354,39738,122732,42049,-435200,0,-393151,-44841,424049,-468890,-110.57,788208
Interest earned - external investments,,1112138,0,350000,597082,11278,33156,65126,109560,56952,51413,41639,150004,62330,52175,33156,147661,36364,-51805,0,-15441,391784,350004,41780,11.94,597082
Interest earned - outstanding debtors,,73398,0,125360,125360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125360,-125360,-100,125360
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,23500,0,20000,6200,900,1900,0,2800,1000,0,600,1600,0,0,1900,1900,0,-650,0,-650,5650,20000,-14350,-71.75,6200
Licences and permits,,27789,0,33018,32002,2995,2362,2595,7952,2795,3892,1497,8184,2162,3520,2362,8044,2595,-1790,0,805,24985,33018,-8033,-24.33,32002
Agency services,,41085,0,40000,40959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39996,-39996,-100,40959
Transfers recognised - operational,,25351282,0,32746341,32746000,11421825,7985381,585694,19992900,812930,10128746,167770,11109446,708521,444954,7980813,9134288,-286412,-86479,0,-372891,39863743,32745999,7117744,21.74,32746000
Other own revenue,,257681,0,3462000,8948471,4487,936446,6533,947466,36639,9078,3850,49567,13332,42612,941015,996959,81647,1009499,0,1091146,3085138,3462201,-377063,-10.89,8948471
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,28896798,0,40967556,47034326,13979846,9162974,964954,24107774,1116827,10397404,418057,11932288,993164,747525,9162975,10903664,39967,259391,0,299358,47243084,40967411,6275673,15.318695633463388,47034326
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,17509411,0,15447114,16696112,1164945,1310245,1237248,3712438,1122709,2169705,1367939,4660353,1347222,1615894,1310246,4273362,1303473,1292219,0,2595692,15241845,15447107,-205262,-1.33,16696112
Remuneration of councillors,,0,0,1781860,2080550,129959,155880,129959,415798,129959,129959,129959,389877,148255,0,155880,304135,226592,200095,0,426687,1536497,1781860,-245363,-13.77,2080550
Debt impairment,,621175,0,150000,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,-150000,-100,150000
Depreciation and asset impairment,,3214149,0,3200000,3200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200000,-3200000,-100,3200000
Finance charges,,82016,0,66000,43923,4504,1553,3911,9968,3422,3156,2684,9262,2387,1870,1553,5810,1209,783,0,1992,27032,66000,-38968,-59.04,43923
Bulk purchases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,346960,0,450000,600000,105635,-187246,41783,-39828,25468,209286,107523,342277,34899,24929,-187246,-127418,93907,24161,0,118068,293099,450000,-156901,-34.87,600000
Transfers and grants,,10966233,0,430000,906000,2804979,965091,2314529,6084599,2714512,1896683,2198569,6809764,661121,924376,1353347,2938844,1043385,430164,0,1473549,17306756,430325,16876431,3921.79,906000
