Kwazulu-Natal: Mkhambathini(KZN226) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,7038480,0,16405935,10807261,900464,900464,900734,2701662,900808,900238,900194,2701240,899717,1021777,892199,2813693,898785,898379,1648860,3446024,11662619,16405939,-4743320,-28.91,10807261
Property rates - penalties and collection charges,,0,0,11225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11229,-11229,-100,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Interest earned - external investments,,913367,0,832374,832374,27281,60079,81956,169316,70937,58696,47974,177607,81350,72381,60286,214017,91372,116687,92411,300470,861410,832370,29040,3.49,832374
Interest earned - outstanding debtors,,0,0,156732,1200000,0,76541,81577,158118,85108,314689,0,399797,0,109917,110483,220400,116574,123083,129345,369002,1147317,156732,990585,632.02,1200000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,34340,0,89803,89803,0,0,0,0,0,0,0,0,0,0,2050,2050,0,0,0,0,2050,89803,-87753,-97.72,89803
Licences and permits,,3542510,0,3311493,4259658,332034,284780,284483,901297,311610,289891,293247,894748,383613,384434,393631,1161678,332617,263091,384114,979822,3937545,3311497,626048,18.91,4259658
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,48931984,0,48971000,50742354,15748741,150345,271880,16170966,287631,14224851,733001,15245483,546838,667480,10972097,12186415,614424,679136,2480942,3774502,47377366,48971004,-1593638,-3.25,50742354
Other own revenue,,337464,0,219141,245251,23741,50505,46255,120501,45324,608497,40042,693863,9859,14440,5390,29689,3207,1817,123107,128131,972184,219141,753043,343.63,245251
Gains on disposal of PPE,,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20004,-20004,-100,0
