Kwazulu-Natal: Richmond(KZN227) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,9486845,0,9752000,9952000,-26906,6013277,420961,6407332,464101,458744,466365,1389210,454619,454363,425425,1334407,454981,527685,9121,991787,10122736,9752260,370476,3.8,9952000
Property rates - penalties and collection charges,,824167,0,450000,550000,42304,55460,51323,149087,51429,54278,54719,160426,57640,74115,67002,198757,199852,72883,256313,529048,1037318,450000,587318,130.52,550000
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,405186,0,400000,400000,35611,35611,35646,106868,35448,35448,35414,106310,35448,35448,35448,106344,35448,35483,35483,106414,425936,399996,25940,6.49,400000
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,5176990,0,1114270,4765270,54376,51201,550623,656200,282209,286431,67871,636511,209500,227666,464508,901674,50404,790745,663028,1504177,3698562,1114270,2584292,231.93,4765270
Interest earned - external investments,,2120545,0,1800000,3000000,365749,117653,104627,588029,70789,532377,101640,704806,509348,111055,85223,705626,376116,84056,389789,849961,2848422,1800000,1048422,58.25,3000000
Interest earned - outstanding debtors,,132977,0,120000,128000,11085,11256,11705,34046,11474,11153,10888,33515,6433,5183,5734,17350,6126,6351,6464,18941,103852,120000,-16148,-13.46,128000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,138000,0,252750,52750,463,3332,220,4015,109,113,134,356,4077,216,147,4440,5725,279,77,6081,14892,252746,-237854,-94.11,52750
Licences and permits,,386075,0,640500,400500,36331,39624,31433,107388,33900,23486,12665,70051,31982,20674,31935,84591,30846,25940,22919,79705,341735,640504,-298769,-46.65,400500
Agency services,,492334,0,517000,517000,57560,29088,37865,124513,57464,23677,38186,119327,49360,41483,76894,167737,36929,22848,54037,113814,525391,516996,8395,1.62,517000
Transfers recognised - operational,,62115325,0,46917650,46813234,16406992,6231269,-4379671,18258590,122285,14676172,194363,14992820,17043,270954,11208662,11496659,506167,111229,727596,1344992,46093061,46917650,-824589,-1.76,46813234
Other own revenue,,525910,0,489610,1541032,28167,67063,54723,149953,39071,28930,24053,92054,35988,378510,70606,485104,36447,24214,29608,90269,817380,489606,327774,66.95,1541032
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,81804354,0,62453780,68119786,17011732,12654834,-3080545,26586021,1168279,16130809,1006298,18305386,1411438,1619667,12471584,15502689,1739041,1701713,2194435,5635189,66029285,62454028,3575257,5.724621957129811,68119786
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,24859031,0,31026857,29417957,1967144,2092176,2189412,6248732,2047693,3453962,2105005,7606660,2169569,2141622,2332826,6644017,2198643,2390686,2327749,6917078,27416487,31026861,-3610374,-11.64,29417957
Remuneration of councillors,,3750576,0,4214061,4214061,312548,312298,312298,937144,312298,312298,312322,936918,312298,268511,523080,1103889,361233,337049,337049,1035331,4013282,4214065,-200783,-4.76,4214061
Debt impairment,,1182720,0,500000,500000,0,0,0,0,0,0,0,0,0,0,900000,900000,0,0,0,0,900000,500000,400000,80,500000
