Kwazulu-Natal: Emnambithi/Ladysmith(KZN232) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,121413041,0,132675162,130454379,25943965,14696321,9871498,50511784,9994047,9818200,9704655,29516902,9761732,10380620,10030658,30173010,9943888,9483997,-2016178,17411707,127613403,132675162,-5061759,-3.82,130454379
Property rates - penalties and collection charges,,6618862,0,7316900,11681039,0,644224,555996,1200220,511337,529537,556023,1596897,990358,918285,915851,2824494,890706,770142,-1340020,320828,5942439,7316900,-1374461,-18.78,11681039
Service charges - electricity revenue,,229196888,0,252986591,249112938,26651557,27868917,18963143,73483617,19728022,18739386,17278236,55745644,19588646,18038279,18471904,56098829,18417240,17807429,24718224,60942893,246270983,252986591,-6715608,-2.65,249112938
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,17053881,0,18532000,19324290,1689190,1611834,2109530,5410554,1278387,623544,704651,2606582,618941,2630371,1703673,4952985,1609748,1550529,495057,3655334,16625455,18532000,-1906545,-10.29,19324290
Service charges - other,,0,0,497263,351865,89296,23512,21812,134620,38187,39347,16142,93676,16382,30438,40329,87149,19953,28019,30374,78346,393791,497263,-103472,-20.81,351865
Rental of facilities and equipment,,0,0,2480900,589234,0,33911,42047,75958,82122,41258,54002,177382,26821,39561,48885,115267,45155,30070,35058,110283,478890,2480900,-2002010,-80.7,589234
Interest earned - external investments,,6179915,0,9000000,7000000,0,0,0,0,0,0,0,0,3326562,465659,608778,4400999,362808,790893,2878968,4032669,8433668,9000000,-566332,-6.29,7000000
Interest earned - outstanding debtors,,1004745,0,10291992,1801209,1100656,391461,672967,2165084,728887,661702,516445,1907034,-2308361,228117,134352,-1945892,140862,201291,-146063,196090,2322316,10291992,-7969676,-77.44,1801209
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,8390210,0,8984640,8979462,410385,520946,408839,1340170,376294,406329,454437,1237060,345871,318127,538521,1202519,481663,357926,397043,1236632,5016381,8984640,-3968259,-44.17,8979462
Licences and permits,,5725761,0,7605596,6214347,508727,744845,471310,1724882,586859,382469,392755,1362083,12951,1090345,456011,1559307,541364,427690,688147,1657201,6303473,7605596,-1302123,-17.12,6214347
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,112181769,0,130838000,130840000,46873001,2547000,3243860,52663861,0,1210000,39927139,41137139,0,1360000,32073000,33433000,0,0,0,0,127234000,130838000,-3604000,-2.75,130840000
Other own revenue,,15313061,0,22473064,15368435,589843,697053,774009,2060905,1217631,592070,348782,2158483,629694,570929,548436,1749059,617048,778935,720727,2116710,8085157,22473064,-14387907,-64.02,15368435
Gains on disposal of PPE,,2288531,0,10240000,4882456,0,500000,360526,860526,658772,0,0,658772,0,810737,0,810737,140000,175439,0,315439,2645474,10240000,-7594526,-74.17,4882456
Total Revenue (excl. capital transfers and contributions),,525366664,0,613922108,586599654,103856620,50280024,37495537,191632181,35200545,33043842,69953267,138197654,33009597,36881468,65570398,135461463,33210435,32402360,26461337,92074132,557365430,613922108,-56556678,-9.21235402065045,586599654
