Kwazulu-Natal: Indaka(KZN233) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,2189186,0,3056643,3220438,2416149,72013,72013,2560175,72013,79496,79496,231005,70887,70887,62000,203774,70887,70887,70887,212661,3207615,3056646,150969,4.94,3220438
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,0,0,175000,0,19360,19360,19360,58080,19360,0,0,19360,656,928,59000,60584,0,0,0,0,138024,174996,-36972,-21.13,0
Service charges - other,,221852,0,0,195000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,195000
Rental of facilities and equipment,,102952,0,94349,103350,9176,9404,10220,28800,6801,6769,6769,20339,9992,5002,20000,34994,11918,9196,11053,32167,116300,94344,21956,23.27,103350
Interest earned - external investments,,3876256,0,2500000,5000000,388693,596418,591341,1576452,559749,470158,470158,1500065,571357,541310,830000,1942667,793351,632065,632991,2058407,7077591,2499996,4577595,183.1,5000000
Interest earned - outstanding debtors,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Licences and permits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,66851056,0,71820000,71524000,26762457,400000,142029,27304486,290047,974547,974547,2239141,12133881,564851,28402494,41101226,47166,47166,0,94332,70739185,71820000,-1080815,-1.5,71524000
Other own revenue,,113366,0,78000,78000,2766,17896,13934,34596,14023,2079,2079,18181,3741,2363,24000,30104,3729,1185,1259,6173,89054,78000,11054,14.17,78000
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265570,265570,265570,,265570,0,0
Total Revenue (excl. capital transfers and contributions),,73354668,0,77723992,80120788,29598601,1115091,848897,31562589,961993,1533049,1533049,4028091,12790514,1185341,29397494,43373349,927051,760499,981760,2669310,81633339,77723982,3909357,5.02979505090205,80120788
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,9256777,0,12853544,11917644,768370,775285,774433,2318088,751429,1181833,1181833,3115095,741365,890668,308296,1940329,768442,789399,887740,2445581,9819093,12853539,-3034446,-23.61,11917644
Remuneration of councillors,,5125489,0,5784953,5784952,417250,416165,442927,1276342,432978,432959,432959,1298896,432978,432978,432978,1298934,881181,476366,479084,1836631,5710803,5784948,-74145,-1.28,5784952
Debt impairment,,619003,0,700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700000,-700000,-100,0
Depreciation and asset impairment,,9805786,0,9750000,11125000,0,0,2830609,2830609,993324,993324,993324,2979972,0,993324,1983912,2977236,333277,981012,217,1314506,10102323,9750000,352323,3.61,11125000
Finance charges,,213962,0,230000,125000,0,0,46206,46206,0,0,0,0,48651,48651,-6000,91302,0,0,0,0,137508,230000,-92492,-40.21,125000
Bulk purchases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,3334586,0,4790000,8128152,260420,427369,382804,1070593,395931,249860,249860,895651,309357,1009329,10231,1328917,0,0,403653,403653,3698814,4789996,-1091182,-22.78,8128152
Transfers and grants,,559541,0,1000000,1000000,46923,50419,98610,195952,47193,48283,48283,143759,48500,0,46357,94857,0,47316,232779,280095,714663,1000000,-285337,-28.53,1000000
