Kwazulu-Natal: Umtshezi(KZN234) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,60174153,0,54206294,54206294,4640647,4715609,5912820,15269076,5122028,4710896,5532729,15365653,5121800,5121877,4707984,14951661,5153060,6923308,5260721,17337089,62923479,54206294,8717185,16.08,54206294
Property rates - penalties and collection charges,,7164545,0,6197703,10053661,731233,981643,1573935,3286811,753385,-9039,810828,1555174,941952,859675,669839,2471466,704497,549075,675378,1928950,9242401,6197703,3044698,49.13,10053661
Service charges - electricity revenue,,168690974,0,188937134,173937134,13254754,15744561,15675670,44674985,13589276,13836533,13317340,40743149,13834277,12731216,13459813,40025306,13456514,13485359,17992779,44934652,170378092,188937134,-18559042,-9.82,173937134
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,6529128,0,7477623,5477623,504644,504427,858318,1867389,523743,167868,522040,1213651,505830,506480,493776,1506086,1035610,504195,500118,2039923,6627049,7477623,-850574,-11.37,5477623
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,463433,0,489829,129829,21109,10885,13405,45399,10352,20120,13300,43772,17114,15355,159108,191577,10808,7276,31493,49577,330325,489829,-159504,-32.56,129829
Interest earned - external investments,,1774779,0,2211453,2250000,24368,36222,49313,109903,32830,39987,33417,106234,61463,15680,35864,113007,13806,18882,0,32688,361832,2211453,-1849621,-83.64,2250000
Interest earned - outstanding debtors,,668065,0,1912012,1912012,19930,43150,2136719,2199799,36256,-2035644,37504,-1961884,37394,58182,77711,173287,18749,47191,-7340,58600,469802,1912012,-1442210,-75.43,1912012
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,62090,0,121623,61623,6950,600,9800,17350,3155,600,4050,7805,1100,28500,4910,34510,1300,0,16655,17955,77620,121623,-44003,-36.18,61623
Licences and permits,,4853595,0,5440412,5440412,550856,455218,477646,1483720,515647,467375,0,983022,0,0,524214,524214,347645,195807,645483,1188935,4179891,5440412,-1260521,-23.17,5440412
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,40545933,0,45778000,45331000,15553000,475531,370941,16399472,525000,730388,8921672,10177060,0,2565308,11093560,13658868,0,0,0,0,40235400,45778000,-5542600,-12.11,45331000
Other own revenue,,3227794,0,3648746,3654546,138749,95155,299242,533146,238313,239509,625503,1103325,941767,1381356,179027,2502150,134530,1196374,303693,1634597,5773218,3648746,2124472,58.22,3654546
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,294154489,0,316420829,302454134,35446240,23063001,27377809,85887050,21349985,18168593,29818383,69336961,21462697,23283629,31405806,76152132,20876519,22927467,25418980,69222966,300599109,316420829,-15821720,-5.000214445427675,302454134
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,71116670,0,67945570,67945572,6286717,5761692,5813158,17861567,5908052,6059991,6462639,18430682,5968707,6546602,6204161,18719470,6097006,6108873,7082744,19288623,74300342,67945570,6354772,9.35,67945572
Remuneration of councillors,,5036937,0,5907976,5907975,425119,425119,425119,1275357,424524,425119,425119,1274762,425119,425119,425119,1275357,425119,425119,706801,1557039,5382515,5907976,-525461,-8.89,5907975
Debt impairment,,14452108,0,8533000,12908000,0,0,2448737,2448737,0,0,0,0,0,0,0,0,0,0,0,0,2448737,8533000,-6084263,-71.3,12908000
Depreciation and asset impairment,,38663958,0,37030000,37030001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37030000,-37030000,-100,37030001
Finance charges,,1660258,0,1392484,6392484,453497,314849,673765,1442111,610861,284763,807407,1703031,1103297,529615,588745,2221657,401327,322624,0,723951,6090750,1392484,4698266,337.4,6392484
Bulk purchases,,132912833,0,148987858,140987858,0,17237407,16768546,34005953,9931502,10716821,10630748,31279071,9361446,9646492,9895736,28903674,11736268,9937748,10587924,32261940,126450638,148987858,-22537220,-15.13,140987858
Other Materials,,10326354,0,11856177,13960807,39752,281639,43504,364895,553110,792213,1619126,2964449,2024639,524863,634418,3183920,1584866,921733,3965422,6472021,12985285,11856177,1129108,9.52,13960807
Contracted services,,10142803,0,10906092,10886092,260000,844344,1026168,2130512,924058,861596,861923,2647577,875971,870144,791058,2537173,889898,876164,914986,2681048,9996310,10906092,-909782,-8.34,10886092
Transfers and grants,,6142844,0,8537150,8537000,0,0,0,0,2435247,0,0,2435247,0,0,0,0,0,0,0,0,2435247,8537150,-6101903,-71.47,8537000
Other expenditure,,32292386,0,34092604,43606928,1401944,4067185,14967415,20436544,1138017,721638,3115622,4975277,5645375,2452629,2855629,10953633,3432669,3978462,7067551,14478682,50844136,34092604,16751532,49.14,43606928
Loss on disposal of PPE,,407063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-614,-614,-614,,-614,0,0
Total Expenditure,,323154214,0,335188911,348162717,8867029,28932235,42166412,79965676,21925371,19862141,23922584,65710096,25404554,20995464,21394866,67794884,24567153,22570723,30324814,77462690,290933346,335188911,-44255565,-13.20317097244306,348162717
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-28999725,0,-18768082,-45708583,26579211,-5869234,-14788603,5921374,-575386,-1693548,5895799,3626865,-3941857,2288165,10010940,8357248,-3690634,356744,-4905834,-8239724,9665763,-18768082,28433845,-151.50106974170296,-45708583
Transfers recognised - capital,,31405674,0,28615000,44889000,749796,576204,289444,1615444,0,2557556,782330,3339886,1546197,2187638,7603422,11337257,0,0,0,0,16292587,28615000,-12322413,-43.06,44889000
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,2405949,0,9846918,-819583,27329007,-5293030,-14499159,7536818,-575386,864008,6678129,6966751,-2395660,4475803,17614362,19694505,-3690634,356744,-4905834,-8239724,25958350,9846918,16111432,163.61903287912014,-819583
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,2405949,0,9846918,-819583,27329007,-5293030,-14499159,7536818,-575386,864008,6678129,6966751,-2395660,4475803,17614362,19694505,-3690634,356744,-4905834,-8239724,25958350,9846918,16111432,163.61903287912014,-819583
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,2405949,0,9846918,-819583,27329007,-5293030,-14499159,7536818,-575386,864008,6678129,6966751,-2395660,4475803,17614362,19694505,-3690634,356744,-4905834,-8239724,25958350,9846918,16111432,163.61903287912014,-819583
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,2405949,0,9846918,-819583,27329007,-5293030,-14499159,7536818,-575386,864008,6678129,6966751,-2395660,4475803,17614362,19694505,-3690634,356744,-4905834,-8239724,25958350,9846918,16111432,163.61903287912014,-819583
