Kwazulu-Natal: Okhahlamba(KZN235) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,22151702,0,27565768,27565768,1985594,1985594,1985594,5956782,2267938,1985594,1985593,6239125,1985594,1985936,1985594,5957124,1985594,1985594,1985594,5956782,24109813,27565768,-3455955,-12.54,27565768
Property rates - penalties and collection charges,,3075820,0,1822530,3189428,267275,274472,281612,823359,0,286658,295281,581939,299526,307486,309633,916645,309559,320611,320611,950781,3272724,1822530,1450194,79.57,3189428
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,353995,0,365306,365306,31314,31238,31238,93790,31238,31940,31941,95119,31917,32093,32245,96255,41364,37373,37373,116110,401274,365306,35968,9.85,365306
Service charges - other,,0,0,0,0,0,1305,0,1305,2900,5656,0,8556,0,0,0,0,0,0,0,0,9861,,9861,0,0
Rental of facilities and equipment,,4386,0,10000,98900,2281,1560,3509,7350,16547,10891,7668,35106,4941,7668,6396,19005,5419,5227,5227,15873,77334,10000,67334,673.34,98900
Interest earned - external investments,,3529363,0,2000000,2139682,149615,136965,0,286580,554254,617897,54036,1226187,-63320,49243,158027,143950,371835,163004,163004,697843,2354560,2000000,354560,17.73,2139682
Interest earned - outstanding debtors,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,577407,0,350000,353713,13491,25080,13335,51906,12999,22658,41500,77157,43427,44741,18050,106218,34700,21900,21900,78500,313781,350000,-36219,-10.35,353713
Licences and permits,,0,0,263245,508951,18637,171086,48770,238493,49012,25892,29982,104886,34718,12683,17384,64785,29910,35445,35445,100800,508964,263245,245719,93.34,508951
Agency services,,527442,0,860769,590771,52574,50133,54352,157059,55427,33393,46110,134930,37418,55881,66179,159478,55905,42909,42909,141723,593190,860769,-267579,-31.09,590771
Transfers recognised - operational,,78727909,0,84307000,90038550,36762450,4744000,2294100,43800550,0,24271000,151000,24422000,0,5082700,21489581,26572281,0,0,0,0,94794831,84307000,10487831,12.44,90038550
Other own revenue,,3309239,0,16169542,1385354,114188,1102731,91621,1308540,79425,685811,135495,900731,102189,48964,57812,208965,58043,32485,32485,123013,2541249,16169542,-13628293,-84.28,1385354
Gains on disposal of PPE,,697150,0,0,228100,0,50000,0,50000,178100,0,0,178100,0,0,0,0,0,0,0,0,228100,,228100,0,228100
Total Revenue (excl. capital transfers and contributions),,112954413,0,133714160,126464523,39397419,8574164,4804131,52775714,3247840,27977390,2778606,34003836,2476410,7627395,24140901,34244706,2892329,2644548,2644548,8181425,129205681,133714160,-4508479,-3.371728917864795,126464523
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,36535027,0,39011337,41012353,3039432,3046630,3277352,9363414,3308414,3659858,3428118,10396390,3408781,3382085,3384031,10174897,3601980,3348422,3348422,10298824,40233525,39011337,1222188,3.13,41012353
Remuneration of councillors,,7337666,0,7154038,7339599,612744,612726,612726,1838196,612726,612727,612726,1838179,612726,612727,612387,1837840,1303419,682294,682294,2668007,8182222,7154038,1028184,14.37,7339599
Debt impairment,,5338165,0,4322340,4322340,0,0,0,0,0,0,0,0,0,0,0,0,0,6233,6233,12466,12466,4322340,-4309874,-99.71,4322340
Depreciation and asset impairment,,9806294,0,12229671,12229671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12229671,-12229671,-100,12229671
Finance charges,,1116523,0,2297929,2297929,0,0,0,0,0,0,0,0,0,0,0,0,0,11245,11245,22490,22490,2297929,-2275439,-99.02,2297929
Bulk purchases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other Materials,,0,0,693597,1324507,250222,10715,1955063,2216000,814666,-1673543,922923,64046,662418,674268,25597,1362283,89194,86221,86221,261636,3903965,693597,3210368,462.86,1324507
Contracted services,,0,0,2870922,3544618,246738,410577,254538,911853,-46497,266399,414377,634279,0,311937,270814,582751,264369,274323,274323,813015,2941898,2870922,70976,2.47,3544618
