Kwazulu-Natal: Imbabazane(KZN236) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,7261190,0,7627446,7711158,3682886,365758,365858,4414502,365858,365570,365795,1097223,366571,365972,366572,1099115,366572,366572,366572,1099716,7710556,7627449,83107,1.09,7711158
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,58965,0,101335,70000,5488,5199,5199,15886,5199,0,0,5199,0,0,0,0,0,0,0,0,21085,101340,-80255,-79.19,70000
Interest earned - external investments,,2726584,0,2100000,2200378,11459,177105,189348,377912,216093,233750,236009,685852,665000,681784,76531,1423315,290775,49072,96555,436402,2923481,2100000,823481,39.21,2200378
Interest earned - outstanding debtors,,0,0,3200,762000,0,66398,69471,135869,0,0,0,0,0,0,0,0,0,0,0,0,135869,3204,132665,4140.61,762000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,29700,0,5300,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5304,-5304,-100,5000
