Kwazulu-Natal: Nquthu(KZN242) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,12675865,0,17333648,17333648,17985997,8174,205643,18199814,11825,43849,0,55674,-17112,3193,5287,-8632,5287,0,2795,8082,18254938,17333648,921290,5.32,17333648
Property rates - penalties and collection charges,,956100,0,381340,381340,0,0,0,0,0,48662,0,48662,0,31651,55274,86925,55274,0,57387,112661,248248,381340,-133092,-34.9,381340
Service charges - electricity revenue,,9890804,0,15964285,15964285,729472,869925,819207,2418604,822049,769219,0,1591268,733930,659605,784460,2177995,784460,888035,825510,2498005,8685872,15964285,-7278413,-45.59,15964285
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,5437416,0,1347061,1347061,195475,204982,195981,596438,196015,215537,0,411552,208031,199658,203856,611545,203856,209478,-5501290,-5087956,-3468421,1347061,-4815482,-357.48,1347061
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,519390,0,547431,485457,33137,36058,37362,106557,35035,35445,0,70480,34790,32625,170226,237641,170226,32593,32593,235412,650090,547431,102659,18.75,485457
Interest earned - external investments,,5949870,0,2000000,3700000,515919,586905,442998,1545822,585172,531391,0,1116563,723910,683535,503100,1910545,503100,564904,714250,1782254,6355184,2000000,4355184,217.76,3700000
Interest earned - outstanding debtors,,0,0,345000,344868,42414,43527,88657,174598,102636,100842,0,203478,99599,52203,52905,204707,52905,109514,74455,236874,819657,344868,474789,137.67,344868
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,416243,0,95000,95000,7550,8250,3000,18800,150600,28100,0,178700,45400,161050,78250,284700,78250,82268,64250,224768,706968,95004,611964,644.15,95000
Licences and permits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Agency services,,0,0,0,0,49430,0,0,49430,0,0,0,0,0,0,0,0,0,0,0,0,49430,,49430,0,0
Transfers recognised - operational,,124513513,0,97489000,97507000,148023,421918,474180,1044121,602685,31134913,0,31737598,192190,608280,26185303,26985773,26185303,73740,399119,26658162,86425654,97489000,-11063346,-11.35,97507000
Other own revenue,,701789,0,750000,1048177,96854,85130,21201,203185,163136,76092,0,239228,32756,29004,123637,185397,123637,186580,45138,355355,983165,749879,233286,31.11,1048177
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,161060990,0,136252765,138206836,19804271,2264869,2288229,24357369,2669153,32984050,0,35653203,2053494,2460804,28162298,32676596,28162298,2147112,-3285793,27023617,119710785,136252516,-16541731,-12.140495812936033,138206836
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,25612456,0,37094282,37845116,2252124,2395242,2414413,7061779,2467465,2412937,0,4880402,2484354,2417978,2585995,7488327,2585995,2511617,2542782,7640394,27070902,37093893,-10022991,-27.02,37845116
Remuneration of councillors,,8519657,0,13399247,13433159,709970,709970,709970,2129910,745239,755972,0,1501211,755972,755972,755972,2267916,755972,797798,769242,2323012,8222049,13399247,-5177198,-38.64,13433159
Debt impairment,,0,0,1000000,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-1000000,-100,1000000
Depreciation and asset impairment,,5760880,0,5500000,5500000,0,0,0,0,0,0,0,0,0,0,1866249,1866249,1866249,0,0,1866249,3732498,5500000,-1767502,-32.14,5500000
Finance charges,,0,0,148000,17950,0,0,128792,128792,0,0,0,0,0,0,128792,128792,128792,0,0,128792,386376,147950,238426,161.15,17950
Bulk purchases,,15718276,0,17000000,17000000,1679997,0,3530539,5210536,1394020,0,0,1394020,2398549,1189648,1166480,4754677,1166480,1404073,1906784,4477337,15836570,17000000,-1163430,-6.84,17000000
Other Materials,,0,0,808000,956561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807621,-807621,-100,956561
Contracted services,,2246680,0,6580000,6726000,0,0,0,0,0,296440,0,296440,0,0,0,0,0,0,0,0,296440,6580395,-6283955,-95.5,6726000
Transfers and grants,,14572654,0,3000000,2340000,355878,1048086,596526,2000490,697866,261392,0,959258,317846,380653,393679,1092178,393679,346627,608044,1348350,5400276,3000000,2400276,80.01,2340000
Other expenditure,,27253585,0,26316832,54123596,3468531,1133410,3676937,8278878,3991626,2876018,0,6867644,1751240,3558001,4305139,9614380,4305139,2815336,4318138,11438613,36199515,25241564,10957951,43.41,54123596
Loss on disposal of PPE,,121779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,99805967,0,110846361,138942382,8466500,5286708,11057177,24810385,9296216,6602759,0,15898975,7707961,8302252,11202306,27212519,11202306,7875451,10144990,29222747,97144626,109770670,-12626044,-11.502201817662222,138942382
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,61255023,0,25406404,-735546,11337771,-3021839,-8768948,-453016,-6627063,26381291,0,19754228,-5654467,-5841448,16959992,5464077,16959992,-5728339,-13430783,-2199130,22566159,26481846,-3915687,-14.786306815620028,-735546
Transfers recognised - capital,,0,0,80259000,40190000,36908210,6567277,2195323,45670810,2232489,0,0,2232489,738559,721223,2946849,4406631,2946849,0,10052549,12999398,65309328,80259312,-14949984,-18.63,40190000
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,61255023,0,105665404,39454454,48245981,3545438,-6573625,45217794,-4394574,26381291,0,21986717,-4915908,-5120225,19906841,9870708,19906841,-5728339,-3378234,10800268,87875487,106741158,-18865671,-17.674223657944577,39454454
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,61255023,0,105665404,39454454,48245981,3545438,-6573625,45217794,-4394574,26381291,0,21986717,-4915908,-5120225,19906841,9870708,19906841,-5728339,-3378234,10800268,87875487,106741158,-18865671,-17.674223657944577,39454454
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,61255023,0,105665404,39454454,48245981,3545438,-6573625,45217794,-4394574,26381291,0,21986717,-4915908,-5120225,19906841,9870708,19906841,-5728339,-3378234,10800268,87875487,106741158,-18865671,-17.674223657944577,39454454
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,61255023,0,105665404,39454454,48245981,3545438,-6573625,45217794,-4394574,26381291,0,21986717,-4915908,-5120225,19906841,9870708,19906841,-5728339,-3378234,10800268,87875487,106741158,-18865671,-17.674223657944577,39454454
