Kwazulu-Natal: Msinga(KZN244) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,2471507,2471507,3701591,3557000,706797,1344321,1034287,3085405,1034287,1034287,1034287,3102861,1034287,1034287,1034287,3102861,1034287,1034287,1034287,3102861,12393988,3701591,8692397,234.83,3557000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,0,0,45000,43000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45000,-45000,-100,43000
Service charges - other,,20940,20940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,382743,382743,307350,307000,7044,15941,1745,24730,1745,1745,1745,5235,1745,1745,1745,5235,1745,1745,1745,5235,40435,307350,-266915,-86.84,307000
Interest earned - external investments,,4042757,4042757,3150000,7150000,0,0,278700,278700,278700,278700,278700,836100,0,0,0,0,0,0,0,0,1114800,3150000,-2035200,-64.61,7150000
