Kwazulu-Natal: Umvoti(KZN245) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,21524734,0,22598000,28605105,2613805,2465429,2525481,7604715,2529414,2527261,2527525,7584200,2528894,2459378,2464018,7452290,2462191,0,1893519,4355710,26996915,22598000,4398915,19.47,28605105
Property rates - penalties and collection charges,,1357597,0,1551312,1299761,129747,141653,134877,406277,142148,149149,156709,448006,164874,166604,166604,498082,186511,0,161964,348475,1700840,1551312,149528,9.64,1299761
Service charges - electricity revenue,,53035751,0,56538500,56539000,4614382,5348399,4724809,14687590,5036527,4989422,4069536,14095485,4982847,3795650,5251886,14030383,3794572,0,4437918,8232490,51045948,56538500,-5492552,-9.71,56539000
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,5976734,0,0,0,0,0,0,0,0,0,0,0,0,0,566424,566424,0,0,0,0,566424,,566424,0,0
Service charges - refuse revenue,,0,0,6257600,6258000,518901,539500,512173,1570574,573382,569158,569723,1712263,569600,571237,0,1140837,565476,0,576970,1142446,5566120,6257600,-691480,-11.05,6258000
Service charges - other,,649384,0,797740,797480,35371,50350,32419,118140,64889,40916,40380,146185,70764,56347,36258,163369,14799,0,65907,80706,508400,797740,-289340,-36.27,797480
Rental of facilities and equipment,,793923,0,3107200,3091361,61079,63301,1293835,1418215,66215,71063,62518,199796,66764,68451,61398,196613,99407,0,61654,161061,1975685,3107200,-1131515,-36.42,3091361
Interest earned - external investments,,3749327,0,3000000,3000127,7218774,149973,6815149,14183896,494730,0,9933864,10428594,475546,1374118,1981232,3830896,1661989,0,0,1661989,30105375,3000000,27105375,903.51,3000127
Interest earned - outstanding debtors,,212995,0,180000,180006,0,49820,47569,97389,49068,33372,25199,107639,52744,25434,47639,125817,0,0,80485,80485,411330,180000,231330,128.52,180006
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,595551,0,804500,405000,35249,23617,20258,79124,21806,379,19879,42064,11742,19264,12488,43494,29496,0,20771,50267,214949,804500,-589551,-73.28,405000
Licences and permits,,1781717,0,1955050,1955901,143756,121890,126316,391962,154551,109852,167997,432400,12132,196,393298,405626,139309,0,145455,284764,1514752,1955050,-440298,-22.52,1955901
Agency services,,1120183,0,1150000,1150000,78879,84084,50457,213420,93193,56022,108093,257308,10779,0,195229,206008,68936,0,165134,234070,910806,1150000,-239194,-20.8,1150000
Transfers recognised - operational,,84308927,0,66465000,68778000,24895800,3073963,237156,28206919,2791994,2388778,26269546,31450318,6936523,8095929,4762611,19795063,17073208,0,16083519,33156727,112609027,66465000,46144027,69.43,68778000
Other own revenue,,1048917,0,141400,141229,2758,5452,21997,30207,0,5772,3118,8890,3248,3144,30286,36678,6426,0,1864,8290,84065,141400,-57335,-40.55,141229
Gains on disposal of PPE,,0,0,10000,10000,0,0,0,0,0,25702,0,25702,0,0,0,0,0,0,0,0,25702,10000,15702,157.02,10000
Total Revenue (excl. capital transfers and contributions),,176155740,0,164556302,172210970,40348501,12117431,16542496,69008428,12017917,10966846,43954087,66938850,15886457,16635752,15969371,48491580,26102320,0,23695160,49797480,234236338,164556302,69680036,42.3441917162188,172210970
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,51523902,0,71855605,60500115,4141490,3617167,4437125,12195782,3826589,6164464,4595193,14586246,4186487,4373599,4276446,12836532,5350228,0,3439387,8789615,48408175,71855605,-23447430,-32.63,60500115
Remuneration of councillors,,6868774,0,6319710,7820000,417664,543988,526076,1487728,681295,428436,568535,1678266,425572,666662,554230,1646464,0,0,608973,608973,5421431,6319710,-898279,-14.21,7820000
Debt impairment,,0,0,4325329,2700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4325329,-4325329,-100,2700000
Depreciation and asset impairment,,19618142,0,21542773,21973000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21542773,-21542773,-100,21973000
Finance charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Bulk purchases,,28477358,0,41000000,41000000,0,5076281,4492422,9568703,2467395,2969622,2373210,7810227,2305539,2265429,2115309,6686277,0,0,2569721,2569721,26634928,41000000,-14365072,-35.04,41000000
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,10862121,0,13383080,10201328,182463,573114,413379,1168956,220447,915464,276227,1412138,808788,727557,964586,2500931,49861,0,1454821,1504682,6586707,13383080,-6796373,-50.78,10201328
Transfers and grants,,1346404,0,42544000,911013,84742,114137,105770,304649,107230,107073,105072,319375,220859,129129,37956,387944,68831,0,158907,227738,1239706,42544000,-41304294,-97.09,911013
Other expenditure,,33407900,0,25383000,40543820,1490734,1925205,3441629,6857568,2996748,4365231,3530076,10892055,7616292,15431629,12160852,35208773,1078537,0,28877426,29955963,82914359,25383000,57531359,226.65,40543820
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,152104601,0,226353497,185649276,6317093,11849892,13416401,31583386,10299704,14950290,11448313,36698307,15563537,23594005,20109379,59266921,6547457,0,37109235,43656692,171205306,226353497,-55148191,-24.363745968545828,185649276
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,24051139,0,-61797195,-13438306,34031408,267539,3126095,37425042,1718213,-3983444,32505774,30240543,322920,-6958253,-4140008,-10775341,19554863,0,-13414075,6140788,63031032,-61797195,124828227,-201.99659062195298,-13438306
Transfers recognised - capital,,0,0,40426000,52622000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48385651,-48385651,-100,52622000
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,24051139,0,-21371195,39183694,34031408,267539,3126095,37425042,1718213,-3983444,32505774,30240543,322920,-6958253,-4140008,-10775341,19554863,0,-13414075,6140788,63031032,-13411544,76442576,-569.9759550429093,39183694
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,24051139,0,-21371195,39183694,34031408,267539,3126095,37425042,1718213,-3983444,32505774,30240543,322920,-6958253,-4140008,-10775341,19554863,0,-13414075,6140788,63031032,-13411544,76442576,-569.9759550429093,39183694
