Kwazulu-Natal: Newcastle(KZN252) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,175478677,0,242669800,217945680,19393258,20239763,18711796,58344817,14478384,20106637,14289223,48874244,17380387,15900183,18585857,51866427,18585857,18509446,12831903,49927206,209012694,242669800,-33657106,-13.87,217945680
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,503120765,0,609525428,612275429,23720771,61789086,56996515,142506372,46919502,41242689,55915164,144077355,43225638,186014,43847035,87258687,43847035,42797714,107601409,194246158,568088572,609525428,-41436856,-6.8,612275429
Service charges - water revenue,,143077136,0,164356278,164356278,13067215,13358747,13760259,40186221,13768565,13345932,5898172,33012669,11936803,0,12824096,24760899,12824096,14391650,8667476,35883222,133843011,164356278,-30513267,-18.57,164356278
Service charges - sanitation revenue,,83524763,0,90288265,90288265,7446057,7407200,7671103,22524360,4563989,4531562,4456244,13551795,5954324,0,7437082,13391406,7437082,0,15385000,22822082,72289643,90288265,-17998622,-19.93,90288265
Service charges - refuse revenue,,68870769,0,73449693,73449693,6143618,6168611,6203644,18515873,6203285,6009759,-3924023,8289021,5300057,6102643,6079617,17482317,6079617,6153343,-3572453,8660507,52947718,73449693,-20501975,-27.91,73449693
Service charges - other,,23201,0,0,0,0,0,277635,277635,0,0,-277635,-277635,0,0,7,7,7,0,0,7,14,,14,0,0
Rental of facilities and equipment,,4639974,0,6478502,6478504,336352,597822,457836,1392010,336376,486452,868469,1691297,606640,308095,474721,1389456,462721,470337,901722,1834780,6307543,6478502,-170959,-2.64,6478504
Interest earned - external investments,,17896938,0,16872072,16872072,2168646,556096,911397,3636139,1113102,940599,829509,2883210,857375,602907,226169,1686451,226169,378802,946956,1551927,9757727,16872072,-7114345,-42.17,16872072
Interest earned - outstanding debtors,,7621372,0,8130887,8130887,695314,707771,1413182,2816267,387367,465494,340840,1193701,710079,705485,695725,2111289,695725,1595585,-347743,1943567,8064824,8130887,-66063,-0.81,8130887
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,9022484,0,2827207,2827207,148723,186234,279690,614647,408989,219733,1895460,2524182,158251,138069,2069048,2365368,204048,1033417,-66233,1171232,6675429,2827207,3848222,136.11,2827207
Licences and permits,,7294,0,3303,11795,1754,3158,99985,104897,702,1053,-98812,-97057,924,877,877,2678,877,702,702,2281,12799,3303,9496,287.5,11795
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,434932499,0,298618069,302434081,202439,113301486,1376806,114880731,4445071,105356391,33936764,143738226,20312662,1344221,79793044,101449927,88990044,14267260,-64245339,39011965,399080849,298618069,100462780,33.64,302434081
Other own revenue,,7995017,0,13142389,13500000,712050,3473253,430790,4616093,-4237656,2603177,5984236,4349757,2252991,68147069,1630690,72030750,1630690,8827066,-58018601,-47560845,33435755,13142389,20293366,154.41,13500000
Gains on disposal of PPE,,0,0,0,0,0,0,175439,175439,-175000,0,0,-175000,0,0,0,0,0,0,0,0,439,,439,0,0
Total Revenue (excl. capital transfers and contributions),,1456210889,0,1526361893,1508569891,74036197,227789227,108766077,410591501,88212676,195309478,120113611,403635765,108696131,93435563,173663968,375795662,180983968,108425322,20084799,309494089,1499517017,1526361893,-26844876,-1.7587490963389767,1508569891
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,353488528,0,399662967,411637395,26234434,29814493,31449130,87498057,29315485,30256641,28965857,88537983,31828372,32647506,31355281,95831159,31355281,36555275,24998431,92908987,364776186,399662967,-34886781,-8.73,411637395
Remuneration of councillors,,18190799,0,18120877,18120877,1388802,1365711,1494352,4248865,1493677,1298665,2326855,5119197,1437559,0,2197000,3634559,0,0,0,0,13002621,18120877,-5118256,-28.25,18120877
Debt impairment,,11177793,0,296728013,98909338,0,0,0,0,0,0,16042000,16042000,0,0,16042,16042,0,0,-16058000,-16058000,42,296728014,-296727972,-100,98909338
Depreciation and asset impairment,,262790575,0,238001942,238001940,17231314,19833531,46936424,84001269,20135133,19654694,-2444485,37345342,17398776,16410595,15929687,49739058,16168687,0,25365246,41533933,212619602,238001942,-25382340,-10.66,238001940
Finance charges,,11325408,0,22158396,22158395,1936637,1936038,3117117,6989792,964980,1858880,2143805,4967665,1985529,1980445,1367053,5333027,1897053,1613681,2100992,5611726,22902210,22158395,743815,3.36,22158395
Bulk purchases,,435608308,0,432240000,415000000,52834424,52834424,81417150,187085998,9719314,10814449,17631768,38165531,29481018,28398537,27643038,85522593,27643038,27331789,54105633,109080460,419854582,432240000,-12385418,-2.87,415000000
Other Materials,,3237518,0,3556888,3091605,84555,2585,12738381,12825521,165655,253171,-12262095,-11843269,175911,127023,618697,921631,739697,264465,-31420,972742,2876625,3557889,-681264,-19.15,3091605
Contracted services,,117439592,0,161322228,164852658,-330596,16147641,6967140,22784185,12700741,7877416,25148774,45726931,11096144,9031549,19018316,39146009,885316,14225136,39273986,54384438,162041563,161322228,719335,0.45,164852658
Transfers and grants,,46560867,0,54913028,69599800,0,0,0,0,0,0,0,0,0,0,0,0,0,349895,-350000,-105,-105,54913028,-54913133,-100,69599800
Other expenditure,,161687110,0,231764661,264858883,9283645,19348703,12394610,41026958,21684993,21597024,17358842,60640859,18143760,32187411,63766318,114097489,42022318,30672975,-113469,72581824,288347130,231763348,56583782,24.41,264858883
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,1421506498,0,1858469000,1706230891,108663215,141283126,196514304,446460645,96179978,93610940,94911321,284702239,111547069,120783066,161911432,394241567,120711390,111013216,129291399,361016005,1486420456,1858468688,-372048232,-20.019074542513895,1706230891
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,34704391,0,-332107107,-197661000,-34627018,86506101,-87748227,-35869144,-7967302,101698538,25202290,118933526,-2850938,-27347503,11752536,-18445905,60272578,-2587894,-109206600,-51521916,13096561,-332106795,345203356,-103.94347878368461,-197661000
Transfers recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,34704391,0,-332107107,-197661000,-34627018,86506101,-87748227,-35869144,-7967302,101698538,25202290,118933526,-2850938,-27347503,11752536,-18445905,60272578,-2587894,-109206600,-51521916,13096561,-332106795,345203356,-103.94347878368461,-197661000
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,34704391,0,-332107107,-197661000,-34627018,86506101,-87748227,-35869144,-7967302,101698538,25202290,118933526,-2850938,-27347503,11752536,-18445905,60272578,-2587894,-109206600,-51521916,13096561,-332106795,345203356,-103.94347878368461,-197661000
Attributable to minorities,,-14248537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,20455854,0,-332107107,-197661000,-34627018,86506101,-87748227,-35869144,-7967302,101698538,25202290,118933526,-2850938,-27347503,11752536,-18445905,60272578,-2587894,-109206600,-51521916,13096561,-332106795,345203356,-103.94347878368461,-197661000
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,20455854,0,-332107107,-197661000,-34627018,86506101,-87748227,-35869144,-7967302,101698538,25202290,118933526,-2850938,-27347503,11752536,-18445905,60272578,-2587894,-109206600,-51521916,13096561,-332106795,345203356,-103.94347878368461,-197661000
