Kwazulu-Natal: eMadlangeni(KZN253) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,12558758,0,12659662,13183253,8613112,415522,415462,9444096,415462,415462,415462,1246386,415462,415462,415462,1246386,415462,415599,0,831061,12767929,12659659,108270,0.86,13183253
Property rates - penalties and collection charges,,1533958,0,2065596,2065596,122790,209247,211017,543054,129563,130251,133276,393090,134841,135854,138290,408985,140211,142013,0,282224,1627353,2065596,-438243,-21.22,2065596
Service charges - electricity revenue,,11635896,0,12027256,12027256,1140900,923958,1096456,3161314,913897,976064,920354,2810315,1028928,906755,873443,2809126,1149209,931949,0,2081158,10861913,12027256,-1165343,-9.69,12027256
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,1284202,0,1393539,1346641,112251,112205,112173,336629,112205,112137,112180,336522,112251,111778,112200,336229,112087,112151,0,224238,1233618,1393536,-159918,-11.48,1346641
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,825341,0,1496972,1034796,57446,62055,79757,199258,86599,75983,77657,240239,88209,73124,78826,240159,99713,70424,0,170137,849793,1496972,-647179,-43.23,1034796
Interest earned - external investments,,1292905,0,1078221,1078221,70327,85920,98675,254922,104536,104976,113855,323367,126613,114674,130596,371883,122094,119988,0,242082,1192254,1078224,114030,10.58,1078221
Interest earned - outstanding debtors,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,57431,0,101237,24759,5000,1925,2350,9275,1231,1232,1500,3963,934,1271,626,2831,4587,152200,0,156787,172856,101238,71618,70.74,24759
Licences and permits,,1040956,0,1270232,953141,81286,67667,76353,225306,81914,79573,54869,216356,78029,75181,82729,235939,56311,73104,0,129415,807016,1270230,-463214,-36.47,953141
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,263,263,,263,0,0
Transfers recognised - operational,,35076437,0,29862000,22246500,7701434,1482537,1143561,10327532,1853612,5804795,2171675,9830082,3444446,1211418,6437866,11093730,1420044,1438716,0,2858760,34110104,29862000,4248104,14.23,22246500
Other own revenue,,2282337,0,1294537,630174,17261,15992,40991,74244,24931,108700,66418,200049,97955,25268,34830,158053,134189,111378,0,245567,677913,1294535,-616622,-47.63,630174
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
