Kwazulu-Natal: Dannhauser(KZN254) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,11666910,0,9519000,9518862,1088547,1085097,1087622,3261266,1118142,1099375,1117678,3335195,1116416,1116902,1117305,3350623,1118040,1218545,1092195,3428780,13375864,9375109,4000755,42.67,9518862
Property rates - penalties and collection charges,,0,0,160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50374,-50374,-100,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,852014,0,950958,0,77444,77293,77417,232154,75926,77411,77411,230748,77411,77411,77377,232199,77496,77495,75061,230052,925153,950958,-25805,-2.71,0
Service charges - other,,0,0,0,0,0,3853,5159,9012,6139,267454,1791,275384,78339,79191,2172,159702,6678,4630,0,11308,455406,,455406,0,0
Rental of facilities and equipment,,164231,0,118339,60000,7223,0,0,7223,30614,14491,14021,59126,11824,11824,9413,33061,8887,9826,6074,24787,124197,118339,5858,4.95,60000
Interest earned - external investments,,1410400,0,1610359,845236,68113,93932,173804,335849,125542,100310,89276,315128,59081,99113,114254,272448,181236,173357,163384,517977,1441402,1610359,-168957,-10.49,845236
Interest earned - outstanding debtors,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13400,13400,0,0,0,0,13400,,13400,0,0
Fines,,475423,0,701390,0,29950,29950,29950,89850,29950,29950,29950,89850,3100,3100,68934,75134,0,0,3100,3100,257934,301390,-43456,-14.42,0
Licences and permits,,1642877,0,1500000,1299616,101463,105258,59190,265911,612254,54152,463865,1130271,104352,104352,0,208704,0,0,107382,107382,1712268,1370000,342268,24.98,1299616
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,56930218,0,64513000,66513000,0,0,0,0,0,0,0,0,0,0,16283000,16283000,0,0,0,0,16283000,64520000,-48237000,-74.76,66513000
Other own revenue,,8518167,0,12091000,16347506,66306,829064,594366,1489736,656894,22064079,67960,22788933,938448,55071,96717,1090236,30615,20590,4116,55321,25424226,12091116,13333110,110.27,16347506
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43373,43373,0,0,1870693,1870693,1914066,,1914066,0,0
Total Revenue (excl. capital transfers and contributions),,81660240,0,91164046,94584220,1439046,2224447,2027508,5691001,2655461,23707222,1861952,28224635,2388971,1546964,17825945,21761880,1422952,1504443,3322005,6249400,61926916,90387645,-28460729,-31.487410696450823,94584220
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,17903676,0,28241413,28285724,1537067,0,1623296,3160363,1626259,1577905,1642133,4846297,1592197,1596012,1628546,4816755,1791709,1646539,1771190,5209438,18032853,28268609,-10235756,-36.21,28285724
Remuneration of councillors,,4821313,0,6555000,0,491534,0,491743,983277,491543,491543,491543,1474629,491543,491543,491807,1474893,491543,491543,491543,1474629,5407428,6556189,-1148761,-17.52,0
Debt impairment,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Depreciation and asset impairment,,25304524,0,2000000,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2000000
Finance charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Bulk purchases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
