Kwazulu-Natal: eDumbe(KZN261) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,5162086,0,5995542,7768028,1732186,682416,681916,3096518,684882,683639,683814,2052335,684107,-842824,-595690,-754407,537927,-6213,542147,1073861,5468307,5995548,-527241,-8.79,7768028
Property rates - penalties and collection charges,,1521793,0,567254,0,0,0,0,0,0,0,0,0,0,0,2700,2700,0,0,0,0,2700,567252,-564552,-99.52,0
Service charges - electricity revenue,,0,0,20778593,20930732,963230,833758,1966595,3763583,1368325,979996,1187107,3535428,128505,11716401,8764590,20609496,1197319,432679,1268625,2898623,30807130,20778588,10028542,48.26,20930732
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,0,0,5264582,5264582,436208,435576,435664,1307448,435341,434731,434954,1305026,434467,-434268,434085,434284,427047,871,435038,862956,3909714,5264580,-1354866,-25.74,5264582
Service charges - other,,14589044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,651475,0,1203946,1312510,7000,0,1225110,1232110,6000,0,6000,12000,0,-5500,5000,-500,5500,2500,4500,12500,1256110,1203948,52162,4.33,1312510
Interest earned - external investments,,197661,0,134075,134075,0,0,0,0,0,10055,0,10055,0,-5873,20618,14745,0,0,0,0,24800,134076,-109276,-81.5,134075
Interest earned - outstanding debtors,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,175,175,,175,0,0
Fines,,1602946,0,300279,300279,61168,21126,44556,126850,19747,22509,34034,76290,28303,-39919,43589,31973,45705,41142,39103,125950,361063,300276,60787,20.24,300279
Licences and permits,,1026745,0,958206,958206,98544,93968,99130,291642,92937,75241,70536,238714,96795,-115069,108048,89774,85664,88403,77425,251492,871622,958212,-86590,-9.04,958206
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,44035634,0,52186550,52187000,18365000,0,0,18365000,0,11213000,0,11213000,0,-4902000,11041000,6139000,0,0,0,0,35717000,52186548,-16469548,-31.56,52187000
