Kwazulu-Natal: uPhongolo(KZN262) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,17815940,0,23064254,0,0,0,2537138,2537138,2537089,2537089,2537089,7611267,2537088,5069969,0,7607057,2546629,2551517,0,5098146,22853608,23064254,-210646,-0.91,0
Property rates - penalties and collection charges,,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2295328,2295328,2295328,,2295328,0,0
Service charges - electricity revenue,,25234385,0,26528763,26528763,1920472,2202060,2056998,6179530,2092313,2135372,2077374,6305059,2781412,5859625,0,8641037,2349892,2073469,1921361,6344722,27470348,26528763,941585,3.55,26528763
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,5223007,0,6784728,7710062,601400,654353,649246,1904999,649850,650092,650092,1950034,802116,1488108,0,2290224,671210,676720,669506,2017436,8162693,6784727,1377966,20.31,7710062
Service charges - other,,1064789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,840103,0,1389505,1389505,70781,48538,22429,141748,50340,48262,48022,146624,47630,94248,0,141878,52234,49614,51023,152871,583121,1389505,-806384,-58.03,1389505
Interest earned - external investments,,1585291,0,1761916,1761916,89221,82862,58556,230639,131067,41236,101869,274172,102565,164278,74106,340949,3131,221707,93648,318486,1164246,1761916,-597670,-33.92,1761916
Interest earned - outstanding debtors,,4054538,0,3825703,2321476,386289,400638,400435,1187362,403217,417251,412681,1233149,430258,872430,0,1302688,465746,474380,474120,1414246,5137445,3825703,1311742,34.29,2321476
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,284950,0,397503,397503,7650,1300,4200,13150,4550,12728,0,17278,7500,13850,0,21350,35500,23700,8950,68150,119928,397503,-277575,-69.83,397503
Licences and permits,,1669110,0,2436139,1774585,153914,110143,177633,441690,180918,113002,92360,386280,141336,260225,0,401561,129111,145811,143166,418088,1647619,2436139,-788520,-32.37,1774585
