Kwazulu-Natal: Abaqulusi(KZN263) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,49843775,0,55650000,55750000,4528512,4354228,4482886,13365626,4558557,4564809,4562107,13685473,4522552,4566420,4453806,13542778,4498692,4573283,4553624,13625599,54219476,55649996,-1430520,-2.57,55750000
Property rates - penalties and collection charges,,1306087,0,1400000,1900000,164635,135947,169456,470038,174103,144033,147776,465912,152617,154335,156484,463436,160106,163368,167493,490967,1890353,1400000,490353,35.03,1900000
Service charges - electricity revenue,,140204417,0,161919370,155330030,12346344,12570797,12396454,37313595,12936564,12169944,12047781,37154289,12791036,11297369,12411279,36499684,11270570,11898144,10023126,33191840,144159408,161919370,-17759962,-10.97,155330030
Service charges - water revenue,,36128073,0,39758700,46871070,3092797,3336105,3510101,9939003,2611689,3133897,3191353,8936939,5358516,2976815,2806046,11141377,2746824,3056566,701845,6505235,36522554,39758700,-3236146,-8.14,46871070
Service charges - sanitation revenue,,19207756,0,22170110,22091060,1805720,1815743,11859957,15481420,1845592,1839435,1870919,5555946,1815301,5798810,1789395,9403506,1804485,1828637,1839738,5472860,35913732,22170110,13743622,61.99,22091060
Service charges - refuse revenue,,13952911,0,16136010,16136010,1341284,1340574,1338620,4020478,1340131,1336692,1328013,4004836,1311081,1325775,1321222,3958078,1317415,1272629,1322149,3912193,15895585,16136006,-240421,-1.49,16136010
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,1188729,0,1305110,1315000,69672,138537,84062,292271,58963,131291,185877,376131,73870,151813,104182,329865,74484,151872,74654,301010,1299277,1305112,-5835,-0.45,1315000
Interest earned - external investments,,4369190,0,4254390,2670000,43366,57657,386412,487435,276856,193230,130797,600883,418932,358875,247856,1025663,274518,357993,185555,818066,2932047,4254390,-1322343,-31.08,2670000
Interest earned - outstanding debtors,,5420,0,0,15000,1349,1333,1329,4011,1333,1330,1318,3981,1313,1311,1313,3937,1295,1291,1288,3874,15803,,15803,0,15000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,9374998,0,2240180,1506000,144600,202514,23100,370214,18948,113386,9070,141404,4351,18757,66709,89817,50138,66736,94554,211428,812863,2240182,-1427319,-63.71,1506000
Licences and permits,,4414582,0,5427700,4100000,422480,313801,176073,912354,497915,257623,283948,1039486,400513,292163,399019,1091695,179755,454218,385624,1019597,4063132,5427696,-1364564,-25.14,4100000
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,133144804,0,106545000,115880000,37776000,62,0,37776062,0,2826000,31962000,34788000,0,9069355,25897000,34966355,-50000,5581834,36069,5567903,113098320,106545000,6553320,6.15,115880000
Other own revenue,,43171650,0,3203340,9991530,273619,276244,213016,762879,251780,217147,125942,594869,261766,239408,123857,625031,80665,237448,179727,497840,2480619,3202880,-722261,-22.55,9991530
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,456312392,0,420009910,433555700,62010378,24543542,34641466,121195386,24572431,26928817,55846901,107348149,27111848,36251206,49778168,113141222,22408947,29644019,19565446,71618412,413303169,420009442,-6706273,-1.5966957714250625,433555700
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,103610918,0,110424220,119734360,8319063,8747868,9062918,26129849,8573359,13146139,9376615,31096113,8542709,8513057,19740641,36796407,9271002,9456817,9663053,28390872,122413241,110424220,11989021,10.86,119734360
Remuneration of councillors,,13981115,0,15495110,15380110,1112526,1177485,1081148,3371159,1196228,1173498,1239438,3609164,1216241,1216852,1171810,3604903,1808914,1236734,1234929,4280577,14865803,15495106,-629303,-4.06,15380110
Debt impairment,,7128490,0,1602000,1602000,0,0,400500,400500,0,0,400500,400500,0,0,400500,400500,0,0,0,0,1201500,1602000,-400500,-25,1602000
Depreciation and asset impairment,,88654874,0,20769520,20769520,1730794,1730794,1730794,5192382,1730794,1730794,1730794,5192382,1730794,1730794,1730794,5192382,0,3461585,1528668,4990253,20567399,20769520,-202121,-0.97,20769520
Finance charges,,892016,0,0,650000,0,632621,-632621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,650000
Bulk purchases,,122108105,0,144156500,134056500,166887,16081371,15724612,31972870,9405153,10714134,10433006,30552293,7081955,9055344,8571924,24709223,9664786,8546809,10502219,28713814,115948200,144156500,-28208300,-19.57,134056500
Other Materials,,0,0,28802970,27975220,0,1446476,193183,1639659,3753652,625624,893779,5273055,1034822,2371089,2158068,5563979,495810,1287063,2673589,4456462,16933155,28802970,-11869815,-41.21,27975220
Contracted services,,32667753,0,32442730,33160000,2061883,4680142,4043102,10785127,3092165,3189642,2823162,9104969,2593261,2744514,3288046,8625821,2513248,1858556,3898951,8270755,36786672,32443115,4343557,13.39,33160000
