Kwazulu-Natal: Nongoma(KZN265) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,12319540,0,23407000,15792473,7295601,669598,674134,8639333,676558,677129,676493,2030180,676492,676513,676470,2029475,676492,670402,682582,2029476,14728464,23407249,-8678785,-37.08,15792473
Property rates - penalties and collection charges,,0,0,4975000,2411465,0,0,0,0,289622,146140,152509,588271,154438,154215,271057,579710,0,0,0,0,1167981,4974711,-3806730,-76.52,2411465
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,1515342,0,1602000,1601965,135104,135199,135009,405312,134647,134551,134551,403749,134551,134193,162733,431477,138013,137918,137546,413477,1654015,1601966,52049,3.25,1601965
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,117047,0,177000,164223,10470,4343,877,15690,9787,877,877,11541,14798,5053,16056,35907,17437,8889,4713,31039,94177,176649,-82472,-46.69,164223
Interest earned - external investments,,476343,0,512000,1186979,93323,125579,103799,322701,99825,82745,80872,263442,110739,75363,84537,270639,96055,108154,78559,282768,1139550,511728,627822,122.69,1186979
Interest earned - outstanding debtors,,1355643,0,0,0,131954,131225,234280,497459,0,0,0,0,0,0,0,0,157091,38383,160755,356229,853688,,853688,0,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,334063,0,71000,378813,2405,5952,10600,18957,6110,6480,5250,17840,2864,3957,9864,16685,4712,10126,5423,20261,73743,71323,2420,3.39,378813
Licences and permits,,677920,0,1010000,640160,79303,66834,44512,190649,42651,60581,32814,136046,50531,79695,65773,195999,51829,42020,63561,157410,680104,1010000,-329896,-32.66,640160
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,85942387,0,100870000,100720000,38467054,4233928,432807,43133789,283879,24995094,455063,25734036,329503,487097,26424624,27241224,371386,494839,27982,894207,97003256,100870000,-3866744,-3.83,100720000
Other own revenue,,931238,0,628000,393784,41321,25614,48281,115216,41106,7129,24919,73154,17590,23494,31098,72182,13313,103808,10267,127388,387940,628363,-240423,-38.26,393784
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,103669523,0,133252000,123289862,46256535,5398272,1684299,53339106,1584185,26110726,1563348,29258259,1491506,1639580,27742212,30873298,1526328,1614539,1171388,4312255,117782918,133251989,-15469071,-11.608885627966124,123289862
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,50031631,0,49590512,49823405,3954927,3949645,3129413,11033985,4008644,6205050,4085797,14299491,4065160,3871994,4052353,11989507,4050087,4121417,4060529,12232033,49555016,49590511,-35495,-0.07,49823405
Remuneration of councillors,,9847212,0,11052242,11424529,899703,887606,887751,2675060,887752,895676,875631,2659059,875272,881340,899771,2656383,1363432,943162,943162,3249756,11240258,11052242,188016,1.7,11424529
Debt impairment,,2630243,0,1271844,1271843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1271844,-1271844,-100,1271843
Depreciation and asset impairment,,17624373,0,10587673,8587672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10587673,-10587673,-100,8587672
Finance charges,,367826,0,462398,44926,4477,4595,4428,13500,4121,0,7879,12000,3742,3338,3282,10362,3214,2939,2857,9010,44872,462398,-417526,-90.3,44926
Bulk purchases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other Materials,,0,0,0,0,0,0,0,0,98189,0,0,98189,0,0,0,0,0,0,0,0,98189,,98189,0,0
Contracted services,,9112889,0,15632000,15041000,426580,592387,588486,1607453,643378,2310428,2240646,5194452,-450831,1102542,829330,1481041,621113,412272,407788,1441173,9724119,15632397,-5908278,-37.8,15041000
Transfers and grants,,134396,0,122000,140658,0,50500,32767,83267,23451,0,11791,35242,23148,11280,11023,45451,11145,11513,102000,124658,288618,122188,166430,136.21,140658
Other expenditure,,33545455,0,35730000,31575000,3101697,3047054,2798570,8947321,3195616,2151396,2412577,7759589,1292971,3190877,1719378,6203226,4370743,3520626,3308764,11200133,34110269,35730197,-1619928,-4.53,31575000
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,16372,0,16372,0,0,0,0,16372,,16372,0,0
Total Expenditure,,123294025,0,124448669,117909033,8387384,8531787,7441415,24360586,8861151,11562550,9634321,30058022,5809462,9077743,7515137,22402342,10419734,9011929,8825100,28256763,105077713,124449450,-19371737,-15.565948262527476,117909033
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-19624502,0,8803331,5380829,37869151,-3133515,-5757116,28978520,-7276966,14548176,-8070973,-799763,-4317956,-7438163,20227075,8470956,-8893406,-7397390,-7653712,-23944508,12705205,8802539,3902666,44.33568541985443,5380829
Transfers recognised - capital,,58129595,0,45679000,45679000,670567,0,4742380,5412947,6627632,4966292,7005556,18599480,2319114,2269542,1954060,6542716,1325374,3274721,2732222,7332317,37887460,45679000,-7791540,-17.06,45679000
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,38505093,0,54482331,51059829,38539718,-3133515,-1014736,34391467,-649334,19514468,-1065417,17799717,-1998842,-5168621,22181135,15013672,-7568032,-4122669,-4921490,-16612191,50592665,54481539,-3888874,-7.137966495403149,51059829
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,38505093,0,54482331,51059829,38539718,-3133515,-1014736,34391467,-649334,19514468,-1065417,17799717,-1998842,-5168621,22181135,15013672,-7568032,-4122669,-4921490,-16612191,50592665,54481539,-3888874,-7.137966495403149,51059829
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,38505093,0,54482331,51059829,38539718,-3133515,-1014736,34391467,-649334,19514468,-1065417,17799717,-1998842,-5168621,22181135,15013672,-7568032,-4122669,-4921490,-16612191,50592665,54481539,-3888874,-7.137966495403149,51059829
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,38505093,0,54482331,51059829,38539718,-3133515,-1014736,34391467,-649334,19514468,-1065417,17799717,-1998842,-5168621,22181135,15013672,-7568032,-4122669,-4921490,-16612191,50592665,54481539,-3888874,-7.137966495403149,51059829
