Kwazulu-Natal: Ulundi(KZN266) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,42080349,0,45766000,52533144,28943707,1817553,6064628,36825888,1808802,1588557,1599831,4997190,1755041,1758481,796295,4309817,1738768,1769181,27998099,31506048,77638943,45765552,31873391,69.64,52533144
Property rates - penalties and collection charges,,1086526,0,904000,904346,0,0,0,0,0,-1724,0,-1724,-340970,2552,0,-338418,4574,2616,2589,9779,-330363,904342,-1234705,-136.53,904346
Service charges - electricity revenue,,55968469,0,72969000,77596623,2153571,1784563,2359470,6297604,5768074,3161774,4427225,13357073,4792144,2006414,1947963,8746521,3846792,3891650,1907944,9646386,38047584,72969300,-34921716,-47.86,77596623
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,6943952,0,6416000,5890343,0,0,496002,496002,487347,480290,474896,1442533,545315,478250,478250,1501815,470457,468167,475134,1413758,4854108,6415656,-1561548,-24.34,5890343
Service charges - other,,0,0,0,0,0,980434,1657,982091,0,0,0,0,715,0,0,715,0,0,0,0,982806,,982806,0,0
Rental of facilities and equipment,,811460,0,600000,651271,105878,79494,33108,218480,44224,82762,60239,187225,131549,62219,43885,237653,72622,83796,57227,213645,857003,599996,257007,42.83,651271
Interest earned - external investments,,532921,0,250000,500000,12658,107739,79916,200313,56160,5478,82133,143771,82649,54135,13075,149859,7272,160514,41352,209138,703081,250000,453081,181.23,500000
Interest earned - outstanding debtors,,0,0,0,0,0,13525,7258,20783,0,2806,7575,10381,0,0,0,0,0,0,0,0,31164,,31164,0,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,335,0,0,0,0,335,,335,0,0
Fines,,5120584,0,3405000,3405193,155073,172171,304664,631908,23246,133894,253055,410195,282875,354468,501268,1138611,892941,646874,278222,1818037,3998751,3405193,593558,17.43,3405193
Licences and permits,,2241983,0,2546594,2547000,186359,189018,222508,597885,232693,170545,219114,622352,203202,186105,244358,633665,418226,426887,205667,1050780,2904682,2547000,357682,14.04,2547000
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
