Kwazulu-Natal: Umhlabuyalingana(KZN271) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,14523210,0,15297216,28249557,2770417,2770416,2770416,8311249,2770416,2770417,2770417,8311250,2770417,2066941,2066941,6904299,2066941,1882835,2067312,6017088,29543886,15297216,14246670,93.13,28249557
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,0,0,80022,80022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80022,-80022,-100,80022
Service charges - other,,0,0,0,0,6647,6647,6647,19941,0,6647,6647,13294,6647,6647,6647,19941,6647,6647,6647,19941,73117,,73117,0,0
Rental of facilities and equipment,,0,0,49217,129217,2176,2176,2176,6528,2350,2350,2350,7050,2349,2350,2350,7049,19675,19675,19675,59025,79652,49217,30435,61.84,129217
Interest earned - external investments,,4197220,0,4105781,4833262,375703,422887,420205,1218795,412939,335783,549139,1297861,399020,480324,340104,1219448,535245,218530,484251,1238026,4974130,4105781,868349,21.15,4833262
Interest earned - outstanding debtors,,0,0,0,750000,70303,73359,283137,426799,302668,321778,345069,969515,184342,-508918,55400,-269176,60123,68000,70877,199000,1326138,,1326138,0,750000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,475700,0,450000,400000,60200,85300,132000,277500,93600,102400,99400,295400,34550,30100,58800,123450,95600,82600,85300,263500,959850,450000,509850,113.3,400000
Licences and permits,,3878140,0,3469200,3769200,352710,317620,309309,979639,355480,356770,242430,954680,336690,316660,339340,992690,286640,315190,330530,932360,3859369,3469200,390169,11.25,3769200
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,73624163,0,93146000,93727938,35625604,809438,492425,36927467,449101,29641022,379609,30469732,341372,375007,24047866,24764245,237916,348834,449542,1036292,93197736,93146000,51736,0.06,93727938
