Kwazulu-Natal: Jozini(KZN272) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,12904241,0,33210938,23884242,11877416,935876,936431,13749723,763080,938306,937988,2639374,878410,939896,935587,2753893,934170,934682,933852,2802704,21945694,33210940,-11265246,-33.92,23884242
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,0,0,5079854,5079854,392434,391551,342431,1126416,389536,387768,388946,1166250,388505,388947,387978,1165430,387978,387977,387978,1163933,4622029,5079855,-457826,-9.01,5079854
Service charges - other,,3389418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,765640,0,1026740,1122003,68396,67752,71057,207205,75155,65471,74219,214845,68089,65691,67931,201711,67182,66041,68532,201755,825516,1026744,-201228,-19.6,1122003
Interest earned - external investments,,2011226,0,3983000,1609330,44487,122426,135013,301926,181665,201576,119498,502739,180884,67138,68106,316128,87040,183618,159252,429910,1550703,3983100,-2432397,-61.07,1609330
Interest earned - outstanding debtors,,6446946,0,6356815,6356815,551399,580928,587745,1720072,861899,673442,0,1535341,-29869,-506,0,-30375,0,0,0,0,3225038,6356820,-3131782,-49.27,6356815
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,1199370,0,296378,314293,14607,12200,16008,42815,13369,21672,9200,44241,19585,10734,20788,51107,15076,17368,22721,55165,193328,296376,-103048,-34.77,314293
Licences and permits,,863361,0,500000,924640,89210,55270,55270,199750,86310,80570,63915,230795,93660,83850,87279,264789,53750,83830,74650,212230,907564,500004,407560,81.51,924640
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,92429095,0,111119000,108789000,41418336,255704,403720,42077760,435403,35264454,759444,36459301,307046,157751,28507668,28972465,250118,210456,127597,588171,108097697,111118999,-3021302,-2.72,108789000
Other own revenue,,1663927,0,1544117,530803,135889,58720,62281,256890,245311,170920,897422,1313653,-41330,62381,-15574,5477,186999,0,58845,245844,1821864,1544112,277752,17.99,530803
Gains on disposal of PPE,,550000,0,0,745594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,745594
Total Revenue (excl. capital transfers and contributions),,122223224,0,163116842,149356574,54592174,2480427,2609956,59682557,3051728,37804179,3250632,44106539,1864980,1775882,30059763,33700625,1982313,1883972,1833427,5699712,143189433,163116950,-19927517,-12.216705253500633,149356574
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,29730493,0,36285000,35261055,2504482,2283022,3067279,7854783,2971575,3360625,2840276,9172476,1748412,2163204,3194324,7105940,2988234,2723753,4526332,10238319,34371518,36285449,-1913931,-5.27,35261055
Remuneration of councillors,,9811181,0,11970922,11701428,1038038,1038992,739522,2816552,739622,895252,895252,2530126,817521,740373,740258,2298152,896590,740258,1577036,3213884,10858714,11970924,-1112210,-9.29,11701428
Debt impairment,,2891060,0,5000000,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000004,-5000004,-100,5000000
Depreciation and asset impairment,,12697832,0,11054704,11054704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11054700,-11054700,-100,11054704
Finance charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Bulk purchases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,4799086,0,5496885,5629564,351754,208478,468213,1028445,264901,247051,234503,746455,0,0,530982,530982,769137,113544,0,882681,3188563,5496880,-2308317,-41.99,5629564
Transfers and grants,,4609770,0,2000000,500000,43793,0,0,43793,366155,0,0,366155,38826,0,23390,62216,0,10804,0,10804,482968,2000000,-1517032,-75.85,500000
Other expenditure,,80408093,0,63157917,67720424,2769924,4275317,4750521,11795762,3171182,4757739,5942955,13871876,5658694,4398365,7176651,17233710,3323834,3651574,7490036,14465444,57366792,63157913,-5791121,-9.17,67720424
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,144947515,0,134965428,136867175,6707991,7805809,9025535,23539335,7513435,9260667,9912986,26687088,8263453,7301942,11665605,27231000,7977795,7239933,13593404,28811132,106268555,134965870,-28697315,-21.262645882251565,136867175
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-22724291,0,28151414,12489399,47884183,-5325382,-6415579,36143222,-4461707,28543512,-6662354,17419451,-6398473,-5526060,18394158,6469625,-5995482,-5355961,-11759977,-23111420,36920878,28151080,8769798,31.152616524836702,12489399
Transfers recognised - capital,,38698010,0,40169000,31916000,2838016,517453,1838003,5193472,2819839,663900,2676973,6160712,2513042,1886188,167532,4566762,4063458,558381,5147334,9769173,25690119,40169000,-14478881,-36.04,31916000
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,15973719,0,68320414,44405399,50722199,-4807929,-4577576,41336694,-1641868,29207412,-3985381,23580163,-3885431,-3639872,18561690,11036387,-1932024,-4797580,-6612643,-13342247,62610997,68320080,-5709083,-8.356376339137777,44405399
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,15973719,0,68320414,44405399,50722199,-4807929,-4577576,41336694,-1641868,29207412,-3985381,23580163,-3885431,-3639872,18561690,11036387,-1932024,-4797580,-6612643,-13342247,62610997,68320080,-5709083,-8.356376339137777,44405399
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,15973719,0,68320414,44405399,50722199,-4807929,-4577576,41336694,-1641868,29207412,-3985381,23580163,-3885431,-3639872,18561690,11036387,-1932024,-4797580,-6612643,-13342247,62610997,68320080,-5709083,-8.356376339137777,44405399
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,15973719,0,68320414,44405399,50722199,-4807929,-4577576,41336694,-1641868,29207412,-3985381,23580163,-3885431,-3639872,18561690,11036387,-1932024,-4797580,-6612643,-13342247,62610997,68320080,-5709083,-8.356376339137777,44405399
