Kwazulu-Natal: The Big 5 False Bay(KZN273) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,9109533,0,9745000,9744823,1291742,897625,907987,3097354,1566552,1600333,592355,3759240,592351,594118,579442,1765911,571426,585488,562538,1719452,10341957,9744824,597133,6.13,9744823
Property rates - penalties and collection charges,,865823,0,0,0,0,0,0,0,420,0,0,420,0,0,0,0,0,0,0,0,420,,420,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,1368236,0,1566000,1565743,124947,123627,123627,372201,100875,124764,122670,348309,119663,121797,121032,362492,155325,105775,120351,381451,1464453,1565743,-101290,-6.47,1565743
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,70921,0,106000,105600,7414,5203,5224,17841,5193,7930,1930,15053,4698,4435,4930,14063,5424,5425,4930,15779,62736,105600,-42864,-40.59,105600
Interest earned - external investments,,376773,0,0,150000,9105,20114,1277,30496,1202,40647,17364,59213,13017,5325,569,18911,221,294,227,742,109362,,109362,0,150000
