Kwazulu-Natal: Hlabisa(KZN274) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,319122,0,1085997,474513,0,39542,376587,416129,39542,39542,39543,118627,39543,39543,39543,118629,39543,39543,-333044,-253958,399427,1085997,-686570,-63.22,474513
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10899,10899,21798,21798,,21798,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,84864,0,42840,60000,0,5280,99667,104947,5130,5130,5130,15390,5130,5130,5130,15390,5130,9641,-94387,-79616,56111,42840,13271,30.98,60000
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,157056,0,340000,237200,7857,1103,18908,27868,16509,19533,41584,77626,0,0,877,877,3471,17512,20026,41009,147380,339438,-192058,-56.58,237200
Interest earned - external investments,,702996,0,360000,360000,12765,47080,37161,97006,25074,22375,21538,68987,17101,5159,38960,61220,63385,9676,42517,115578,342791,360000,-17209,-4.78,360000
Interest earned - outstanding debtors,,0,0,31500,31500,-16833,2427,3450,-10956,12330,0,0,12330,10909,12600,13677,37186,6131,6586,68792,81509,120069,31500,88569,281.17,31500
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,68465,0,200000,42000,0,0,1100,1100,4700,3350,7600,15650,0,4100,11169,15269,3150,3000,52803,58953,90972,200000,-109028,-54.51,42000
Licences and permits,,142144,0,2051000,1507526,55060,76160,139810,271030,174690,140289,166398,481377,148553,138456,174930,461939,139814,156956,216880,513650,1727996,2050830,-322834,-15.74,1507526
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,49138674,0,49802000,49928000,14691000,0,0,14691000,0,12134000,6347674,18481674,0,0,10054000,10054000,4670305,113810,1642021,6426136,49652810,49802000,-149190,-0.3,49928000
Other own revenue,,984249,0,53131,1025413,6528,6152,2112,14792,1193,39210,76143,116546,3058,452,489,3999,467,473,473,1413,136750,53131,83619,157.38,1025413
Gains on disposal of PPE,,0,0,2150000,2150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2150000,-2150000,-100,2150000
Total Revenue (excl. capital transfers and contributions),,51597570,0,56116468,55816152,14756377,177744,678795,15612916,279168,12403429,6705610,19388207,224294,205440,10338775,10768509,4931396,368096,1626980,6926472,52696104,56115736,-3419632,-6.093891381911128,55816152
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,17660209,0,25343000,24628000,1606124,1588281,1458841,4653246,1561705,1750750,2728372,6040827,1728009,1885838,1589333,5203180,1579987,1553809,1553809,4687605,20584858,25343203,-4758345,-18.78,24628000
Remuneration of councillors,,3798120,0,5307000,5306695,326793,318916,325502,971211,340507,329000,682597,1352104,248079,314347,323923,886349,313371,308079,303871,925321,4134985,5306595,-1171610,-22.08,5306695
Debt impairment,,-27248,0,310000,310000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310000,-310000,-100,310000
Depreciation and asset impairment,,4436297,0,3150000,4715160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3150000,-3150000,-100,4715160
Finance charges,,180850,0,50600,50600,0,0,0,0,0,4957,6838,11795,1171,10785,1199,13155,5503,36786,36786,79075,104025,50600,53425,105.58,50600
Bulk purchases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other Materials,,342888,0,1150000,1698000,3648,702,6915,11265,33767,145602,6088,185457,40131,86644,46159,172934,32848,3758,3758,40364,410020,1150000,-739980,-64.35,1698000
Contracted services,,297502,0,1402000,1414000,0,0,0,0,0,0,119900,119900,105175,0,136728,241903,139988,139988,667658,947634,1309437,1402121,-92684,-6.61,1414000
Transfers and grants,,13877513,0,8500000,8500000,25065,80840,15400,121305,112883,2318110,242091,2673084,224932,76119,0,301051,34379,24082,4409278,4467739,7563179,8500000,-936821,-11.02,8500000
Other expenditure,,14740364,0,10305868,8216946,509921,209146,323036,1042103,1956131,416695,347414,2720240,381845,314323,1112717,1808885,-3544,335935,4721880,5054271,10625499,10303528,321971,3.12,8216946
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,55306495,0,55518468,54839401,2471551,2197885,2129694,6799130,4004993,4965114,4133300,13103407,2729342,2688056,3210059,8627457,2102532,2402437,11697040,16202009,44732003,55516047,-10784044,-19.425093432895178,54839401
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-3708925,0,598000,976751,12284826,-2020141,-1450899,8813786,-3725825,7438315,2572310,6284800,-2505048,-2482616,7128716,2141052,2828864,-2034341,-10070060,-9275537,7964101,599689,7364412,1228.0385333064305,976751
Transfers recognised - capital,,8129000,0,13902000,14427000,0,0,0,0,0,0,2872857,2872857,0,0,0,0,0,1032293,5112227,6144520,9017377,13902000,-4884623,-35.14,14427000
