Kwazulu-Natal: Mtubatuba(KZN275) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,19262306,0,23584717,21733977,1783132,1777189,1768337,5328658,1833368,1817714,1804648,5455730,1801376,1630486,1796878,5228740,1800364,1618364,1798561,5217289,21230417,23584717,-2354300,-9.98,21733977
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,3008407,0,4034264,3410746,285683,314603,310071,910357,266857,269730,315677,852264,315554,226754,315051,857359,315241,313923,314201,943365,3563345,4034264,-470919,-11.67,3410746
Service charges - other,,1492908,0,1657950,1628145,142718,151179,151178,445075,22254,242220,151334,415808,151179,212534,27075,390788,150715,256824,149556,557095,1808766,1657950,150816,9.1,1628145
Rental of facilities and equipment,,221325,0,817154,311689,26031,41534,18490,86055,25391,17820,23287,66498,29968,13213,24569,67750,13390,13399,18240,45029,265332,817154,-551822,-67.53,311689
Interest earned - external investments,,517055,0,424000,633008,51030,715,63047,114792,51453,46310,75160,172923,57983,121736,78514,258233,94274,72070,48742,215086,761034,424000,337034,79.49,633008
Interest earned - outstanding debtors,,5688123,0,4310649,5151471,483119,527881,522541,1533541,539339,544544,0,1083883,577337,1141926,584135,2303398,593234,421043,582610,1596887,6517709,4310649,2207060,51.2,5151471
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,1531312,0,1745027,194106,39700,0,39090,78790,1049,18293,8553,27895,0,0,0,0,1100,58594,250,59944,166629,1745027,-1578398,-90.45,194106
Licences and permits,,2790356,0,3239865,2373394,265364,233841,216874,716079,234603,171401,134223,540227,212422,217564,229432,659418,194887,175457,210839,581183,2496907,3239865,-742958,-22.93,2373394
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
