Kwazulu-Natal: uMhlathuze(KZN282) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,279678867,0,314000000,326453200,25208242,29853966,28976109,84038317,27933912,30103722,27340973,85378607,27526426,27529552,28874880,83930858,27698520,27527036,27745755,82971311,336319093,314000000,22319093,7.11,326453200
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,1311518791,0,1385000000,1295000000,114633069,146302452,119232037,380167558,96853958,107853216,111928309,316635483,131899593,115753793,117010341,364663727,122193029,85635851,134438994,342267874,1403734642,1385000000,18734642,1.35,1295000000
Service charges - water revenue,,176552078,0,204600000,206500000,15030043,21083453,17596696,53710192,18055805,15355221,15190339,48601365,18227775,21370850,14771858,54370483,17395296,18432539,14775874,50603709,207285749,204600000,2685749,1.31,206500000
Service charges - sanitation revenue,,71241383,0,78000000,75450000,6336698,6706538,6663375,19706611,6545831,5980861,6614889,19141581,6389132,6485921,6558608,19433661,6745101,6728933,6650919,20124953,78406806,78000000,406806,0.52,75450000
Service charges - refuse revenue,,58413911,0,62000000,60200000,5313199,5308189,5307550,15928938,5308898,4379225,5128336,14816459,5131986,5131690,5148145,15411821,5108507,5148180,5172793,15429480,61586698,62000000,-413302,-0.67,60200000
Service charges - other,,0,0,0,0,752921,603225,760475,2116621,1009856,1023936,802838,2836630,851569,1195480,954642,3001691,949274,997846,908964,2856084,10811026,12561200,-1750174,-13.93,0
Rental of facilities and equipment,,13500756,0,8233800,11561800,1251518,1218720,1230433,3700671,1139258,1155070,1180021,3474349,1131645,1115834,1297214,3544693,1115712,1108489,-1295927,928274,11647987,8233800,3414187,41.47,11561800
Interest earned - external investments,,21060124,0,10605000,16700000,-90520,782333,1395223,2087036,918947,3711372,1522064,6152383,1626969,962640,3443479,6033088,946650,1105057,5346287,7397994,21670501,10605000,11065501,104.34,16700000
Interest earned - outstanding debtors,,52402,0,1542000,1544000,113256,127499,129539,370294,194796,116327,82781,393904,180095,178137,168784,527016,132445,134005,157531,423981,1715195,1542000,173195,11.23,1544000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,59985915,0,8877200,10377200,801892,1097354,941483,2840729,868863,852615,817611,2539089,995882,630234,496113,2122229,530941,487724,1123535,2142200,9644247,8877200,767047,8.64,10377200
Licences and permits,,1744063,0,1727700,1753700,152113,156037,133917,442067,149174,133839,93750,376763,128256,178376,168980,475612,153979,152441,176614,483034,1777476,1727700,49776,2.88,1753700
Agency services,,6630263,0,6350000,6600000,590598,511818,521075,1623491,740722,479123,578865,1798710,571363,580645,495666,1647674,607535,412181,636140,1655856,6725731,6350000,375731,5.92,6600000
Transfers recognised - operational,,232085593,0,260508600,246225800,17066666,18264051,23610253,58940970,17823390,32440010,7190366,57453766,19900158,17649516,19825015,57374689,17587813,18637974,18798400,55024187,228793612,260508600,-31714988,-12.17,246225800
Other own revenue,,67452932,0,29114200,30174600,1161863,1146125,1706849,4014837,-1152341,5058718,1754275,5660652,2348402,2870900,1296176,6515478,903690,1437095,1478115,3818900,20009867,16553000,3456867,20.88,30174600
Gains on disposal of PPE,,7529910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,2307446988,0,2370558500,2288540300,188321558,233161760,208205014,629688332,176391069,208643255,180225417,565259741,216909251,201633568,200509901,619052720,202068492,167945351,216113994,586127837,2400128630,2370558500,29570130,1.2473908574709294,2288540300
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,480990214,0,583140901,561455200,46370410,44898550,45159766,136428726,44713256,45481502,48874128,139068886,45800615,40193427,42647540,128641582,42405334,44939659,42875867,130220860,534360054,583140900,-48780846,-8.37,561455200
Remuneration of councillors,,21408271,0,23176400,23176400,1813161,1798937,1798937,5411035,1770443,1719290,1814866,5304599,1798037,1798937,1745374,5342348,2740590,1948064,1875642,6564296,22622278,23176400,-554122,-2.39,23176400
Debt impairment,,67968748,0,3050000,3050000,254166,254166,254166,762498,254166,254166,254166,762498,254166,254166,254166,762498,254166,254166,4303259,4811591,7099085,3050000,4049085,132.76,3050000
Depreciation and asset impairment,,244340187,0,182389600,182389600,15199127,15199127,15199127,45597381,15199126,15199127,15199126,45597379,15199127,15199126,15199127,45597380,15199126,15199127,15199126,45597379,182389519,182389600,-81,0,182389600
Finance charges,,71144662,0,77614000,77614000,6467833,6467833,6467833,19403499,6467834,6467833,6467834,19403501,6467834,6467835,5350806,18286475,6467834,6467834,6467833,19403501,76496976,77614000,-1117024,-1.44,77614000
Bulk purchases,,1051625801,0,1096502400,1065919000,75157112,134047001,111926613,321130726,52395688,95413247,92047825,239856760,93271865,89067414,98099390,280438669,81766154,89251373,88246562,259264089,1100690244,1096502400,4187844,0.38,1065919000
Other Materials,,75129240,0,34702200,35938900,1245193,2324475,3943488,7513156,4125663,4176945,3562892,11865500,5324004,2669417,3549663,11543084,2582176,2997797,7144692,12724665,43646405,34702200,8944205,25.77,35938900
Contracted services,,100640941,0,159668900,178565400,7649492,18608754,15280264,41538510,15441993,17433935,18270637,51146565,12007432,13973955,13524894,39506281,13850185,13733792,20185069,47769046,179960402,159668900,20291502,12.71,178565400
Transfers and grants,,3021512,0,13749100,8539000,536841,718815,718261,1973917,635101,-1311058,1513278,837321,243355,264670,296143,804168,453959,306344,1948649,2708952,6324358,13749100,-7424742,-54,8539000
Other expenditure,,180093974,0,189253799,191292000,12956638,17384644,12567133,42908415,12901406,11649582,12739376,37290364,12232051,11842442,14772510,38847003,11934849,11884423,23068158,46887430,165933212,189253800,-23320588,-12.32,191292000
Loss on disposal of PPE,,43101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,2296406651,0,2363247300,2327939500,167649973,241702302,213315588,622667863,153904676,196484569,200744128,551133373,192598486,181731389,195439613,569769488,177654373,186982579,211314857,575951809,2319522533,2363247300,-43724767,-1.8501985382570838,2327939500
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,11040337,0,7311200,-39399200,20671585,-8540542,-5110574,7020469,22486393,12158686,-20518711,14126368,24310765,19902179,5070288,49283232,24414119,-19037228,4799137,10176028,80606097,7311200,73294897,1002.501600284495,-39399200
Transfers recognised - capital,,186865200,0,119456100,225405300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119456100,-119456100,-100,225405300
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,197905537,0,126767300,186006100,20671585,-8540542,-5110574,7020469,22486393,12158686,-20518711,14126368,24310765,19902179,5070288,49283232,24414119,-19037228,4799137,10176028,80606097,126767300,-46161203,-36.41412493600479,186006100
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,197905537,0,126767300,186006100,20671585,-8540542,-5110574,7020469,22486393,12158686,-20518711,14126368,24310765,19902179,5070288,49283232,24414119,-19037228,4799137,10176028,80606097,126767300,-46161203,-36.41412493600479,186006100
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,197905537,0,126767300,186006100,20671585,-8540542,-5110574,7020469,22486393,12158686,-20518711,14126368,24310765,19902179,5070288,49283232,24414119,-19037228,4799137,10176028,80606097,126767300,-46161203,-36.41412493600479,186006100
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,197905537,0,126767300,186006100,20671585,-8540542,-5110574,7020469,22486393,12158686,-20518711,14126368,24310765,19902179,5070288,49283232,24414119,-19037228,4799137,10176028,80606097,126767300,-46161203,-36.41412493600479,186006100
