Kwazulu-Natal: Ntambanana(KZN283) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,1288002,0,1353259,1353259,114815,114815,114815,344445,114815,114815,114815,344445,106727,111330,13333,231390,111330,111330,111330,333990,1254270,1353259,-98989,-7.31,1353259
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,25429,0,0,0,6657,0,0,6657,9107,9107,5657,23871,0,0,0,0,1500,3957,3957,9414,39942,,39942,0,0
Interest earned - external investments,,1167533,0,1073566,1073566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073566,-1073566,-100,1073566
Interest earned - outstanding debtors,,68131,0,27327,27327,0,0,0,0,6892,6892,7555,21339,0,0,0,0,0,0,0,0,21339,27327,-5988,-21.91,27327
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Licences and permits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,46058194,0,43378000,44559385,12408884,769840,331246,13509970,506945,506945,676494,1690384,306507,614775,8993922,9915204,731360,1860960,1860960,4453280,29568838,43378000,-13809162,-31.83,44559385
Other own revenue,,347679,0,102000,6956104,15584,44682,5085,65351,28490,28490,383899,440879,309008,241004,247560,797572,646402,86353,86353,819108,2122910,101661,2021249,1988.22,6956104
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,48954968,0,45934152,53969641,12545940,929337,451146,13926423,666249,666249,1188420,2520918,722242,967109,9254815,10944166,1490592,2062600,2062600,5615792,33007299,45933813,-12926514,-28.14160888406978,53969641
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,11385266,0,14894292,13424271,968185,954467,966032,2888684,970141,970141,1420086,3360368,917473,948277,1254308,3120058,1223641,1007591,1007591,3238823,12607933,14894360,-2286427,-15.35,13424271
Remuneration of councillors,,3812395,0,3965583,4318952,317666,317666,317666,952998,317666,317666,317666,952998,317666,317666,317666,952998,304530,550078,550078,1404686,4263680,3965583,298097,7.52,4318952
Debt impairment,,0,0,71452,71452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71452,-71452,-100,71452
Depreciation and asset impairment,,2800775,0,2430032,2430031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430032,-2430032,-100,2430031
Finance charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33454,-33454,-100,0
Bulk purchases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other Materials,,668612,0,538797,788797,109396,73078,0,182474,155381,155381,47090,357852,50677,0,0,50677,261,68045,68045,136351,727354,538797,188557,35,788797
Contracted services,,2878417,0,4400211,8265515,223241,705259,314625,1243125,280796,280796,70938,632530,397352,372617,1295740,2065709,751515,543334,543334,1838183,5779547,4400211,1379336,31.35,8265515
Transfers and grants,,0,0,996932,996932,0,124278,62136,186414,0,0,0,0,123421,61283,58829,243533,60625,59768,59768,180161,610108,996932,-386824,-38.8,996932
