Kwazulu-Natal: uMlalazi(KZN284) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,33227107,0,34455670,33466050,16086041,389528,1699370,18174939,655471,1852446,2051258,4559175,2744394,1839178,1834628,6418200,1580000,766841,0,2346841,31499155,34455672,-2956517,-8.58,33466050
Property rates - penalties and collection charges,,604151,0,581160,709850,51775,54075,73035,178885,54610,115254,71895,241759,77154,79738,90944,247836,160223,-8830,56791,208184,876664,581160,295504,50.85,709850
Service charges - electricity revenue,,51756176,0,55049600,54590030,5340125,4044457,4405025,13789607,4357575,3634367,5651878,13643820,3987443,4336607,5305837,13629887,2210810,5245490,3826864,11283164,52346478,55049604,-2703126,-4.91,54590030
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,9389635,0,10077220,10092150,825198,861665,796415,2483278,856733,848468,854803,2560004,857007,860106,833507,2550620,886657,863044,876793,2626494,10220396,10077216,143180,1.42,10092150
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,1323105,0,1373310,1388990,905929,-422761,54722,537890,17390,35425,141446,194261,82712,55332,12427,150471,35243,31272,250364,316879,1199501,1373316,-173815,-12.66,1388990
Interest earned - external investments,,3074293,0,2600000,4042740,270254,270382,486563,1027199,320389,220927,516622,1057938,304759,333876,353251,991886,432489,214034,463955,1110478,4187501,2600004,1587497,61.06,4042740
Interest earned - outstanding debtors,,0,0,150000,353400,12147,50433,29034,91614,27977,27657,32930,88564,30417,32219,-277,62359,72046,49639,20454,142139,384676,150000,234676,156.45,353400
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,15272911,0,3124430,23697090,17855,46740,5897995,5962590,13023,15783,18904,47710,14964,16267,13249293,13280524,28839,19526,-8762,39603,19330427,3124428,16205999,518.69,23697090
Licences and permits,,3309367,0,3644590,3402770,336528,265844,278840,881212,275960,265414,268705,810079,259545,281097,305895,846537,257929,231721,282236,771886,3309714,3644592,-334878,-9.19,3402770
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,98519556,0,119852490,127353200,44048075,895805,3134575,48078455,1906772,39716011,1450681,43073464,565682,669535,1616296,2851513,1192111,23562050,655770,25409931,119413363,119852496,-439133,-0.37,127353200
Other own revenue,,37009014,0,3097050,2863660,133732,105730,223424,462886,120144,165558,77348,363050,148169,448573,788710,1385452,173818,251338,67328,492484,2703872,3097056,-393184,-12.7,2863660
Gains on disposal of PPE,,253550,0,100000,0,0,0,0,0,0,30000,0,30000,0,0,0,0,0,0,0,0,30000,99996,-69996,-70,0
Total Revenue (excl. capital transfers and contributions),,253738865,0,234105520,261959930,68027659,6561898,17078998,91668555,8606044,46927310,11136470,66669824,9072246,8952528,24390511,42415285,7030165,31226125,6491793,44748083,245501747,234105540,11396207,4.867978348568769,261959930
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,62820358,0,71573930,86353630,5399083,5013073,5053962,15466118,5243880,5556346,7172346,17972572,5192323,5268266,5763247,16223836,6597938,5929192,5413499,17940629,67603155,71573928,-3970773,-5.55,86353630
Remuneration of councillors,,13688173,0,16894550,0,1210309,1232320,1224940,3667569,1224940,1224940,1224940,3674820,1334510,1240170,1240540,3815220,2015083,1389439,1389439,4793961,15951570,16894548,-942978,-5.58,0
Debt impairment,,12863523,0,1439910,20239910,119992,119992,119992,359976,119992,119992,119992,359976,119992,119992,4819993,5059977,4819993,4819993,4819993,14459979,20239908,1439916,18799992,1305.63,20239910
