Kwazulu-Natal: Mthonjaneni(KZN285) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,6978531,0,9274189,9274000,1572117,648688,663235,2884040,568526,426900,650760,1646186,650760,755954,756978,2163692,759603,-33164,-194432,532007,7225925,9274189,-2048264,-22.09,9274000
Property rates - penalties and collection charges,,527353,0,475000,634000,44463,50103,52463,147029,57574,55972,56203,169749,56203,2000,62616,120819,62509,65137,53686,181332,618929,475200,143729,30.25,634000
Service charges - electricity revenue,,17986905,0,19805837,19806000,1723384,1462905,2012238,5198527,1598384,1562446,2130992,5291822,1487911,1868106,1671538,5027555,1769866,1360215,1803536,4933617,20451521,19805838,645683,3.26,19806000
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,1131632,0,1208520,1209000,94215,149741,94569,338525,95425,94094,94394,283913,94394,94529,93589,282512,93053,93859,93515,280427,1185377,1208520,-23143,-1.91,1209000
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,200,0,0,0,0,200,,200,0,0
Rental of facilities and equipment,,244721,0,446000,446000,13811,21802,30065,65678,22940,90768,21134,134842,21134,16003,16266,53403,0,15079,35078,50157,304080,445880,-141800,-31.8,446000
Interest earned - external investments,,4209379,0,2800000,2800000,78062,233703,97420,409185,89293,257395,555444,902132,555444,411770,374355,1341569,223316,265991,216535,705842,3358728,2800000,558728,19.95,2800000
Interest earned - outstanding debtors,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,15883762,0,3000000,17773000,343875,359529,301140,1004544,255180,292395,439680,987255,439680,50150,2493250,2983080,-100,3460850,2013350,5474100,10448979,3000000,7448979,248.3,17773000
Licences and permits,,2441629,0,3344032,3344000,210873,205156,239711,655740,204856,228239,119384,552479,119384,172949,216809,509142,142652,223878,209718,576248,2293609,3344032,-1050423,-31.41,3344000
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,21446902,0,37944000,37944000,12950493,318025,400292,13668810,492786,11169002,631108,12292896,631108,792225,9045984,10469317,416684,1090250,387115,1894049,38325072,37944000,381072,1,37944000
Other own revenue,,1463380,0,307580,323000,16593,84182,69578,170353,80722,-166381,265904,180245,265904,231178,29998,527080,466615,13729,-297114,183230,1060908,307504,753404,245.01,323000
Gains on disposal of PPE,,43396,0,0,408000,0,0,0,0,407030,0,0,407030,0,0,0,0,0,0,0,0,407030,,407030,0,408000
Total Revenue (excl. capital transfers and contributions),,72357590,0,78605158,93961000,17047886,3533834,3960711,24542431,3872716,14010830,4965003,22848549,4321922,4395064,14761383,23478369,3934198,6555824,4320987,14811009,85680358,78605163,7075195,9.000929111997388,93961000
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,19649413,0,24487964,25100125,1585822,1816509,1830974,5233305,1875913,1901159,2886698,6663770,2886698,2429543,1827716,7143957,1825288,1837241,1810428,5472957,24513989,24488305,25684,0.1,25100125
Remuneration of councillors,,2843195,0,2790269,3143000,219242,219241,219536,658019,245089,303311,237287,785687,237287,237205,183948,658440,352509,252989,247376,852874,2955020,2790269,164751,5.9,3143000
