Kwazulu-Natal: Nkandla(KZN286) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,6911663,0,5400000,7700000,70473,69921,504469,644863,6002133,466813,521856,6990802,6108,165670,50072,221850,22789,145878,411845,580512,8438027,5399996,3038031,56.26,7700000
Property rates - penalties and collection charges,,0,0,125000,390000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125004,-125004,-100,390000
Service charges - electricity revenue,,0,0,0,14500000,531277,485388,925575,1942240,632507,0,714015,1346522,0,0,0,0,0,0,0,0,3288762,14500004,-11211242,-77.32,14500000
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420000,-420000,-100,0
Service charges - other,,11402689,0,14931876,3258633,10967,12759,3688,27414,2485,610348,1434,614267,2544,14001,7335,23880,3646,95996,72959,172601,838162,11880,826282,6955.24,3258633
Rental of facilities and equipment,,838424,0,491500,255000,5052,14468,28749,48269,56913,38993,37795,133701,0,1700,34641,36341,21021,27370,22931,71322,289633,491496,-201863,-41.07,255000
Interest earned - external investments,,1288493,0,1460000,500000,43640,78705,112712,235057,60186,43155,58382,161723,115393,0,63163,178556,66451,114576,99838,280865,856201,1460004,-603803,-41.36,500000
Interest earned - outstanding debtors,,1789643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Licences and permits,,0,0,10000,10000,564,752,564,1880,1471,1316,177,2964,0,2068,940,3008,0,0,564,564,8416,9996,-1580,-15.81,10000
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,54265424,0,71044000,70946000,27916000,2285691,0,30201691,0,0,0,0,0,495000,17890274,18385274,0,0,0,0,48586965,71044000,-22457035,-31.61,70946000
Other own revenue,,1526331,0,11422000,7215000,677658,1008499,137825,1823982,2710451,113814,144742,2969007,1287114,1326338,1359432,3972884,695225,1053301,1729019,3477545,12243418,11422142,821276,7.19,7215000
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,78022667,0,104884376,104774633,29255631,3956183,1713582,34925396,9466146,1274439,1478401,12218986,1411159,2004777,19405857,22821793,809132,1437121,2337156,4583409,74549584,104884522,-30334938,-28.92222553104642,104774633
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,24053976,0,28325801,32166204,2121021,2301010,2431185,6853216,2307479,3531688,2470136,8309303,2270523,2219562,2811218,7301303,2155925,2155925,2378557,6690407,29154229,28325808,828421,2.92,32166204
Remuneration of councillors,,6731321,0,7274116,7274116,567881,567883,567883,1703647,567883,567884,567884,1703651,567885,567885,0,1135770,1161261,1161261,627229,2949751,7492819,7274112,218707,3.01,7274116
Debt impairment,,2341372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Depreciation and asset impairment,,5143584,0,4961000,2584629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4961422,-4961422,-100,2584629
Finance charges,,0,0,87709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81708,-81708,-100,0
Bulk purchases,,8073041,0,12513348,14500000,0,1397963,1197618,2595581,774494,0,1601276,2375770,0,690728,676013,1366741,714283,733636,0,1447919,7786011,12513348,-4727337,-37.78,14500000
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,4552435,0,6436000,5630000,2036952,768224,0,2805176,440124,0,709625,1149749,0,1325105,303402,1628507,356552,653888,326944,1337384,6920816,6436416,484400,7.53,5630000
Transfers and grants,,2022010,0,0,3800000,0,0,0,0,0,2681516,0,2681516,0,0,0,0,0,0,0,0,2681516,,2681516,0,3800000
Other expenditure,,38224383,0,45243026,36929442,8197677,14169147,5610048,27976872,1088616,506944,5412500,7008060,1264413,6626953,6632373,14523739,721683,559628,559628,1840939,51349610,45248000,6101610,13.48,36929442
Loss on disposal of PPE,,262754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,91404876,0,104841000,102884391,12923531,19204227,9806734,41934492,5178596,7288032,10761421,23228049,4102821,11430233,10423006,25956060,5109704,5264338,3892358,14266400,105385001,104840814,544187,0.5190602583455715,102884391
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-13382209,0,43376,1890242,16332100,-15248044,-8093152,-7009096,4287550,-6013593,-9283020,-11009063,-2691662,-9425456,8982851,-3134267,-4300572,-3827217,-1555202,-9682991,-30835417,43708,-30879125,-70648.67987553767,1890242
Transfers recognised - capital,,29326896,0,25582000,0,14301000,0,0,14301000,0,29856134,0,29856134,0,0,14096000,14096000,0,0,0,0,58253134,25582000,32671134,127.71,0
