Kwazulu-Natal: Mandeni(KZN291) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,27411175,0,27685192,27685192,-147332,3450232,2849800,6152700,2880346,2878277,2894966,8653589,2945252,2888528,2886374,8720154,2828005,2829084,0,5657089,29183532,27685190,1498342,5.41,27685192
Property rates - penalties and collection charges,,5477042,0,4000000,8000000,651413,653409,671619,1976441,683897,703607,716205,2103709,734004,784304,767835,2286143,778133,664172,0,1442305,7808598,3999996,3808602,95.22,8000000
Service charges - electricity revenue,,11715052,0,13055838,13055838,1229071,1064861,829131,3123063,699692,866302,1010752,2576746,909892,950323,1060490,2920705,1069433,1106608,0,2176041,10796555,13055844,-2259289,-17.3,13055838
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,5947712,0,6550107,6550107,495537,508545,518399,1522481,526344,551291,528015,1605650,550534,521675,530341,1602550,556067,488958,0,1045025,5775706,6550104,-774398,-11.82,6550107
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,267238,0,190000,190000,6147,10172,6711,23030,28921,15994,16794,61709,5795,9196,17429,32420,23020,23491,0,46511,163670,189996,-26326,-13.86,190000
Interest earned - external investments,,3563627,0,2500000,3000000,116513,302549,242173,661235,289827,214089,193504,697420,328517,137007,69102,534626,301241,245098,0,546339,2439620,2499996,-60376,-2.42,3000000
Interest earned - outstanding debtors,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,59103,0,505000,505000,5049,16475,8112,29636,4949,14835,32575,52359,11764,8225,4022,24011,5749,4711,0,10460,116466,504996,-388530,-76.94,505000
Licences and permits,,764163,0,300000,300000,21250,24410,28312,73972,39358,77856,66664,183878,86635,92150,102835,281620,76286,79990,0,156276,695746,300000,395746,131.92,300000
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,114819397,0,97242000,97842000,36289000,4124512,475599,40889111,5887529,30632000,4033367,40552896,1104912,3917030,24487000,29508942,11640056,7085856,0,18725912,129676861,97242000,32434861,33.35,97842000
Other own revenue,,4733577,0,369750,14742750,551594,520696,667576,1739866,840143,62726,684109,1586978,217727,516614,119930,854271,1643908,-295898,0,1348010,5529125,369756,5159369,1395.34,14742750
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
