Kwazulu-Natal: KwaDukuza(KZN292) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,257976406,0,288499016,288499529,0,32737555,24156802,56894357,24168374,24202002,24901561,73271937,24240714,24359515,24363676,72963905,24356918,24389353,23078526,71824797,274954996,288499013,-13544017,-4.69,288499529
Property rates - penalties and collection charges,,9666071,0,11342000,11442000,3141988,544517,553236,4239741,692176,648058,732209,2072443,685248,674935,709658,2069841,679674,329868,-561723,447819,8829844,11342004,-2512160,-22.15,11442000
Service charges - electricity revenue,,526849071,0,587274106,576030248,45038981,45530415,43158221,133727617,51874811,44906770,43805737,140587318,54758816,45319252,52399560,152477628,46184608,41747323,55440310,143372241,570164804,587274108,-17109304,-2.91,576030248
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,47634339,0,52812038,54112038,4272324,4303791,4241957,12818072,4173889,4291540,5490377,13955806,4439964,4327451,4358393,13125808,4303153,4410425,6236042,14949620,54849306,52812036,2037270,3.86,54112038
Service charges - other,,0,0,540000,0,38636,38112,44151,120899,49916,-170815,-207174,-328073,0,0,0,0,0,0,207174,207174,0,540000,-540000,-100,0
Rental of facilities and equipment,,1065285,0,1524338,1106940,132227,126871,135673,394771,121001,122639,-106671,136969,94700,89192,88912,272804,88420,86191,86191,260802,1065346,1524336,-458990,-30.11,1106940
Interest earned - external investments,,21700289,0,13643183,24949875,101991,571338,5689538,6362867,589486,2115238,5101707,7806431,810186,1076040,6389979,8276205,653753,2694700,4700358,8048811,30494314,13643184,16851130,123.51,24949875
