Kwazulu-Natal: Ndwedwe(KZN293) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,4270976,0,6314000,6293800,2706887,300384,196289,3203560,652770,-463968,295962,484764,286701,423819,318644,1029164,328905,327270,316450,972625,5690113,6313895,-623782,-9.88,6293800
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,192283,0,214631,409392,251398,13736,13859,278993,16757,14167,14859,45783,14614,15655,14222,44491,16845,15794,15904,48543,417810,214631,203179,94.66,409392
Interest earned - external investments,,3738426,0,1847000,4000000,513008,487460,208461,1208929,578171,414762,391698,1384631,698288,510293,270324,1478905,555428,424501,18950,998879,5071344,1847000,3224344,174.57,4000000
Interest earned - outstanding debtors,,430548,0,487600,487600,48721,49289,50518,148528,50806,48327,63667,162800,65077,65077,23773,153927,34712,35023,35872,105607,570862,487600,83262,17.08,487600
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Licences and permits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,72417741,0,87218000,87452998,32866920,88896,107099,33062915,0,28252573,782433,29035006,61602,910111,23060411,24032124,1426349,0,398628,1824977,87955022,87218000,737022,0.85,87452998
Other own revenue,,673802,0,300000,280000,317102,13702,-219329,111475,4433,22790,2697,29920,20721,29241,518037,567999,15842,21962,-383654,-345850,363544,300000,63544,21.18,280000
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,81723776,0,96381231,98923790,36704036,953467,356897,38014400,1302937,28288651,1551316,31142904,1147003,1954196,24205411,27306610,2378081,824550,402150,3604781,100068695,96381126,3687569,3.826028137500697,98923790
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,22163943,0,28631176,26252940,2053094,2099575,2163941,6316610,2692622,3272153,2147534,8112309,2126361,2667297,2376349,7170007,1995388,2090614,2272382,6358384,27957310,28631175,-673865,-2.35,26252940
Remuneration of councillors,,9084882,0,9451424,9764454,757578,758102,758102,2273782,758102,758102,758102,2274306,756339,738733,756339,2251411,1165831,796527,884120,2846478,9645977,9451424,194553,2.06,9764454
Debt impairment,,2262605,0,2525600,2525600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2525600,-2525600,-100,2525600
Depreciation and asset impairment,,11723350,0,10800000,12192000,0,0,0,0,0,0,0,0,7111949,0,0,7111949,0,0,0,0,7111949,10800000,-3688051,-34.15,12192000
Finance charges,,109801,0,951000,0,5183,0,3113,8296,4367,0,7759,12126,3518,2910,2930,9358,2546,0,4287,6833,36613,951000,-914387,-96.15,0
Bulk purchases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,3453999,0,10000600,8810000,315852,350609,263874,930335,625305,390181,317422,1332908,376931,657549,334339,1368819,676129,763523,766604,2206256,5838318,10000600,-4162282,-41.62,8810000
Transfers and grants,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other expenditure,,34331354,0,30552432,35909000,2346242,1630936,3008418,6985596,3600847,3036326,3801761,10438934,1412824,3391541,2802630,7606995,1786534,1904533,2816112,6507179,31538704,30552432,986272,3.23,35909000
Loss on disposal of PPE,,258477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,83388411,0,92912232,95453994,5477949,4839222,6197448,16514619,7681243,7456762,7032578,22170583,11787922,7458030,6272587,25518539,5626428,5555197,6743505,17925130,82128871,92912231,-10783360,-11.60596391232926,95453994
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-1664635,0,3468999,3469796,31226087,-3885755,-5840551,21499781,-6378306,20831889,-5481262,8972321,-10640919,-5503834,17932824,1788071,-3248347,-4730647,-6341355,-14320349,17939824,3468895,14470929,417.16249699111677,3469796
Transfers recognised - capital,,23982946,0,56036000,64636000,2105905,2856887,2791730,7754522,0,11805638,2238877,14044515,8295212,3177237,8268009,19740458,5013551,0,6972435,11985986,53525481,56036000,-2510519,-4.48,64636000
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,22318311,0,59504999,68105796,33331992,-1028868,-3048821,29254303,-6378306,32637527,-3242385,23016836,-2345707,-2326597,26200833,21528529,1765204,-4730647,631080,-2334363,71465305,59504895,11960410,20.099875816939093,68105796
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,22318311,0,59504999,68105796,33331992,-1028868,-3048821,29254303,-6378306,32637527,-3242385,23016836,-2345707,-2326597,26200833,21528529,1765204,-4730647,631080,-2334363,71465305,59504895,11960410,20.099875816939093,68105796
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,22318311,0,59504999,68105796,33331992,-1028868,-3048821,29254303,-6378306,32637527,-3242385,23016836,-2345707,-2326597,26200833,21528529,1765204,-4730647,631080,-2334363,71465305,59504895,11960410,20.099875816939093,68105796
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,22318311,0,59504999,68105796,33331992,-1028868,-3048821,29254303,-6378306,32637527,-3242385,23016836,-2345707,-2326597,26200833,21528529,1765204,-4730647,631080,-2334363,71465305,59504895,11960410,20.099875816939093,68105796
