Kwazulu-Natal: Ingwe(KZN431) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,5193575,0,5500000,5500000,4943129,0,0,4943129,-825,0,0,-825,-8528,0,0,-8528,0,2978,0,2978,4936754,5500000,-563246,-10.24,5500000
Property rates - penalties and collection charges,,253195,0,6000,0,0,0,-187,-187,-54328,0,0,-54328,0,0,0,0,0,-38,219182,219144,164629,6000,158629,2643.82,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,0,0,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350000,-350000,-100,0
Service charges - other,,524198,0,0,200000,47413,47481,47467,142361,8898,93216,48343,150457,46459,47435,47484,141378,47463,47369,53218,148050,582246,,582246,0,200000
Rental of facilities and equipment,,295553,0,293000,323000,27671,26612,21184,75467,17286,29817,22068,69171,25261,23215,26029,74505,20669,20147,20243,61059,280202,293000,-12798,-4.37,323000
Interest earned - external investments,,3942378,0,4000000,4000000,251047,414102,211020,876169,450243,202370,393803,1046416,231721,199025,363944,794690,230378,433128,520219,1183725,3901000,4000000,-99000,-2.48,4000000
Interest earned - outstanding debtors,,0,0,114000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114000,-114000,-100,100000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,708878,0,300000,300000,2150,55700,95350,153200,46200,-1050,2150,47300,196700,38550,62900,298150,39200,50150,23000,112350,611000,300000,311000,103.67,300000
Licences and permits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,62492177,0,70746000,70746000,26310622,180271,679647,27170540,507995,22310530,553264,23371789,893435,623633,18291587,19808655,552621,631616,5434157,6618394,76969378,70746000,6223378,8.8,70746000
Other own revenue,,367315,0,331050,1529000,33333,97118,24130,154581,23619,-7373,48184,64430,35969,35734,17318,89021,166065,9845,2709232,2885142,3193174,331050,2862124,864.56,1529000
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-62183,-62183,-62183,,-62183,0,0
Total Revenue (excl. capital transfers and contributions),,73777269,0,81640050,82698000,31615365,821284,1078611,33515260,999088,22627510,1067812,24694410,1421017,967592,18809262,21197871,1056396,1195195,8917068,11168659,90576200,81640050,8936150,10.945791924429248,82698000
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,25083150,0,31020000,29094000,2144157,2230737,2114823,6489717,2105860,2103187,3396579,7605626,2128537,2224140,2700964,7053641,2015515,2031350,2377683,6424548,27573532,31020394,-3446862,-11.11,29094000
Remuneration of councillors,,6388782,0,6728219,6728000,542557,540157,543173,1625887,541507,536021,517961,1595489,518385,544442,492948,1555775,783732,581161,560544,1925437,6702588,6728219,-25631,-0.38,6728000
Debt impairment,,1983333,0,1942000,442000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2235851,2235851,2235851,1942000,293851,15.13,442000
Depreciation and asset impairment,,8634768,0,5975420,6099000,681294,682031,687442,2050767,677998,758422,726819,2163239,700596,719883,751664,2172143,807239,768569,0,1575808,7961957,5975420,1986537,33.25,6099000
Finance charges,,402680,0,360672,361000,27631,32507,32507,92645,31677,31890,31529,95096,31127,29126,77350,137603,46962,46738,46495,140195,465539,360672,104867,29.08,361000
Bulk purchases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
