Kwazulu-Natal: Greater Kokstad(KZN433) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,83222528,0,88434523,88434523,52489479,3250434,4074258,59814171,3914721,2597397,3303532,9815650,3070916,3335438,3291233,9697587,3074234,3090732,2755536,8920502,88247910,88434523,-186613,-0.21,88434523
Property rates - penalties and collection charges,,2543129,0,1910000,0,297301,270636,0,567937,207751,205483,226238,639472,211924,0,0,211924,0,0,0,0,1419333,1910394,-491061,-25.7,0
Service charges - electricity revenue,,86094895,0,95710998,95710998,9723510,10692145,5892617,26308272,8151736,6725625,6428728,21306089,6742221,6325664,6940468,20008353,7176012,6733640,6638177,20547829,88170543,95710998,-7540455,-7.88,95710998
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,9241184,0,10073551,13956551,2616908,246069,1275080,4138057,1217021,1212341,1222862,3652224,1238821,1211161,1179772,3629754,1214393,1175434,1103299,3493126,14913161,10073551,4839610,48.04,13956551
Service charges - other,,1620682,0,1148892,1148892,124806,55817,99204,279827,8619,104996,100136,213751,0,77162,89643,166805,91206,89901,86325,267432,927815,1148892,-221077,-19.24,1148892
Rental of facilities and equipment,,687725,0,737739,797739,41526,41831,49618,132975,55832,44855,226753,327440,45321,58127,72669,176117,66269,31189,69423,166881,803413,737739,65674,8.9,797739
Interest earned - external investments,,1049476,0,1090000,2290000,36821,0,71121,107942,61272,126182,175465,362919,307196,223590,198356,729142,373727,251404,129074,754205,1954208,1089693,864515,79.34,2290000
Interest earned - outstanding debtors,,0,0,0,3241087,0,0,0,0,0,0,0,0,0,232789,224863,457652,250081,258505,261295,769881,1227533,,1227533,0,3241087
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,1262661,0,201238,1133238,27700,50000,24760,102460,24215,49650,80250,154115,46920,22959,113359,183238,107577,74427,64843,246847,686660,201238,485422,241.22,1133238
Licences and permits,,3346743,0,3306771,3306771,353408,316208,294504,964120,285677,294254,190711,770642,361991,328410,245030,935431,292058,217334,292109,801501,3471694,3306771,164923,4.99,3306771
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
