Kwazulu-Natal: Ubuhlebezwe(KZN434) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,12955200,0,12240477,12240477,12546671,0,872,12547543,-809,-11868,104,-12573,-6935,0,-2232,-9167,-396,-2515,-124267,-127178,12398625,12240477,158148,1.29,12240477
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,1478347,0,1771772,1771723,126983,126983,126983,380949,105174,123811,122864,351849,123056,0,122983,246039,122960,123827,-10634,236153,1214990,1771727,-556737,-31.42,1771723
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,855697,0,434280,434280,25513,25803,27800,79116,149183,26285,42568,218036,153792,0,41348,195140,84192,49943,71582,205717,698009,434280,263729,60.73,434280
Interest earned - external investments,,3792522,0,2840000,4416153,168328,202646,220745,591719,235453,798919,181279,1215651,737898,0,720198,1458096,320095,784212,428450,1532757,4798223,2840000,1958223,68.95,4416153
Interest earned - outstanding debtors,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,187605,0,151000,151000,15600,700,11500,27800,7250,20450,20800,48500,21818,0,12700,34518,20150,217050,15300,252500,363318,151000,212318,140.61,151000
