Kwazulu-Natal: Umzimkhulu(KZN435) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,6718708,0,8500000,8500000,5514003,388380,388204,6290587,388397,388342,388342,1165081,362714,355257,354805,1072776,378934,387109,387214,1153257,9681701,8500000,1181701,13.9,8500000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,1330607,0,849000,849000,71648,71648,71817,215113,69295,69295,69295,207885,52484,45551,45467,143502,60840,68026,65872,194738,761238,849000,-87762,-10.34,849000
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,1088470,0,1065000,1143000,70774,67897,74695,213366,72440,138991,88430,299861,46208,29328,109025,184561,13680,58987,146738,219405,917193,1065000,-147807,-13.88,1143000
Interest earned - external investments,,2987628,0,2000000,3000000,182804,385151,455571,1023526,237723,196172,218361,652256,394646,361840,321019,1077505,337258,316859,274693,928810,3682097,2000000,1682097,84.1,3000000
