Limpopo: Greater Giyani(LIM331) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,27155717,0,30000000,41600000,2370281,2395844,2393138,7159263,2380454,2396425,2390484,7167363,0,2318879,2399170,4718049,2394230,2394945,2387101,7176276,26220951,30000000,-3779049,-12.6,41600000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,-21329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,-26996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,3878903,0,3955000,3736700,337389,339366,338006,1014761,338884,339819,339551,1018254,0,305792,338108,643900,250205,426277,334623,1011105,3688020,3955000,-266980,-6.75,3736700
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,838777,0,726840,783850,77329,107667,60460,245456,56833,60324,57371,174528,0,65745,59116,124861,61152,72487,78478,212117,756962,726580,30382,4.18,783850
Interest earned - external investments,,5784133,0,5500000,6400000,576353,564175,728622,1869150,676050,418019,754933,1849002,0,447919,703457,1151376,398841,987302,449659,1835802,6705330,5500000,1205330,21.92,6400000
Interest earned - outstanding debtors,,7293177,0,11500000,5750000,1080586,1142901,1036187,3259674,1086600,1097951,1689742,3874293,0,954098,1856346,2810444,-45459,-5359,1474717,1423899,11368310,11500000,-131690,-1.15,5750000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,71373,0,47000,58000,3069,2965,16009,22043,3947,1404,6711,12062,0,3912,4474,8386,11404,2895,526,14825,57316,47000,10316,21.95,58000
Licences and permits,,3683193,0,5100000,5240000,1184468,61046,308019,1553533,407469,214502,514900,1136871,0,796719,-250467,546252,528373,99183,302452,930008,4166664,5100000,-933336,-18.3,5240000
Agency services,,324657,0,400000,200000,0,0,1638,1638,0,0,0,0,0,0,0,0,0,0,0,0,1638,400000,-398362,-99.59,200000
Transfers recognised - operational,,151384638,0,178190000,178190000,70401000,1526000,0,71927000,0,56114000,0,56114000,0,444000,47076000,47520000,0,0,0,0,175561000,178190000,-2629000,-1.48,178190000
Other own revenue,,1221746,0,4391107,3500450,82847,-341389,-218231,-476773,157698,106464,92784,356946,0,140482,177456,317938,331558,71163,-62863,339858,537969,4391367,-3853398,-87.75,3500450
Gains on disposal of PPE,,0,0,500000,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,-500000,-100,250000
Total Revenue (excl. capital transfers and contributions),,201587989,0,240309947,245709000,76113322,5798575,4663848,86575745,5107935,60748908,5846476,71703319,0,5477546,52363660,57841206,3930304,4048893,4964693,12943890,229064160,240309947,-11245787,-4.6797010029718,245709000
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,89400044,0,94994660,95446656,7609552,7433092,7390711,22433355,7485515,7291575,7943609,22720699,0,7643552,7462611,15106163,7615902,7678769,8065581,23360252,83620469,94994662,-11374193,-11.97,95446656
Remuneration of councillors,,16980056,0,16944916,16944232,1351579,1351579,1415911,4119069,1380697,1361547,1361549,4103793,0,1342707,1342722,2685429,1416125,1454740,1454744,4325609,15233900,16944232,-1710332,-10.09,16944232
Debt impairment,,28449727,0,20000000,20000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000000,-20000000,-100,20000000
Depreciation and asset impairment,,22503056,0,30000000,30000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000000,-30000000,-100,30000000
Finance charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450000,-450000,-100,0
Bulk purchases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other Materials,,14690113,0,7555000,6982496,160544,42909,938521,1141974,226320,387042,156718,770080,0,400885,179089,579974,61497,139971,374348,575816,3067844,7555000,-4487156,-59.39,6982496
Contracted services,,426898,0,12050000,9058213,600298,117633,599727,1317658,216414,360745,58888,636047,0,385335,403706,789041,106877,150218,2772552,3029647,5772393,12050000,-6277607,-52.1,9058213
Transfers and grants,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other expenditure,,47457548,0,53893874,60382690,2940667,3987131,3556176,10483974,4562300,3905829,4779505,13247634,0,3113406,5296946,8410352,4095069,5375073,7311990,16782132,48924092,53443874,-4519782,-8.46,60382690
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,219907442,0,235438450,238814287,12662640,12932344,13901046,39496030,13871246,13306738,14300269,41478253,0,12885885,14685074,27570959,13295470,14798771,19979215,48073456,156618698,235437768,-78819070,-33.47766616611826,238814287
,,,,,,,,,,,,,,,,,,,,,,,,,,
