Limpopo: Greater Letaba(LIM332) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,8633560,0,6355008,6355008,753069,735810,710216,2199095,735973,679489,813106,2228568,755953,704698,690489,2151140,669087,680459,728965,2078511,8657314,6354687,2302627,36.24,6355008
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,10504272,0,13699641,15906477,1155743,1233161,1132509,3521413,1191319,975252,819702,2986273,373512,733419,687191,1794122,249257,198210,685966,1133433,9435241,15906476,-6471235,-40.68,15906477
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,3500092,0,2971476,4092948,299933,296628,301349,897910,297896,294680,293290,885866,295565,291218,300378,887161,290944,281666,259558,832168,3503105,4093373,-590268,-14.42,4092948
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,111364,0,223020,123020,5947,8418,8075,22440,1735,5961,3518,11214,11383,14453,11160,36996,8689,10086,8404,27179,97829,222774,-124945,-56.09,123020
Interest earned - external investments,,5417710,0,3610800,3610800,0,0,0,0,117707,0,1315017,1432724,384196,267267,241435,892898,270766,121302,857114,1249182,3574804,3610726,-35922,-0.99,3610800
