Limpopo: Greater Tzaneen(LIM333) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,66345319,0,64000000,64000000,6146867,6168138,6126207,18441212,6142016,-6102208,6155607,6195415,6300263,6099504,18355635,30755402,6204233,6067901,6361210,18633344,74025373,64000002,10025371,15.66,64000000
Property rates - penalties and collection charges,,4770262,0,4500000,4500000,459254,477325,462198,1398777,430757,-488094,513371,456034,513005,502147,1491353,2506505,323132,321664,362028,1006824,5368140,4500000,868140,19.29,4500000
Service charges - electricity revenue,,337967085,0,405773803,405773803,37619422,37777429,36047510,111444361,130974069,70864136,37159700,238997905,29514062,29317813,-109563947,-50732072,28661695,27519868,33062401,89243964,388954158,405773804,-16819646,-4.15,405773803
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,23745602,0,22037000,22037000,2125481,2093132,2104304,6322917,2206225,-2202488,2133712,2137449,2193800,2044254,6391033,10629087,2140587,2135803,2066770,6343160,25432613,22036999,3395614,15.41,22037000
Service charges - other,,291716,0,1365840,1365840,22975,18436,22304,63715,18587,-25516,24969,18040,28890,320198,74784,423872,642025,-521367,23789,144447,650074,1365840,-715766,-52.4,1365840
Rental of facilities and equipment,,1279344,0,759100,759100,66434,71867,123157,261458,94882,-132693,98189,60378,112771,97284,372517,582572,168627,103183,115218,387028,1291436,759102,532334,70.13,759100
Interest earned - external investments,,2180956,0,2001000,2001000,152616,172082,230966,555664,0,-92850,69128,-23722,189804,65742,213082,468628,343807,630459,354944,1329210,2329780,2001000,328780,16.43,2001000
Interest earned - outstanding debtors,,17343422,0,11800000,11800000,1622632,1626671,1476987,4726290,1556958,-1552825,1778196,1782329,1689214,1728046,4699213,8116473,1158409,1179304,1179413,3517126,18142218,11799997,6342221,53.75,11800000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,3665353,0,3210136,3210136,37851,47340,556456,641647,52019,-1312254,61843,-1198392,807104,45177,3644728,4497009,619462,55978,1078040,1753480,5693744,3210135,2483609,77.37,3210136
Licences and permits,,540614,0,497138,497138,52577,55353,56910,164840,69365,-66530,73924,76759,45835,48271,221152,315258,118677,-18570,54172,154279,711136,497138,213998,43.05,497138
Agency services,,6360327,0,42992708,42992708,4229467,3465853,3894927,11590247,4162762,-3519453,3173806,3817115,4309181,4799262,11226366,20334809,4023902,3123825,6327990,13475717,49217888,42992707,6225181,14.48,42992708
Transfers recognised - operational,,243422871,0,256100550,256100550,95181000,1856732,885000,97922732,2200000,-691635,63621000,65129365,425652,1161981,69622641,71210274,919375,-765197,618000,772178,235034549,256100548,-21065999,-8.23,256100550
Other own revenue,,35536130,0,7030496,38939592,387685,210561,46751,644997,110671,-1946357,106574,-1729112,827541,324109,8710144,9861794,-1039720,4287518,-21035,3226763,12004442,7030496,4973946,70.75,38939592
Gains on disposal of PPE,,0,0,2300000,2300000,300,390,260,950,440,-360,0,80,200,140,720,1060,0,0,180,180,2270,2300000,-2297730,-99.9,2300000
Total Revenue (excl. capital transfers and contributions),,743449001,0,824367771,856276867,148104561,54041309,52033937,254179807,148018751,52730873,114970019,315719643,46957322,46553928,15459421,108970671,44284211,44120369,51583120,139987700,818857821,824367768,-5509947,-0.6683845746865736,856276867
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,250365347,0,148315024,148315024,19324916,18450452,17557759,55333127,17278227,17582396,17856150,52716773,18497779,17650701,17241817,53390297,17884521,17139783,16082377,51106681,212546878,148315024,64231854,43.31,148315024
Remuneration of councillors,,19031199,0,21028678,21028678,1622475,1603564,1768877,4994916,1602176,1601696,1602181,4806053,1601402,1589039,1595310,4785751,2272804,1680915,1680241,5633960,20220680,21028678,-807998,-3.84,21028678
Debt impairment,,21745127,0,16483459,16483459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16483459,-16483459,-100,16483459
Depreciation and asset impairment,,108129032,0,120057710,120057710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67458,-67458,-67458,120057713,-120125171,-100.06,120057710
