Limpopo: Ba-Phalaborwa(LIM334) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,57238528,0,70633500,70633500,5606009,5679664,5646863,16932536,5493056,5653620,5062549,16209225,5117059,5575592,5576772,16269423,5634164,5630957,4917342,16182463,65593647,70633500,-5039853,-7.14,70633500
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,83081990,0,95327250,95327250,5531881,9323703,8218834,23074418,5781617,7130861,6718161,19630639,6718195,5984829,5016086,17719110,9638481,10222199,8761569,28622249,89046416,95327256,-6280840,-6.59,95327250
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,10422375,0,11336516,11336516,960431,962271,956754,2879456,962926,964220,968322,2895468,879984,965034,965072,2810090,969127,940805,913018,2822950,11407964,11336520,71444,0.63,11336516
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,227989,0,330250,330250,13219,74385,18807,106411,24413,20233,16408,61054,14749,35158,16445,66352,10799,22043,20789,53631,287448,330252,-42804,-12.96,330250
Interest earned - external investments,,358652,0,260000,260000,74874,56071,25486,156431,11522,24126,20751,56399,17369,13387,8294,39050,8055,8621,7620,24296,276176,260004,16172,6.22,260000
Interest earned - outstanding debtors,,55540983,0,74643508,74643508,5610095,5867531,5677918,17155544,5615002,6197187,6216718,18028907,5729979,6438012,6413495,18581486,6546953,6202876,6343593,19093422,72859359,74643504,-1784145,-2.39,74643508
Dividends received,,0,0,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2496,-2496,-100,2500
Fines,,2826165,0,2600000,2600000,0,0,269000,269000,0,0,200000,200000,1254,0,0,1254,1000000,-837286,289556,452270,922524,2600004,-1677480,-64.52,2600000
Licences and permits,,3121311,0,9020744,9020744,377216,2126926,1058919,3563061,771545,813,1734714,2507072,558352,1555533,429589,2543474,895678,1876450,844560,3616688,12230295,9020748,3209547,35.58,9020744
Agency services,,9665397,0,2255186,2255186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2255184,-2255184,-100,2255186
Transfers recognised - operational,,73625539,0,88490350,88490350,33014559,891965,48000,33954524,828993,21247636,7574787,29651416,225937,631549,325768,1183254,162243,16418444,6761777,23342464,88131658,88490352,-358694,-0.41,88490350
