Limpopo: Maruleng(LIM335) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,12594085,0,13393944,13393944,1076083,2304756,2299262,5680101,2285133,2280239,2297220,6862592,2289098,2356967,2363395,7009460,2365518,2365518,0,4731036,24283189,13393944,10889245,81.3,13393944
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,2564209,0,2655000,2655000,0,347768,243752,591520,313370,96736,219220,629326,139591,299505,278771,717867,253843,260796,0,514639,2453352,2655000,-201648,-7.6,2655000
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,269430,0,364657,364657,22525,19802,19802,62129,19802,19802,19802,59406,19802,17815,17815,55432,17815,17815,0,35630,212597,364657,-152060,-41.7,364657
Interest earned - external investments,,1609882,0,1500000,1500000,0,0,619918,619918,0,0,697077,697077,235737,0,0,235737,787021,787021,0,1574042,3126774,1500003,1626771,108.45,1500000
