Limpopo: Musina(LIM341) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,11342602,0,11985000,14039000,887060,897111,817960,2602131,3359726,904905,905169,5169800,902206,885819,901544,2689569,871451,744379,10457131,12072961,22534461,11985347,10549114,88.02,14039000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,73388146,0,85891000,85046000,4602450,6339086,6615963,17557499,11190657,6794426,6757977,24743060,7309532,5680147,7813549,20803228,6838689,5911886,3491903,16242478,79346265,85890558,-6544293,-7.62,85046000
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,10888769,0,8655000,13631000,991099,993624,1011523,2996246,1987576,990516,987682,3965774,989329,997438,996657,2983424,1002730,986393,0,1989123,11934567,8654995,3279572,37.89,13631000
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,373314,0,215000,7905000,25428,277881,4211853,4515162,196316,16139,18535,230990,54347,13145,26001,93493,62536,42743,100656,205935,5045580,215000,4830580,2246.78,7905000
Interest earned - external investments,,953545,0,150000,198000,9280,10279,9289,28848,729703,173926,184747,1088376,184004,233431,151041,568476,258582,10114,144229,412925,2098625,150000,1948625,1299.08,198000
Interest earned - outstanding debtors,,1731329,0,750000,2044000,251127,226660,214560,692347,-477788,0,0,-477788,0,0,-33043,-33043,122209,179157,5278,306644,488160,750000,-261840,-34.91,2044000
Dividends received,,0,0,0,0,883030,1319330,468041,2670401,968745,1299227,223290,2491262,87037,1320732,982749,2390518,1065488,650954,776175,2492617,10044798,,10044798,0,0
Fines,,3364000,0,1800000,980000,25450,78750,114350,218550,63400,99200,93300,255900,97050,74808,170409,342267,121150,98050,212736,431936,1248653,1800000,-551347,-30.63,980000
Licences and permits,,2735492,0,1491000,8999000,2936,5049,2719,10704,4611,7621,2365,14597,5696,2866,5739,14301,4090,2890,0,6980,46582,1491200,-1444618,-96.88,8999000
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,38624098,0,42767000,42767199,17223000,1360000,0,18583000,0,321000,19332071,19653071,0,0,10554000,10554000,0,0,0,0,48790071,42767000,6023071,14.08,42767199
Other own revenue,,6162983,0,17554000,17656298,5016402,13100696,11998781,30115879,3252854,20479297,6625588,30357739,46331,283113,80146,409590,6792,6995074,11810,7013676,67896884,17553995,50342889,286.79,17656298
Gains on disposal of PPE,,0,0,15970000,15970000,0,864399,0,864399,4317377,2405225,258400,6981002,2476093,2492000,6673192,11641285,825543,1023824,415139,2264506,21751192,15970000,5781192,36.2,15970000
Total Revenue (excl. capital transfers and contributions),,149564278,0,187228000,209235497,29917262,25472865,25465039,80855166,25593177,33491482,35389124,94473783,12151625,11983499,28321984,52457108,11179260,16645464,15615057,43439781,271225838,187228095,83997743,44.86385603613603,209235497
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,77846039,0,81279000,86452000,6869765,7268270,7273002,21411037,7268052,6724598,7722053,21714703,7518715,7508965,11092990,26120670,7959603,7605299,7841275,23406177,92652587,81278656,11373931,13.99,86452000
Remuneration of councillors,,3727669,0,5408000,3528000,293976,293976,303005,890957,293976,293976,293976,881928,293976,293976,293976,881928,457832,310361,310361,1078554,3733367,5408344,-1674977,-30.97,3528000
