Limpopo: Mutale(LIM342) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,2298561,0,2150000,1910388,195709,468944,459019,1123672,500193,499984,496275,1496452,-1838512,165774,165815,-1506923,165921,165917,165908,497746,1610947,2150004,-539057,-25.07,1910388
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,542195,0,943246,1224260,77910,79092,114217,271219,94152,139577,101042,334771,102687,105437,103437,311561,108900,104050,104025,316975,1234526,943242,291284,30.88,1224260
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,72525,0,74835,82844,8912,6166,6800,21878,7951,6166,5427,19544,5638,5511,8299,19448,7148,8204,43370,58722,119592,74835,44757,59.81,82844
Interest earned - external investments,,980576,0,320000,600000,20200,23255,242346,285801,43228,31567,30927,105722,14940,13292,322210,350442,21012,13220,400331,434563,1176528,320001,856527,267.66,600000
Interest earned - outstanding debtors,,529190,0,1000000,223574,0,0,27838,27838,31028,30233,-15,61246,30071,25987,-5,56053,67294,58280,-12,125562,270699,999996,-729297,-72.93,223574
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,422660,0,200772,288000,156,0,0,156,0,0,0,0,0,0,0,0,6180,0,0,6180,6336,200772,-194436,-96.84,288000
Licences and permits,,2200226,0,3282094,3024715,315764,262316,205697,783777,195131,193115,320715,708961,262912,234995,241659,739566,205603,209336,48114,463053,2695357,3282096,-586739,-17.88,3024715
