Limpopo: Thulamela(LIM343) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,35148268,0,103824251,53286393,3465301,4503272,4164344,12132917,4329248,4173211,4080982,12583441,4682970,4249284,4158051,13090305,5237773,4442653,47340955,57021381,94828044,103824251,-8996207,-8.66,53286393
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,43502195,0,3000000,15313000,3735939,3921392,3991772,11649103,3959842,3985355,3882842,11828039,3876834,3896432,3950226,11723492,3612478,3619646,3787441,11019565,46220199,3000000,43220199,1440.67,15313000
Service charges - other,,0,0,18950879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18951235,-18951235,-100,0
Rental of facilities and equipment,,548263,0,1000000,1000000,54283,59919,77309,191511,109300,59795,38701,207796,40016,59017,57472,156505,32453,83747,35672,151872,707684,1000000,-292316,-29.23,1000000
Interest earned - external investments,,15662844,0,16000000,16000000,1136380,1615716,927916,3680012,1589224,1366836,1540414,4496474,1659644,1514460,1225847,4399951,1548717,1429120,1283676,4261513,16837950,16000000,837950,5.24,16000000
Interest earned - outstanding debtors,,14213784,0,14000000,16000000,1289523,1346468,1366630,4002621,1395862,1419075,1406822,4221759,1437917,1470971,1488805,4397693,1503057,1533621,125798,3162476,15784549,14000000,1784549,12.75,16000000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,13144284,0,3000000,15706000,77920,183040,164360,425320,147950,162690,265880,576520,265270,305430,280650,851350,191930,159700,83610,435240,2288430,3000000,-711570,-23.72,15706000
Licences and permits,,12474633,0,330000,347000,1150930,986035,953244,3090209,1256645,1018803,1076212,3351660,828099,765023,1166876,2759998,614169,1092811,1118168,2825148,12027015,330000,11697015,3544.55,347000
Agency services,,0,0,11700000,13000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11700000,-11700000,-100,13000000
Transfers recognised - operational,,300089756,0,391738000,391738000,135621000,1629000,1500000,138750000,0,113343000,1500000,114843000,0,521000,92669000,93190000,0,0,0,0,346783000,391738000,-44955000,-11.48,391738000
Other own revenue,,18096600,0,178387292,103045219,1492957,1421689,2794128,5708774,1374989,1232394,984530,3591913,1066207,1669219,1432370,4167796,6961973,30929212,51686658,89577843,103046326,178386938,-75340612,-42.23,103045219
Gains on disposal of PPE,,225992,0,250000,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,-250000,-100,250000
Total Revenue (excl. capital transfers and contributions),,453106619,0,742180422,625685612,148024233,15666531,15939703,179630467,14163060,126761159,14776383,155700602,13856957,14450836,106429297,134737090,19702550,43290510,105461978,168455038,638523197,742180424,-103657227,-13.96658058445368,625685612
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,172720726,0,183895226,188411978,14852577,15028177,15527479,45408233,14975628,14370442,15544552,44890622,15435207,15792857,15668468,46896532,16254600,15744453,17069272,49068325,186263712,183894795,2368917,1.29,188411978
Remuneration of councillors,,22163725,0,22304178,22304178,1869881,1859366,1843858,5573105,1845306,1942377,1864798,5652481,1864804,1865131,1865160,5595095,2701300,1968567,1723608,6393475,23214156,22304178,909978,4.08,22304178
Debt impairment,,67008228,0,47659393,66335523,320570,247751,203196,771517,105716,356039,229342,691097,346134,346134,154580,846848,11384,104844,7493816,7610044,9919506,47659393,-37739887,-79.19,66335523
Depreciation and asset impairment,,47114118,0,47187245,75590714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47187245,-47187245,-100,75590714
