Limpopo: Makhado(LIM344) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,28509751,0,35311000,41666000,2782000,3258970,3512500,9553470,3616484,4457000,3064000,11137484,3653581,3682000,3709000,11044581,3683804,3683804,3818492,11186100,42921635,35310813,7610822,21.55,41666000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,231149603,0,256416000,0,17840000,11551000,21167302,50558302,21092015,20493000,21358000,62943015,19209060,22039000,18314000,59562060,20736361,21451562,22608149,64796072,237859449,256416402,-18556953,-7.24,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,6851821,0,7713000,0,647000,666726,583697,1897423,628021,1078000,653000,2359021,659061,659061,586000,1904122,715098,701452,594077,2010627,8171193,7713126,458067,5.94,0
Service charges - other,,0,0,0,266736000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,266736000
Rental of facilities and equipment,,505003,0,258000,429000,32000,34538,19962,86500,30140,37968,47000,115108,20054,18148,11000,49202,27399,20162,21837,69398,320208,258336,61872,23.95,429000
Interest earned - external investments,,2044866,0,1734000,3136000,0,0,415709,415709,195099,235566,329659,760324,126136,267326,254000,647462,259971,244204,295501,799676,2623171,1734443,888728,51.24,3136000
Interest earned - outstanding debtors,,13006579,0,20439000,11439000,884000,402776,846416,2133192,303258,495588,791392,1590238,992770,614368,631000,2238138,636908,617351,636188,1890447,7852015,20438563,-12586548,-61.58,11439000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,1460989,0,3118000,1566000,149000,128932,71272,349204,106474,86000,86000,278474,119390,85839,112000,317229,104274,131393,145652,381319,1326226,3118476,-1792250,-57.47,1566000
Licences and permits,,11077738,0,13986000,10741000,944000,496253,1283604,2723857,840934,791000,315000,1946934,1221942,799832,1323000,3344774,657290,888126,1048648,2594064,10609629,13985785,-3376156,-24.14,10741000
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,262490367,0,291305000,291305000,113858000,0,0,113858000,0,99124000,541000,99665000,0,0,0,0,77904000,0,0,77904000,291427000,291305000,122000,0.04,291305000
Other own revenue,,12357533,0,25942000,19809000,7797841,204642,163193,8165676,194457,690982,490193,1375632,-215907,193,2318000,2102286,2054651,1516153,456111,4026915,15670509,25942000,-10271491,-39.59,19809000
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
