Limpopo: Aganang(LIM352) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,28675487,0,7114045,7114045,0,0,2304,2304,0,0,0,0,0,0,0,0,0,4042414,0,4042414,4044718,7114044,-3069326,-43.14,7114045
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,282961,0,300000,300000,6909,42660,11835,61404,34062,22849,30456,87367,19104,21967,27076,68147,21117,21425,28485,71027,287945,300000,-12055,-4.02,300000
Interest earned - external investments,,2154972,0,2100303,2100303,190706,353543,318331,862580,292245,276262,289308,857815,255648,360339,409119,1025106,413473,409187,477841,1300501,4046002,2100303,1945699,92.64,2100303
Interest earned - outstanding debtors,,4582903,0,1100325,1100325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100325,-1100325,-100,1100325
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,0,0,600000,500000,39750,4367,51575,95692,25000,24000,29437,78437,38025,26137,19655,83817,66528,25188,25890,117606,375552,600000,-224448,-37.41,500000
Licences and permits,,0,0,3000000,2300500,170674,6829,94839,272342,149745,132792,171781,454318,188957,143890,165388,498235,121302,170305,161866,453473,1678368,3000000,-1321632,-44.05,2300500
Agency services,,0,0,2000000,2000000,0,0,0,0,196660,0,38376,235036,0,135422,55083,190505,69647,0,96713,166360,591901,2000000,-1408099,-70.4,2000000
Transfers recognised - operational,,105112215,0,81839780,80541966,40638000,1548000,0,42186000,0,27625000,0,27625000,0,1361000,11567780,12928780,0,0,0,0,82739780,81839780,900000,1.1,80541966
Other own revenue,,3592986,0,4355168,4355168,188255,36747,2452,227454,28768,335680,1913,366361,110526,11318,15067,136911,87892,7555,243614,339061,1069787,4355168,-3285381,-75.44,4355168
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,144401524,0,102409621,100312307,41234294,1992146,481336,43707776,726480,28416583,561271,29704334,612260,2060073,12259168,14931501,779959,4676074,1034409,6490442,94834053,102409620,-7575567,-7.397319704926159,100312307
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,33092617,0,47416021,40110323,3049184,2648959,2878856,8576999,3024259,2853757,3228892,9106908,3015066,2886077,3140501,9041644,3210024,3312748,3116908,9639680,36365231,47416022,-11050791,-23.31,40110323
Remuneration of councillors,,11564768,0,12066364,12326764,920164,864431,997985,2782580,983133,934955,969674,2887762,925732,953952,958283,2837967,1456991,987648,993354,3437993,11946302,12066364,-120062,-1,12326764
Debt impairment,,54919552,0,0,3500050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,3500050
Depreciation and asset impairment,,2854927,0,9000000,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000000,-9000000,-100,5000000
Finance charges,,85076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Bulk purchases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
