Limpopo: Molemole(LIM353) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,9399061,0,8345692,10368367,864444,864444,864444,2593332,886916,851967,851967,2590850,851967,843523,859910,2555400,859855,859941,859927,2579723,10319305,8345692,1973613,23.65,10368367
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,5550086,0,10141214,10141214,551422,607873,664140,1823435,382900,507734,571490,1462124,0,474785,429327,904112,485627,0,544123,1029750,5219421,10141214,-4921793,-48.53,10141214
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1707146,-1707146,-100,0
Service charges - other,,1377877,0,1707144,1463952,122005,122005,122005,366015,122058,121952,121952,365962,121952,122147,122147,366246,122790,122235,146495,391520,1489743,,1489743,0,1463952
Rental of facilities and equipment,,393388,0,284241,292484,16414,19065,2417,37896,7718,48186,54259,110163,10827,20305,41339,72471,9958,7938,71804,89700,310230,284241,25989,9.14,292484
Interest earned - external investments,,0,0,683959,723959,39216,37120,37273,113609,35555,449770,16562,501887,0,116989,53160,170149,274886,0,194480,469366,1255011,683959,571052,83.49,723959
Interest earned - outstanding debtors,,0,0,2360426,4360426,318887,331589,338517,988993,335379,339497,345707,1020583,350098,357102,363646,1070846,289829,375945,364575,1030349,4110771,2360428,1750343,74.15,4360426
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,1169180,0,910452,910452,500,10450,0,10950,68150,34300,16250,118700,169284,6350,9749,185383,3350,14850,24300,42500,357533,910452,-552919,-60.73,910452
Licences and permits,,4061930,0,4253926,7253926,338238,1358726,0,1696964,666521,471905,873102,2011528,57118,216848,480942,754908,0,1243465,494513,1737978,6201378,4253926,1947452,45.78,7253926
Agency services,,1176576,0,726687,0,111536,106132,107820,325488,112344,81118,131490,324952,555456,106215,109809,771480,106576,99336,91632,297544,1719464,726684,992780,136.62,0
Transfers recognised - operational,,81781384,0,95048000,95157565,35235000,0,0,35235000,34200,0,29999348,30033548,0,0,24108000,24108000,313805,0,1560218,1874023,91250571,95048000,-3797429,-4,95157565
Other own revenue,,4644947,0,973953,5780618,19782,37988,-504340,-446570,24863,39805,53903,118571,136025,16427,451469,603921,36164,536229,21685,594078,870000,973954,-103954,-10.67,5780618
Gains on disposal of PPE,,0,0,0,0,2814,0,0,2814,0,0,0,0,0,0,0,0,0,0,0,0,2814,,2814,0,0
Total Revenue (excl. capital transfers and contributions),,109554429,0,125435694,136452963,37620258,3495392,1632276,42747926,2676604,2946234,33036030,38658868,2252727,2280691,27029498,31562916,2502840,3259939,4373752,10136531,123106241,125435696,-2329455,-1.8570909830962312,136452963
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,45719444,0,63173518,61271253,5511868,4114759,4514966,14141593,4655424,4434701,4636035,13726160,4666338,4500513,4594903,13761754,4447610,4823356,5087481,14358447,55987954,63173520,-7185566,-11.37,61271253
Remuneration of councillors,,7584941,0,9040482,10040482,1267816,307806,637560,2213182,637560,637560,637560,1912680,637560,637560,637560,1912680,637560,637560,637560,1912680,7951222,9040482,-1089260,-12.05,10040482
Debt impairment,,0,0,2670280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2670280,-2670280,-100,0
Depreciation and asset impairment,,0,0,4000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3999998,-3999998,-100,0
Finance charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,-25000,-100,0
Bulk purchases,,8113005,0,7000000,7700000,1368023,981183,881842,3231048,720815,724327,0,1445142,0,385251,620954,1006205,523077,357574,729352,1610003,7292398,7000000,292398,4.18,7700000
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,3513482,0,3350000,3350000,276601,276601,276601,829803,276601,276601,276601,829803,355583,233981,233981,823545,233981,233981,233981,701943,3185094,3350000,-164906,-4.92,3350000
Transfers and grants,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other expenditure,,46922843,0,28087124,41784571,1365314,1440590,2398407,5204311,1373753,1347428,3930133,6651314,2051650,1379655,2731008,6162313,3573581,204028,11806671,15584280,33602218,28062124,5540094,19.74,41784571
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,111853715,0,117321404,124146306,9789622,7120939,8709376,25619937,7664153,7420617,9480329,24565099,7711131,7136960,8818406,23666497,9415809,6256499,18495045,34167353,108018886,117321404,-9302518,-7.92908854039967,124146306
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-2299286,0,8114290,12306657,27830636,-3625547,-7077100,17127989,-4987549,-4474383,23555701,14093769,-5458404,-4856269,18211092,7896419,-6912969,-2996560,-14121293,-24030822,15087355,8114292,6973063,85.93556899357331,12306657
Transfers recognised - capital,,20522355,0,30397000,31065241,0,582000,0,582000,1650584,436000,5298483,7385067,0,791440,0,791440,8567426,0,914380,9481806,18240313,30397000,-12156687,-39.99,31065241
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,18223069,0,38511290,43371898,27830636,-3043547,-7077100,17709989,-3336965,-4038383,28854184,21478836,-5458404,-4064829,18211092,8687859,1654457,-2996560,-13206913,-14549016,33327668,38511292,-5183624,-13.460010637918874,43371898
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,18223069,0,38511290,43371898,27830636,-3043547,-7077100,17709989,-3336965,-4038383,28854184,21478836,-5458404,-4064829,18211092,8687859,1654457,-2996560,-13206913,-14549016,33327668,38511292,-5183624,-13.460010637918874,43371898
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,18223069,0,38511290,43371898,27830636,-3043547,-7077100,17709989,-3336965,-4038383,28854184,21478836,-5458404,-4064829,18211092,8687859,1654457,-2996560,-13206913,-14549016,33327668,38511292,-5183624,-13.460010637918874,43371898
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,18223069,0,38511290,43371898,27830636,-3043547,-7077100,17709989,-3336965,-4038383,28854184,21478836,-5458404,-4064829,18211092,8687859,1654457,-2996560,-13206913,-14549016,33327668,38511292,-5183624,-13.460010637918874,43371898
