Limpopo: Polokwane(LIM354) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,285392425,0,302252040,302252040,25235973,24818396,24872848,74927217,25703304,26185440,25466245,77354989,23508121,21733109,23212419,68453649,24899212,25326803,25592112,75818127,296553982,302252040,-5698058,-1.89,302252040
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,775070851,703000000,66053434,57737986,59303116,183094536,57408328,58784521,56306294,172499143,54143205,41385910,47021388,142550503,54241867,53418804,51502256,159162927,657307109,775070851,-117763742,-15.19,703000000
Service charges - water revenue,,0,0,279545529,234000000,19493032,19307931,17173329,55974292,22439513,21314014,18344627,62098154,18348565,19500631,13401711,51250907,22749764,16488449,16696921,55935134,225258487,279545529,-54287042,-19.42,234000000
Service charges - sanitation revenue,,0,0,66163477,50000000,4075767,3574882,3945654,11596303,4228145,3556768,4737061,12521974,4775808,4246039,3356986,12378833,4705919,3567945,4271380,12545244,49042354,66163477,-17121123,-25.88,50000000
Service charges - refuse revenue,,0,0,60959351,58000000,4838214,4829265,4830084,14497563,4839562,4839680,4842894,14522136,4813957,4776729,4566476,14157162,4798865,4832984,4827933,14459782,57636643,60959351,-3322708,-5.45,58000000
Service charges - other,,884984196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,17132411,0,20019517,20019504,579260,495969,1101227,2176456,828658,2020466,711179,3560303,575027,1475206,460053,2510286,1256122,739993,2020413,4016528,12263573,20019517,-7755944,-38.74,20019504
Interest earned - external investments,,30546748,0,23000000,23000000,-994504,-493542,1940753,452707,4119914,0,3014279,7134193,925520,0,2906883,3832403,3602883,1221951,18847137,23671971,35091274,23000000,12091274,52.57,23000000
Interest earned - outstanding debtors,,51302423,0,30000000,30000000,4033905,4147517,-209457,7971965,4173999,4586840,4278881,13039720,4054251,4343574,3742305,12140130,3614178,4447293,4584391,12645862,45797677,30000000,15797677,52.66,30000000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,12346564,0,10752559,10752559,180787,109664,91437,381888,137675,185709,328742,652126,201685,169757,161803,533245,252727,321773,283380,857880,2425139,10752559,-8327420,-77.45,10752559
Licences and permits,,8909042,0,9027441,9027438,891830,855347,669368,2416545,785388,702147,642737,2130272,767725,763193,975660,2506578,651582,781794,708738,2142114,9195509,9027441,168068,1.86,9027438
Agency services,,16039967,0,15656200,15656200,186278,153213,121593,461084,168831,140403,7460587,7769821,143520,146649,164831,455000,158166,136923,6627133,6922222,15608127,15656200,-48073,-0.31,15656200
Transfers recognised - operational,,516199287,0,556489000,558631000,184220000,2514000,0,186734000,0,0,151562000,151562000,1462200,2376000,123446000,127284200,0,0,58980490,58980490,524560690,556489000,-31928310,-5.74,558631000
