Limpopo: Lepelle-Nkumpi(LIM355) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,19221957,0,19119703,19119703,1509248,1415103,1492822,4417173,1482933,1388843,1415203,4286979,1774371,1409930,1383574,4567875,1388067,1342278,2783727,5514072,18786099,19119703,-333604,-1.74,19119703
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,5301681,0,5851507,5851507,473754,470264,472551,1416569,472264,436605,475652,1384521,485384,477863,479369,1442616,562568,474641,477206,1514415,5758121,5851509,-93388,-1.6,5851507
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,212884,0,304425,364425,36748,42121,12917,91786,27445,30033,59326,116804,30257,19994,20301,70552,24424,23608,18994,67026,346168,304424,41744,13.71,364425
Interest earned - external investments,,3866631,0,5018112,5018112,391273,488980,506387,1386640,480672,440374,412776,1333822,442699,458590,402726,1304015,447295,434392,462682,1344369,5368846,5018111,350735,6.99,5018112
Interest earned - outstanding debtors,,-1180410,0,7805952,4702249,1110387,1082231,1117341,3309959,1153250,1152593,1215577,3521420,1230715,975866,1310877,3517458,1337297,1367931,1406560,4111788,14460625,7805952,6654673,85.25,4702249
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,893370,0,7603200,7603200,93860,70395,85485,249740,66050,51815,43270,161135,55155,40505,46690,142350,34075,32857,38050,104982,658207,7603200,-6944993,-91.34,7603200
Licences and permits,,0,0,34848,0,9381,0,0,9381,741,2193,1178,4112,125153,0,0,125153,0,0,0,0,138646,34848,103798,297.86,0
Agency services,,44105365,0,12612602,9012602,3559015,3231025,3354026,10144066,4052980,3186061,2846380,10085421,4010018,3413583,3690807,11114408,3973154,3728521,3928983,11630658,42974553,12612602,30361951,240.73,9012602
Transfers recognised - operational,,141645012,0,168448526,169709126,64931629,-322042,219381,64828968,586686,51233756,474072,52294514,389649,668108,44194133,45251890,593279,1120675,1649764,3363718,165739090,168448524,-2709434,-1.61,169709126
