Limpopo: Thabazimbi(LIM361) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,16704462,0,17977982,23627982,1444945,3304762,1716526,6466233,1561255,1723781,1706505,4991541,1731542,1732852,1729862,5194256,2829626,1697748,1612737,6140111,22792141,17977536,4814605,26.78,23627982
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,47195469,0,66367548,77293547,4531871,3802780,3743808,12078459,5255910,4514914,1645807,11416631,-1850795,3839666,3928053,5916924,4418063,3240168,3408467,11066698,40478712,66368000,-25889288,-39.01,77293547
Service charges - water revenue,,20951806,0,61431682,61221720,4253683,4154860,3363410,11771953,7803571,3821451,3186290,14811312,1280345,1469864,-644536,2105673,3263140,974483,4441256,8678879,37367817,61432000,-24064183,-39.17,61221720
Service charges - sanitation revenue,,13001044,0,22326804,29035631,1240355,2432525,1579904,5252784,3389990,2699503,2650000,8739493,1539356,1795813,1442127,4777296,2133624,1762459,2346580,6242663,25012236,22327000,2685236,12.03,29035631
Service charges - refuse revenue,,8615276,0,10175328,10175229,633811,760779,772835,2167425,794207,721803,841657,2357667,835101,873922,774172,2483195,853746,845157,910846,2609749,9618036,10175229,-557193,-5.48,10175229
Service charges - other,,3869563,0,0,0,7620,0,0,7620,0,0,0,0,0,0,0,0,0,0,0,0,7620,,7620,0,0
Rental of facilities and equipment,,380873,0,1151950,798950,28896,35859,32576,97331,35625,30149,34389,100163,29183,36588,5554,71325,34981,35135,3750,73866,342685,1152000,-809315,-70.25,798950
Interest earned - external investments,,0,0,47908,34908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48000,-48000,-100,34908
Interest earned - outstanding debtors,,8483020,0,4800503,4800503,900806,773437,949437,2623680,938820,1008642,1044077,2991539,1025735,1079087,796246,2901068,1019139,1024511,1096064,3139714,11656001,4800503,6855498,142.81,4800503
