Limpopo: Lephalale(LIM362) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,41948076,0,47544438,47544438,3934000,0,0,3934000,0,0,0,0,0,0,0,0,0,0,0,0,3934000,47544440,-43610440,-91.73,47544438
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,112696464,0,120087240,120087240,11053000,0,0,11053000,0,0,0,0,0,0,0,0,0,0,0,0,11053000,120087241,-109034241,-90.8,120087240
Service charges - water revenue,,29759309,0,34121696,34121696,2469000,0,0,2469000,0,0,0,0,0,0,0,0,0,0,0,0,2469000,34121970,-31652970,-92.76,34121696
Service charges - sanitation revenue,,12829364,0,14170062,14170062,1186000,0,0,1186000,0,0,0,0,0,0,0,0,0,0,0,0,1186000,14170062,-12984062,-91.63,14170062
Service charges - refuse revenue,,7933637,0,8321052,8321052,919000,0,0,919000,0,0,0,0,0,0,0,0,0,0,0,0,919000,8321052,-7402052,-88.96,8321052
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,227210,0,1599092,1599092,18228,0,0,18228,0,0,0,0,0,0,0,0,0,0,0,0,18228,1599400,-1581172,-98.86,1599092
Interest earned - external investments,,6096205,0,6415245,6415245,435773,0,0,435773,0,0,0,0,0,0,0,0,0,0,0,0,435773,6415243,-5979470,-93.21,6415245
Interest earned - outstanding debtors,,5148846,0,8002119,8002119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8002119,-8002119,-100,8002119
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,787211,0,212155,212155,780,0,0,780,0,0,0,0,0,0,0,0,0,0,0,0,780,212155,-211375,-99.63,212155
Licences and permits,,7292000,0,7711493,7711493,1162276,0,0,1162276,0,0,0,0,0,0,0,0,0,0,0,0,1162276,7711492,-6549216,-84.93,7711493
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
