Limpopo: Mookgopong(LIM364) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,21748627,0,21066000,22616000,0,2263074,2370585,4633659,2370585,2148676,0,4519261,0,800358,909557,1709915,0,0,1182045,1182045,12044880,21066000,-9021120,-42.82,22616000
Property rates - penalties and collection charges,,0,0,0,6600000,0,0,0,0,0,0,576986,576986,0,0,0,0,0,0,0,0,576986,,576986,0,6600000
Service charges - electricity revenue,,0,0,37670000,37170000,0,3129087,3004307,6133394,3237863,2671634,2877018,8786515,3411138,3799985,4198409,11409532,0,0,5201074,5201074,31530515,37670004,-6139489,-16.3,37170000
Service charges - water revenue,,0,0,5015000,4715000,0,443558,438587,882145,402736,399961,363056,1165753,433124,476345,556113,1465582,0,0,712236,712236,4225716,5015004,-789288,-15.74,4715000
Service charges - sanitation revenue,,0,0,4680000,4680000,0,436067,363399,799466,410816,392311,409053,1212180,487867,560326,597967,1646160,0,0,781492,781492,4439298,4680000,-240702,-5.14,4680000
Service charges - refuse revenue,,0,0,5105000,5105000,0,480025,471864,951889,416159,410655,441180,1267994,508647,570149,635838,1714634,0,0,830042,830042,4764559,5105004,-340445,-6.67,5105000
Service charges - other,,46675764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,260538,0,163000,252000,0,17565,18999,36564,20340,28653,14276,63269,16823,19191,21667,57681,0,0,35642,35642,193156,162996,30160,18.5,252000
Interest earned - external investments,,97217,0,40000,45000,0,0,0,0,0,0,2731,2731,2731,2731,7023,12485,0,0,21556,21556,36772,39996,-3224,-8.06,45000
Interest earned - outstanding debtors,,5849367,0,4100000,0,0,598364,342994,941358,622911,647050,0,1269961,688630,0,0,688630,0,0,0,0,2899949,4100004,-1200055,-29.27,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,283828,0,73500,53500,0,0,1800,1800,0,4297,0,4297,0,0,0,0,0,0,0,0,6097,73500,-67403,-91.7,53500
Licences and permits,,2917792,0,0,0,0,0,0,0,151312,169082,0,320394,0,0,0,0,0,0,0,0,320394,,320394,0,0
Agency services,,1299866,0,5123600,5225500,0,266723,358137,624860,59214,98753,600781,758748,672762,974866,1020837,2668465,0,0,1205375,1205375,5257448,5123604,133844,2.61,5225500
Transfers recognised - operational,,32554000,0,38478000,36657000,0,372870,180488,553358,326484,7624640,223501,8174625,42321,507442,30501381,31051144,0,0,395381,395381,40174508,38478000,1696508,4.41,36657000
Other own revenue,,1315796,0,3169300,3810300,0,160115,-65050,95065,45438,23090,0,68528,184960,0,0,184960,0,0,0,0,348553,3169300,-2820747,-89,3810300
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
