Limpopo: Modimolle(LIM365) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,27774000,0,29100000,30000000,2574515,2587878,2350201,7512594,2580449,2474240,2476083,7530772,2532038,2654218,2204069,7390325,2627400,2647226,2663746,7938372,30372063,29100000,1272063,4.37,30000000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,78216863,0,82600000,85800000,6084364,5575154,7002820,18662338,7587309,5926700,7614905,21128914,6327084,6258828,6402620,18988532,6885774,6723954,7544266,21153994,79933778,82600000,-2666222,-3.23,85800000
Service charges - water revenue,,27616138,0,37500000,37500000,3402479,2615603,3403758,9421840,3734160,2973785,2757171,9465116,3004203,2948267,3202472,9154942,2794265,2594745,2549602,7938612,35980510,37500000,-1519490,-4.05,37500000
Service charges - sanitation revenue,,10680050,0,11000000,11000000,924318,924513,926366,2775197,742522,917889,924652,2585063,926306,923835,926785,2776926,925029,927771,927588,2780388,10917574,11000000,-82426,-0.75,11000000
Service charges - refuse revenue,,6256184,0,6900000,6900000,572928,569949,567753,1710630,566203,567534,570608,1704345,565238,568234,567332,1700804,563608,586371,587273,1737252,6853031,6900000,-46969,-0.68,6900000
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,558024,0,65580,222620,67224,20055,20342,107621,8808,7607,9411,25826,8087,12909,9449,30445,10211,7835,8383,26429,190321,65576,124745,190.23,222620
Interest earned - external investments,,2712028,0,2400000,2400000,96467,260849,129210,486526,130987,0,189903,320890,90792,83205,90693,264690,89272,447279,96663,633214,1705320,2400000,-694680,-28.95,2400000
Interest earned - outstanding debtors,,9691873,0,8800000,8800000,636284,250451,881743,1768478,763821,882956,602526,2249303,734922,924431,787196,2446549,872255,918476,946393,2737124,9201454,8800000,401454,4.56,8800000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,102800,0,141500,141500,0,45,9300,9345,0,0,9700,9700,0,5150,0,5150,0,0,0,0,24195,141500,-117305,-82.9,141500
Licences and permits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Agency services,,2421498,0,3600000,3624985,960886,-74304,65585,952167,304925,-31943,937750,1210732,-415336,289636,-254688,-380388,312636,132824,1746742,2192202,3974713,3600000,374713,10.41,3624985
Transfers recognised - operational,,62232148,0,64267201,64132201,23213001,751481,391230,24355712,0,628985,19649459,20278444,167449,608296,16242028,17017773,162985,501174,623023,1287182,62939111,64267200,-1328089,-2.07,64132201
Other own revenue,,7635602,0,6860690,6081690,96775,307853,947776,1352404,721323,441586,55837,1218746,666469,647836,887642,2201947,777629,145202,3175977,4098808,8871905,6860688,2011217,29.32,6081690
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,6000,6000,,6000,0,0
Total Revenue (excl. capital transfers and contributions),,235897208,0,253234971,256602996,38629241,13789527,16696084,69114852,17140507,14789339,35798005,67727851,14607252,15924845,31065598,61597695,16021064,15638857,20869656,52529577,250969975,253234964,-2264989,-0.8944219092905353,256602996
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,96655527,0,101842257,108093617,7732483,12043254,8443936,28219673,8111889,8291777,8092085,24495751,8373187,8359818,8427883,25160888,7880647,7869027,8976322,24725996,102602308,101842257,760051,0.75,108093617
Remuneration of councillors,,5980488,0,6855200,6855200,501478,501477,501476,1504431,501476,507126,503574,1512176,504429,500501,504641,1509571,757759,527046,527036,1811841,6338019,6855200,-517181,-7.54,6855200
Debt impairment,,13886529,0,10000000,15000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,-10000000,-100,15000000
Depreciation and asset impairment,,42083744,0,30603578,30603578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30603578,-30603578,-100,30603578
Finance charges,,2750633,0,3035000,3417000,0,0,71360,71360,0,0,17474,17474,0,0,63397,63397,0,0,15681,15681,167912,3035000,-2867088,-94.47,3417000
Bulk purchases,,77381792,0,88000000,87500000,8171577,489377,15959813,24620767,6969019,6605949,597655,14172623,11887981,87842,11902868,23878691,529950,11917546,823551,13271047,75943128,88000000,-12056872,-13.7,87500000
Other Materials,,8386907,0,9720374,9852604,337947,1224848,700250,2263045,1040017,1479963,470742,2990722,550174,256134,1231446,2037754,503053,382041,917929,1803023,9094544,9720372,-625828,-6.44,9852604
Contracted services,,9822388,0,8355000,8355000,538445,692302,1343791,2574538,596166,773085,1194038,2563289,697544,890317,1029574,2617435,629181,658879,390704,1678764,9434026,8355000,1079026,12.91,8355000
Transfers and grants,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other expenditure,,34083274,0,37832252,37580684,3007434,1325392,2892223,7225049,5110179,2074640,2265419,9450238,2802233,6888845,1822161,11513239,2114995,1444718,4867056,8426769,36615295,37832253,-1216958,-3.22,37580684
Loss on disposal of PPE,,3439805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
