Limpopo: Bela Bela(LIM366) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,53068691,0,59401097,53798934,4459718,4555049,4375191,13389958,4706212,4378307,4346010,13430529,4594960,3411816,0,8006776,0,0,0,0,34827263,59401097,-24573834,-41.37,53798934
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,84154206,0,103517296,103512296,7155170,6674687,7132590,20962447,6430670,7189795,7460829,21081294,8443003,6972757,0,15415760,0,0,0,0,57459501,103517297,-46057796,-44.49,103512296
Service charges - water revenue,,20853771,0,24433076,22145925,2484836,2210033,2510399,7205268,2692052,2978381,2016296,7686729,2739861,1905877,0,4645738,0,0,0,0,19537735,24433077,-4895342,-20.04,22145925
Service charges - sanitation revenue,,8223001,0,7310218,5379372,0,0,679465,679465,0,0,0,0,0,500292,0,500292,0,0,0,0,1179757,7310219,-6130462,-83.86,5379372
Service charges - refuse revenue,,7530633,0,6490409,4495896,671089,689150,687352,2047591,691498,692625,693564,2077687,684582,492165,0,1176747,0,0,0,0,5302025,6490409,-1188384,-18.31,4495896
Service charges - other,,-4998282,0,4001906,4001806,0,0,0,0,0,0,0,0,0,30140,0,30140,0,0,0,0,30140,4001807,-3971667,-99.25,4001806
Rental of facilities and equipment,,998416,0,1616264,1616264,87989,85139,88921,262049,88004,93165,89483,270652,92943,99061,0,192004,0,0,0,0,724705,1616264,-891559,-55.16,1616264
Interest earned - external investments,,782137,0,375936,2000000,3654,6588,7451,17693,4588,6594,3548,14730,227306,5384,0,232690,0,0,0,0,265113,375936,-110823,-29.48,2000000
Interest earned - outstanding debtors,,3891386,0,10332960,10332960,659474,576735,564980,1801189,614610,569578,421410,1605598,567412,587156,0,1154568,0,0,0,0,4561355,10333062,-5771707,-55.86,10332960
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,29904329,0,6013227,6000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6013227,-6013227,-100,6000000
Licences and permits,,9122563,0,10000000,10000000,1213337,685807,806508,2705652,763240,668869,508504,1940613,750052,842166,0,1592218,0,0,0,0,6238483,10000000,-3761517,-37.62,10000000
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,64581666,0,60905200,61905200,22116097,1130286,0,23246383,125800,18188718,0,18314518,23478,0,0,23478,0,0,0,0,41584379,60905201,-19320822,-31.72,61905200
Other own revenue,,5535250,0,12781375,22053651,5212071,3865401,1394648,10472120,636415,1702782,1121106,3460303,894371,658842,0,1553213,0,0,0,0,15485636,12781374,2704262,21.16,22053651
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,283647767,0,307178964,307242304,44063435,20478875,18247505,82789815,16753089,36468814,16660750,69882653,19017968,15505656,0,34523624,0,0,0,0,187196092,307178970,-119982878,-39.05960033657252,307242304
,,,,,,,,,,,,,,,,,,,,,,,,,,
