Limpopo: Mogalakwena(LIM367) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,0,0,51214679,51214679,4302158,4271601,4216373,12790132,3817046,9549,4242822,8069417,8483318,-4261758,4234771,8456331,4445462,4306388,4287293,13039143,42355023,51214679,-8859656,-17.3,51214679
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,193085868,193085868,16246586,16516745,14869765,47633096,16502345,1932142,62674881,81109368,29606020,31036878,14735663,75378561,16368661,14216590,15346517,45931768,250052793,193085868,56966925,29.5,193085868
Service charges - water revenue,,0,0,52381644,52381644,3412361,4364031,4127640,11904032,3783573,2539066,32689065,39011704,4815703,11316022,1843907,17975632,5457730,4272645,2724067,12454442,81345810,52381644,28964166,55.29,52381644
Service charges - sanitation revenue,,0,0,13711583,13711583,1233761,1200549,1097041,3531351,1252731,19691,1091274,2363696,2206451,-1573736,1204593,1837308,1284510,1327249,1386518,3998277,11730632,13711583,-1980951,-14.45,13711583
Service charges - refuse revenue,,0,0,12417387,12417387,1318582,1060285,1052769,3431636,1053104,3534,1047232,2103870,2129650,-1057642,1052569,2124577,1064927,1053683,1058952,3177562,10837645,12417387,-1579742,-12.72,12417387
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,0,0,1017460,1017460,39997,36586,41429,118012,651767,4630,23353,679750,51247,-39982,38580,49845,30398,32845,-78221,-14978,832629,1017460,-184831,-18.17,1017460
Interest earned - external investments,,0,0,23350000,23350000,0,1955386,3184658,5140044,3102384,2559461,0,5661845,0,-8417745,4341611,-4076134,1031561,4472972,1352311,6856844,13582599,23350000,-9767401,-41.83,23350000
Interest earned - outstanding debtors,,0,0,2535312,2535312,2025778,706724,1423347,4155849,864809,-17338,1489700,2337171,3695677,-1210057,1606569,4092189,1679238,1679938,1604734,4963910,15549119,2535312,13013807,513.3,2535312
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,0,0,1717625,1717625,38001,49318,39928,127247,155654,42200,0,197854,0,-36300,618,-35682,0,93109,196586,289695,579114,1717625,-1138511,-66.28,1717625
Licences and permits,,0,0,70409,70409,2540,6384,3908,12832,5681,6388,0,12069,0,-2496,0,-2496,0,34724,8708,43432,65837,70409,-4572,-6.49,70409
Agency services,,0,0,7854236,7854236,2503,781757,2281,786541,1181138,37647,0,1218785,47284,-13426,0,33858,0,4091123,111976,4203099,6242283,7854236,-1611953,-20.52,7854236
Transfers recognised - operational,,0,0,307965320,307965320,116286299,1130723,203299,117620321,740761,1372249,203299,2316309,70326163,-819415,79811005,149317753,2144592,490408,2459079,5094079,274348462,307965320,-33616858,-10.92,307965320
Other own revenue,,0,0,7524212,7524212,215481,327321,585488,1128290,487845,177177,38651,703673,180754,-107981,-357777,-285004,241650,257559,300143,799352,2346311,7524212,-5177901,-68.82,7524212
Gains on disposal of PPE,,0,0,8357000,8357000,727239,1809321,1768163,4304723,435206,2851771,0,3286977,1130287,0,794755,1925042,3219383,2847073,2538322,8604778,18121520,8357000,9764520,116.84,8357000
Total Revenue (excl. capital transfers and contributions),,0,0,683202735,683202735,145851286,34216731,32616089,212684106,34034044,11538167,103500277,149072488,122672554,24812362,109306864,256791780,36968112,39176306,33296985,109441403,727989777,683202735,44787042,6.555454143490805,683202735
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,0,0,220085233,220085233,14181861,16843974,15519520,46545355,15319796,15935726,14558297,45813819,13661080,14638602,16201432,44501114,17306250,16049910,16689711,50045871,186906159,220085233,-33179074,-15.08,220085233
Remuneration of councillors,,0,0,18080542,18080542,1384686,1392173,1392173,4169032,1447569,1428763,1440461,4316793,1440175,1438735,1438517,4317427,1440102,2106216,1482741,5029059,17832311,18080542,-248231,-1.37,18080542
Debt impairment,,0,0,48889501,48889501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48889501,-48889501,-100,48889501
Depreciation and asset impairment,,0,0,77291652,77291652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77291652,-77291652,-100,77291652
Finance charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Bulk purchases,,0,0,174338200,174338200,15628538,19124045,15302026,50054609,12430154,2024071,22699113,37153338,11709176,12778262,14232874,38720312,12753443,12599470,15094386,40447299,166375558,174338200,-7962642,-4.57,174338200
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,0,0,24256834,24256834,2843760,4336773,5136820,12317353,31224,4578878,1179106,5789208,1224422,4771612,2953224,8949258,8466002,3088190,10528503,22082695,49138514,24256834,24881680,102.58,24256834
Transfers and grants,,0,0,28641494,28641494,1073299,1015212,906073,2994584,1851324,3310431,1177104,6338859,3392190,1842049,1311255,6545494,3366106,1431821,1408658,6206585,22085522,28641494,-6555972,-22.89,28641494
Other expenditure,,0,0,119985029,119985029,7891015,6138100,5251246,19280361,9154228,8099323,1357651,18611202,12812833,11132950,21365317,45311100,15198222,10847832,25653608,51699662,134902325,119985029,14917296,12.43,119985029
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,0,0,711568485,711568485,43003159,48850277,43507858,135361294,40234295,35377192,42411732,118023219,44239876,46602210,57502619,148344705,58530125,46123439,70857607,175511171,577240389,711568485,-134328096,-18.877746672549726,711568485
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,0,0,-28365750,-28365750,102848127,-14633546,-10891769,77322812,-6200251,-23839025,61088545,31049269,78432678,-21789848,51804245,108447075,-21562013,-6947133,-37560622,-66069768,150749388,-28365750,179115138,-631.4486237804394,-28365750
Transfers recognised - capital,,0,0,229710433,229710433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229710433,-229710433,-100,229710433
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,0,0,201344683,201344683,102848127,-14633546,-10891769,77322812,-6200251,-23839025,61088545,31049269,78432678,-21789848,51804245,108447075,-21562013,-6947133,-37560622,-66069768,150749388,201344683,-50595295,-25.128696842717225,201344683
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,0,0,201344683,201344683,102848127,-14633546,-10891769,77322812,-6200251,-23839025,61088545,31049269,78432678,-21789848,51804245,108447075,-21562013,-6947133,-37560622,-66069768,150749388,201344683,-50595295,-25.128696842717225,201344683
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,0,0,201344683,201344683,102848127,-14633546,-10891769,77322812,-6200251,-23839025,61088545,31049269,78432678,-21789848,51804245,108447075,-21562013,-6947133,-37560622,-66069768,150749388,201344683,-50595295,-25.128696842717225,201344683
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,0,0,201344683,201344683,102848127,-14633546,-10891769,77322812,-6200251,-23839025,61088545,31049269,78432678,-21789848,51804245,108447075,-21562013,-6947133,-37560622,-66069768,150749388,201344683,-50595295,-25.128696842717225,201344683
