Limpopo: Ephraim Mogale(LIM471) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,0,0,15204926,15204926,2404699,2475993,4437869,9318561,1489651,2283620,2066914,5840185,2357088,2410025,27483557,32250670,1850241,2423389,4394755,8668385,56077801,15204926,40872875,268.81,15204926
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,47093133,47093133,3378202,3385458,3394126,10157786,3149964,3253667,3148845,9552476,3406666,2976048,0,6382714,0,0,0,0,26092976,47093133,-21000157,-44.59,47093133
Service charges - water revenue,,0,0,1389259,1389259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1389259,-1389259,-100,1389259
Service charges - sanitation revenue,,0,0,437966,437966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437966,-437966,-100,437966
Service charges - refuse revenue,,0,0,3960059,3960059,318528,305861,336738,961127,302256,307661,38965,648882,306471,306160,305805,918436,0,0,0,0,2528445,3960059,-1431614,-36.15,3960059
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3346096,3346096,3259424,3129182,3295484,9684090,13030186,,13030186,0,0
Rental of facilities and equipment,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9369,0,0,9369,9369,235764,-226395,-96.03,0
Interest earned - external investments,,0,0,4127000,4127000,0,0,0,0,0,0,102244,102244,102726,93222,0,195948,101300,352939,0,454239,752431,4127000,-3374569,-81.77,4127000
Interest earned - outstanding debtors,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200856,313215,0,514071,514071,,514071,0,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,0,0,192240,192240,28700,25820,16000,70520,24000,27750,18800,70550,34475,37400,21254,93129,15210,15240,5800,36250,270449,192431,78018,40.54,192240
Licences and permits,,0,0,22483539,22483539,0,0,0,0,0,0,0,0,0,0,0,0,1737605,1145735,885411,3768751,3768751,22247775,-18479024,-83.06,22483539
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,0,0,126497000,126497000,37864000,1446000,0,39310000,0,384000,30359000,30743000,0,383000,0,383000,0,0,0,0,70436000,126497000,-56061000,-44.32,126497000
Other own revenue,,0,0,2109338,2109338,377698,1540865,1307704,3226267,1419620,807919,1208577,3436116,1068742,2461498,72563,3602803,17142,182954,9992,210088,10475274,2109147,8366127,396.66,2109338
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,0,0,223494460,223494460,44371827,9179997,9492437,63044261,6385491,7064617,36943345,50393453,7276168,8667353,31229275,47172796,7191147,7562654,8591442,23345243,183955753,223494460,-39538707,-17.69113516281343,223494460
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,0,0,47354523,47354523,4048393,4009226,3912202,11969821,3892702,3877214,3932635,11702551,4036763,4068031,22327128,30431922,3899203,3955405,3680658,11535266,65639560,47354523,18285037,38.61,47354523
Remuneration of councillors,,0,0,10656093,10656093,789673,789675,789675,2369023,788938,789674,801674,2380286,789675,789675,789427,2368777,1156009,815148,774924,2746081,9864167,10656092,-791925,-7.43,10656093
Debt impairment,,0,0,636000,636000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636000,-636000,-100,636000
Depreciation and asset impairment,,0,0,27500000,27500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27500000,-27500000,-100,27500000
Finance charges,,0,0,710200,710200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710200,-710200,-100,710200
Bulk purchases,,0,0,23827855,23827855,0,3004534,2771251,5775785,1696894,1738710,1655120,5090724,1626323,1729054,0,3355377,0,1547886,4444441,5992327,20214213,23827855,-3613642,-15.17,23827855
Other Materials,,0,0,13027759,13027759,0,53,32270,32323,1384,2828,23785,27997,0,4487,0,4487,2962,190683,0,193645,258452,13027943,-12769491,-98.02,13027759
Contracted services,,0,0,0,0,55197,55518,610838,721553,66433,242727,922859,1232019,634624,488653,0,1123277,0,0,0,0,3076849,,3076849,0,0
Transfers and grants,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other expenditure,,0,0,42851613,42851613,1587954,3446236,4217617,9251807,3893367,4555291,3573779,12022437,5804152,2847805,7300164,15952121,5911521,2548611,8666695,17126827,54353192,42851853,11501339,26.84,42851613
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,0,0,166564043,166564043,6481217,11305242,12333853,30120312,10339718,11206444,10909852,32456014,12891537,9927705,30416719,53235961,10969695,9057733,17566718,37594146,153406433,166564466,-13158033,-7.899663905505512,166564043
,,,,,,,,,,,,,,,,,,,,,,,,,,
